Function;Year;Designer;Derived from;Reference
BLAKE;2008;Jean-Philippe AumassonLuca HenzenWilli MeierRaphael C.-W. Phan;ChaCha20; 
BLAKE2;2012;Jean-Philippe AumassonSamuel NevesZooko_Wilcox-O'HearnChristian Winnerlein;BLAKE; 
GOST R 34.11-94;1994;FAPSI and VNIIstandart;GOST 28147-89;RFC 5831, RFC 4357
HAVAL;1992;Yuliang ZhengJosef PieprzykJennifer Seberry;; 
KangarooTwelve (Keccak family);2016;Guido BertoniJoan DaemenMichaël PeetersGilles Van Assche;Keccak; 
MD2;1989;Ronald Rivest; ;RFC 1319
MD4;1990;Ronald Rivest; ;RFC 1320
MD5;1992;Ronald Rivest;MD4RFC 1321 page 1;RFC 1321
MD6;2008;Ronald Rivest;; 
RIPEMD;1990;The RIPE Consortium;MD4;
RIPEMD-128RIPEMD-256RIPEMD-160RIPEMD-320;1996;Hans DobbertinAntoon BosselaersBart Preneel;RIPEMD; 
SHA-0;1993;NSA;; 
SHA-1;1995;NSA;SHA-0;
SHA-256SHA-512SHA-384;2002;NSA;;SHA-224
2004;SHA-3 (Keccak);NSA;;
2008;Guido BertoniJoan DaemenMichaël PeetersGilles Van Assche;RadioGatún; ;Streebog
2012;FSB, InfoTeCS JSC;;RFC 6986;Tiger
1995;Ross AndersonEli Biham;; ;Whirlpool
2004;Vincent RijmenPaulo Barreto;; ;
