Name;Creator-maintainer;Based on;Standardized?;Specification;Binary?;Human-readable?;Supports reference?e;Schema-IDL?;Standard API;Supports Zero-copy operations
Apache Arrow;Apache Software Foundation;n/a;no; ;yes;no;no;yes (built-in);Java, Python, C++, JavaScript;yes
Apache Avro;Apache Software Foundation;n/a;no; ;yes;no;n/a;yes (built-in);n/a;n/a
Apache Parquet;Apache Software Foundation;n/a;no;Apache&nbsp";Parquet;yes;no;no;n/a;Java, Python;no
Argdata;Nuxi, the Netherlands;YAML;yes; ;yes;no;no;no;no;yes
ASN.1;ISO, IEC, ITU-T;n/a;yes;ISO/IEC 8824"; X.680 series of ITU-T Recommendations;yes(BER, DER, PER, OER, or custom via ECN);yes(XER, JER, GSER, or custom via ECN);partialf;yes (built-in);n/a;n/a
Bale;Murray;n/a;No; ;Yes;No;No;Yes;;n/a
Bencode;Bram Cohen (creator)BitTorrent, Inc. (maintainer);n/a;yes;Part of;Partially(numbers and delimiters are ASCII);no;no;no;no;n/a
Binn;Bernardo Ramos;n/a;yes; ;yes;no;no;no;no;yes
Bond;Microsoft;n/a;no; ;yes;yes(,);no;yes;yes(, , , );n/a
BSON;MongoDB;JSON;yes; ;yes;no;no;no;no;n/a
Candle Markup;Henry Luo;XML, JSON, JavaFX;yes; ;no;yes;yes(XPointer, XPath);yes();yes(XQuery, XPath);n/a
Cap’n Proto;Kenton Varda;n/a;no; ;yes;partialh;yes;yes;no;yes
CBOR;Carsten Bormann, P. Hoffman;JSON (loosely);yes;RFC 7049;yes;no;yesthrough tagging;yes();no;yes
Colfer;Pascal de Kloe;n/a;no; ;yes;no;no;yes;no;yes
Comma-separated values (CSV);RFC author:Yakov Shafranovich;n/a;partial(myriad informal variants used);RFC 4180(among others);no;yes;no;no;no;no
Common Data Representation (CDR);Object Management Group;n/a;yes;General Inter-ORB Protocol;yes;no;yes;yes;ADA, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk;n/a
D-Bus Message Protocol;freedesktop.org;n/a;yes; ;yes;no;no;partial(Signature strings);yes(see D-Bus);n/a
edn;Rich Hickey;n/a;no; ;no;yes;no;no;no;n/a
Efficient XML Interchange (EXI);W3C;XML,;Yes; ;Yes;yes(XML);Yes(XPointer, XPath);Yes(XML Schema);Yes(DOM, SAX, StAX, XQuery, XPath);n/a
ER7;Health_Level_7;n/a;Yes;Health_Level_7#Version_2_messaging;Partially - Schema available;Yes;Yes;Yes;HAPI;no
Fast Binary Encoding;Ivan Shynkarenka;n/a;no; ;yes;partiali;no;yes (built-in);C++, C#, Go, Java, JavaScript, Kotlin, Python, Ruby;yes
Feather;Wes McKinney and Hadley Wickham;Apache Arrow;no; ;yes;no;no;n/a;Python, R;yes
FlatBuffers;Google;n/a;no;Specification;yes;yes(Apache Arrow);partial(internal to the buffer);yes;C++, Java, C#, Go, Python, Rust, JavaScript, PHP, C, Dart, Lua, TypeScript;yes
GVariant;GLib;D-Bus MP;yes; ;yes;no;no;yes(Type strings);no;n/a
Fast Infoset;ISO, IEC, ITU-T;XML;yes;ITU-T X.891 and ISO/IEC 24824-1:2007;yes;yes(XML);yes(XPointer, XPath);yes(XML schema);yes(DOM, SAX, XQuery, XPath);n/a
FHIR;Health_Level_7;REST basics;Yes;Fast_Healthcare_Interoperability_Resources;Yes;Yes;Yes;Yes;Hapi for FHIR JSON, XML, Turtle;no
HOCON;Typesafe Inc.;JSON;no; ;no;yes;yes;?;yes(native Java API for all JVM languages);no
Ion;Amazon;JSON;no; ;yes;yes;no;no;no;n/a
Java serialization;Oracle Corporation;n/a;yes; ;yes;no;yes;no;yes;n/a
JSON;Douglas Crockford;JavaScript syntax;yes;/RFC 8259(ancillary:RFC 6901,RFC 6902);no, but see BSON, Smile, UBJSON;yes;yes(";alternately:, , ,April 2018 ), JSON-LD;partial(, ASN.1 with JER, , , ), JSON-LD;partial(, , ), JSON-LD;no
KMIP;OASIS;n/a;yes; ;yes (Tag, Type, Length, Value);yes;no;no;no;n/a
MessagePack;Sadayuki Furuhashi;JSON (loosely);yes; ;yes;no;no;no;no;yes
Named Binary Tag;Mojang;dunno;no; ;yes;no;no;no;dunno;no
Netstring;Dan Bernstein;n/a;yes; ;yes;yes;no;no;no;yes
OGDL;Rolf Veen;dunno;yes; ;yes();yes;yes();yes(); ;n/a
OPC-UA Binary;OPC Foundation;n/a;yes; ;yes;no;yes;no;no;n/a
OpenDDL;Eric Lengyel;C, PHP;yes; ;no;yes;yes;no;yes();n/a
PHP's  &;PHP Group;n/a;yes;no;yes;yes;yes;no;yes;n/a
Pickle (Python);Guido van Rossum;Python;yes;PEP 3154 -- Pickle protocol version 4;yes;no;no;no;yes();no
(Core Perl Module);Gurusamy Sarathy (ActiveState developer); ;yes;no;no;yes;no;dunno;yes;n/a
Property list;NeXT (creator)Apple (maintainer);dunno;partial; ;yesa;yesb;no;dunno;, , ,;no
Protocol Buffers (protobuf);Google;n/a;no; ;yes;partiald;no;yes (built-in);C++, C#, Java, Python, Javascript, Go;no
[[S-expression]]s;John McCarthy (original)Ron Rivest (internet draft);Lisp, Netstring;partial(largely de facto);Internet Draft;yes(""Canonical representation"");yes(""Advanced transport representation"");no;no; ;n/a
SCaViS; ;n/a;yes;no;yes;yes(XML, Java Serialization, ProtocolBuffers);yes;yes(Java object persistency, XML, ProtocolBuffers);yes(Native Java API, bindings for Jython, JRuby, Groovy and others);n/a
Simple Binary Encoding;Real Logic;n/a;no;;yes;no;?;yes  (XML);C++, Java, C#, Go;yes
Smile;Tatu Saloranta;JSON;yes; ;yes;no;no;partial(, other JSON schemas/IDLs);partial(via JSON APIs implemented with Smile backend, on Jackson, Python);n/a
SOAP;W3C;XML;yes;[[W3C Recommendation]]s:;partial([[Efficient XML Interchange]], [[Binary XML]], [[Fast Infoset]], MTOM, [[XSD]] base64 data);yes;yes(built-in id/ref, XPointer, XPath);yes(WSDL, XML schema);yes(DOM, SAX, XQuery, XPath);n/a
[[SDXF|Structured Data eXchange Format]]s;Max Wildgrube;n/a;yes;RFC 3072;yes;no;no;no; ;n/a
Thrift;Facebook (creator)Apache (maintainer);n/a;no; ;yes;partialc;no;yes (built-in);;n/a
transit;Cognitect;JSON  MessagePack;no; ;yes;yes;no;no;yes  Clojure, Java, Python, Javascript, Ruby, Scala;yes
UBJSON;The Buzz Media, LLC;JSON, BSON;no; ;yes;no;no;no;no;n/a
VelocyPack (VPack);ArangoDB;n/a;no; ;yes;no;partialg;no;yes(C++ API reference implementation);yes
eXternal Data Representation (XDR);Sun Microsystems (creator)IETF (maintainer);n/a;yes;/RFC 4506;yes;no;yes;yes;yes;n/a
XML;W3C;SGML;yes;[[W3C Recommendation]]s:;partial([[Efficient XML Interchange]], [[Binary XML]], [[Fast Infoset]], [[XSD]] base64 data);yes;yes(XPointer, XPath);yes(XML schema, RELAX NG);yes(DOM, SAX, XQuery, XPath);n/a
XML-RPC;Dave Winer;XML;yes; ;no;yes;no;no;no;n/a
YAML;Clark Evans,Ingy döt Net,and Oren Ben-Kiki;C, Java, Perl, Python, Ruby, Email, HTML, MIME, URI, XML, SAX, SOAP, JSON;yes; ;no;yes;yes;partial(, , built-in language type-defs);no;n/a
Name;Creator-maintainer;Based on;Standardized?;Specification;Binary?;Human-readable?;Supports reference?e;Schema-IDL?;Standard API;Supports Zero-copy operations
