 ;Visual query builder;Visual schema/model/E-R diagram design;Reverse engineering;Forward engineering;ER diagram groupboxes
Adminer;yes;yes;yes;no;no
Altova DatabaseSpy;yes;yes;yes;yes;dunno
DaDaBIK;some;no;no;no;no
Database Deployment Manager;yes;yes;yes;no;no
Database Workbench;yes;yes;yes;dunno;yes
DBeaver;no;yes;yes;no;dunno
DBEdit;no;no;no;no;no
;no;yes;yes;yes;no
ModelRight;no;yes;yes;yes;yes
Navicat;yes;yes;yes;yes;yes
Navicat Data Modeler;yes;yes;yes;yes;yes
MySQL Workbench;yes;yes;yes;yes;yes
Oracle SQL Developer;yes;yes;yes;yes;dunno
Orbada;no;no;no;no;no
pgAdmin III;yes;no;no;no;no
phpMyAdmin;yes;yes;yes;no;no
SQL Database Studio;yes;yes;yes;yes;no
SQL Server Management Studio;dunno;yes;yes;dunno;dunno
SQLyog;yes;yes;yes;yes;dunno
SQuirreL SQL;yes;yes;yes;dunno;no
Toad;Yes;Yes;Yes;Yes;dunno
Toad Data Modeler;no;yes;yes;yes;dunno
