 Desktop publishing software; Developer(s); Latest stable version; Initial release; License
CorelDRAW;Corel;X8 (18.0) (15);1989;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
Fatpaint (Cloud-based);Mersica Inc.;1.98 (19);2010;[[Freeware]]
FrameMaker;Adobe Systems;12.0.3 (25);1986;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
InDesign;Adobe Systems;CC 2014 (10.0.0.70) (18);1999;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
InPage;InPage Team;3.0 (2008);1994;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
iStudio Publisher;iStudio Software;1.3 (03);2009;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
LyX;The LyX Team;2.1.2.2 (17);1995;[[GPL]]
Microsoft Publisher;Microsoft Corporation;16.0 (22);1991;[[Trialware]]
Apache OpenOffice Writer;Apache Software Foundation and others;4.1.1 (21);2002;[[Apache License]] 2.0 (Apache OpenOffice 3.4 and later)
LibreOffice;The Document Foundation;Latest stable software release/LibreOffice;2011;[[LGPL]] v3
PageMaker*;Adobe Systems;7.0.2 (30);1985;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
PagePlus;Serif Europe;X9 (19);1991;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
Pages;Apple Inc.;Latest stable software release/Pages;2005;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
PageStream;Grasshopper LLC;5.0 (2005);1986;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
QuarkXPress;Quark, Inc.;2017 (16);1987;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
RagTime;RagTime GmbH;6.5.2 (21);1984;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
Ready,Set,Go!;Diwan Software Limited;7.7.8b (09);1985;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
Scribus;The Scribus Team;1.5.2 (yes);2003;[[GPL]]
The Print Shop;Brøderbund;23.0 (2009);1984;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
Ventura*;Corel;10.0 (2002);1986;[[Commercial software|Commercial]], [[Proprietary software|proprietary]]
Desktop publishing software;Developer(s);Latest stable version;Initial release;License
