 Desktop publishing software; PDF; EPS; SVG; TeX/LaTeX; RTF; HTML; Word .doc; OOXML .docx; Other
CorelDRAW;yes;yes;yes;no;yes;yes;yes;yes;[[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]], [[SWF]], [[WordPerfect|WPD]]
Fatpaint;no;no;no;no;no;no;no;no;[[Jpg|JPG]], [[Portable Network Graphics|PNG]]
FrameMaker;yes;yes;yes;no;yes;no;yes;no;[[WordPerfect|WPD]]
InDesign;yes;yes;no;no;yes;no;yes;yes;[[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]], [[SWF]], [[WordPerfect|WPD]], [[Microsoft Excel file format|XLS]]
InPage;no;yes;no;no;no;no;no;no;no
iStudio Publisher;yes;no;no;no;no;no;no;no;[[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]]
LyX;no;no;no;yes;no;yes;no;no;no
Microsoft Publisher;no;no;no;no;yes;yes;yes;yes;no
OpenOffice.org;yes;yes;no;no;yes;yes;yes;yes;[[Adobe Photoshop#features|PSD]], [[WordPerfect|WPD]], [[Microsoft Excel file format|XLS]]
PageMaker*;yes;yes;no;no;yes;no;yes;no;no
PagePlus;yes;yes;no;no;yes;no;yes;yes;no
Pages;no;no;no;no;yes;no;yes;yes;no
QuarkXPress;yes;yes;no;no;yes;yes;yes;no;[[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]], [[SWF]], [[Microsoft Excel file format|XLS]], [[Jpg|JPG]], [[Portable Network Graphics|PNG]] [[PDF]]
Scribus;yes;yes;yes;yes;no;yes;yes;no;[http://wiki.scribus.net/index.php/Export/Import_capabilities_of_Scribus,_OpenOffice.org,_Inkscape,_GIMP,_and_Krita List]
The Print Shop;no;no;no;no;no;no;no;no;no
Ventura*;yes;yes;no;no;yes;no;yes;no;[[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]], [[WordPerfect|WPD]]
Desktop publishing software;PDF;EPS;SVG;TeX/LaTeX;RTF;HTML;Word .doc;OOXML .docx;Other
