 Desktop publishing software; PDF; EPS; SVG; TeX/LaTeX; HTML; Other
CorelDRAW;yes;yes;yes;no;yes;[[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]], [[SWF]], [[WordPerfect|WPD]]
Fatpaint;no;no;no;no;no;[[Jpg|JPG]], [[Portable Network Graphics|PNG]]
FrameMaker;yes;yes;no;no;yes;[[DOC (computing)|DOC]], [[WordPerfect|WPD]]
InDesign;yes;yes;no;no;yes;[[EPUB]], [[SWF]], [[XML]], [[Rich Text Format|RTF]]
InPage;no;yes;no;no;no;[[GIF]]
iStudio Publisher;yes;no;no;no;no;[[EPUB]], [[Rich Text Format|RTF]]
LyX;yes;no;no;yes;yes;[[PostScript|PS]], [[OpenDocument|ODF]]
Microsoft Publisher;yes;no;no;no;yes;[[Jpg|JPG]], [[Portable Network Graphics|PNG]], TIFF
OpenOffice.org;yes;yes;yes;no;yes;[[Rich Text Format|RTF]]
PageMaker*;with [[Adobe Distiller|Distiller]];yes;no;no;no;no
PagePlus;yes;yes;no;no;yes;no
Pages;yes;no;no;no;yes;[[EPUB]], [[Rich Text Format|RTF]]
QuarkXPress;yes;yes;no;no;yes;[[EPUB]], [[Kindle Direct Publishing|Kindle]], [[iOS]], [[HTML5]]
Scribus;yes;yes;yes;yes;yes;[http://wiki.scribus.net/index.php/Export/Import_capabilities_of_Scribus,_OpenOffice.org,_Inkscape,_GIMP,_and_Krita List]
The Print Shop;yes;no;no;no;no;no
Ventura*;yes;yes;no;no;no;[[Rich Text Format|RTF]], [[Adobe Photoshop#features|PSD]], [[Adobe Illustrator Artwork|AI]], [[WordPerfect|WPD]]
Desktop publishing software;PDF;EPS;SVG;TeX/LaTeX;HTML;Other
