 Application; Creator; Software license
Ashampoo Burning Studio;Ashampoo Software;[[Freemium]]
Alcohol 120%;Alcohol Soft;[[Shareware]]
CDBurnerXP;Stefan Haglund, Fredrik Haglund;[[Freeware]]
cdrtools;Jörg Schilling;[[Open-source license|Open-source]] (CDDL parts are GPL)
DeepBurner;Astonsoft;[[Freemium]]
ExpressBurn;NCH Software;[[Freemium]]
ImgBurn;LIGHTNING UK!;[[Freeware]]
InfraRecorder;Christian Kindahl;[[Open-source license|Open-source]] (GPL)
K3b;Sebastian Trüg, Christian Kvasny;[[Open-source license|Open-source]] (GPL)
Nero Burning ROM;Ahead Software;[[Shareware]]
UltraISO;EZB Systems;[[Shareware]]
X-CD-Roast;T. Niederreiter;[[Open-source license|Open-source]] (GPL)
Application;Creator;Software license
