Software;Creates?;Modifies?;Mounts?;Restores?;Extracts?;Burns?;Input;Output;OS;License;Last_Update_Release
7-Zip;yes;no;no;no;yes;?;CramFS, DMG, FAT, HFS, MBR, NTFS, ISO, SquashFS, UDF, VHD, WIM;WIM;Windows, Linux, Mac OS;[[Free software]] ([[GPL]]);18.0501/05/2018
AcetoneISO;yes;no;yes;yes;yes;?;CD, DVD, ISO, BIN, MDF, IMG, NRG, CUE, TOC, DMG;CD, DVD, ISO, BIN;Linux;[[Free software]] ([[GPL]]);
Acronis True Image;yes;no;yes;yes;yes;?;TIB, VHD;TIB, VHD;Windows;[[Shareware]];
Alcohol 120%;yes;no;yes;yes;no;?;ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDS, NRG, ISZ;MDS/MDF, ISO;Windows;[[Trialware]];
Alcohol 52% FE;yes;no;yes;no;no;?;ISO;N/A;Windows;[[Adware]];
AnyDVD HD;yes;no;no;no;no;?;N/A;ISO;Windows;[[Shareware]];
Archive Manager;no;no;no;no;yes;?;ISO;N/A;Unix-like;[[Free software]] ([[GPL]]);
Ashampoo Burning Studio;yes;no;no;yes;no;?;ISO, BIN/CUE;ISO, BIN/CUE;Windows;[[Shareware]]Past version are made available as [[freeware]] from time to time;
BlindWrite;yes;no;no;yes;no;?;B5T, B6T, BWA, BWI, BWS, BWT, CUE/BIN, ISO, MDS/MDF;B5T, B6T, BWA, BWI, BWS, BWT, CUE/BIN, ISO, MDS/MDF;Windows;[[Shareware]];
Brasero;no;no;no;yes;no;?;ISO, CUE;CD, DVD;Linux;[[Free software]] ([[GPL]]);
Burnatonce;no;no;no;yes;no;?;ISO, CUE, TOC;N/A;Windows;[[Freeware]];
CDBurnerXP;yes;no;no;yes;no;?;ISO, MDS/MDF, NRG, BIN/CUE;ISO, MDS/MDF;Windows;[[Freeware]];
CDemu;no;no;yes;no;no;?;CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, CUE/BIN, TOC, B5T, B6T, MDS, MDX, CIF, C2D, DAA;N/A;Linux;[[Free software]] ([[GPL]] v2);
genisoimage;yes;no;no;no;no;?;N/A; ;Linux,Unix;[[Free software]] ([[GPL]]);
isoinfo;no;no;no;no;yes;?;;N/A;Unix, Linux,AmigaWindows, Mac OS X;[[Free software]] ([[GPL]]);
mkisofs;yes;no;no;no;no;?;N/A; ;Unix, Linux,AmigaWindows, Mac OS X;[[Free software]] ([[GPL]]);
CDRoller;Yes;No;No;Yes;Yes;?;ISO;ISO;Windows;[[Shareware]];
