Manager;Latest stable release;License / Price (USD);Adware, Malware & Spyware;CLI;GUI;Web;Linux;Windows;Mac OS X
4K Video Downloader;4.4.7.2307 (30);Proprietary / Freemium;No;No;yes;No;yes;yes;yes
BitComet;Latest stable software release/BitComet;Proprietary / freeware;Adware from version 0.85 to 0.97";<br />Potentially sensitive information reported to BC Servers;Partial;yes;yesJune 2010;no;yes;no
DownloadStudio;10.0.4.0(28);[[Shareware]] / $24.95;None Known;yes;yes;yes;no;yes;no
DownThemAll!;Latest stable software release/DownThemAll!;[[GNU General Public License|GPL]] /;None Known;no;yes;no;Requires Pale Moon or an old version of Firefox;Requires Pale Moon or an old version of Firefox;Requires Pale Moon or an old version of Firefox
FlashGet;3.7.0.1195(10);Proprietary / Freeware;No;no;yes;yes;no;yes;no
Folx;Latest stable software release/Folx;[[Shareware]] / $19.95;No;yes;yes;yes;no;no;yes
Free Download Manager;Latest stable software release/Free Download Manager;Proprietary / Freeware after version 5.0 and newer;No;no;yes;no;no;yes;yes
Free Studio;6.6.35.323(23);Proprietary / Freeware;No;no;yes;no;yes;yes;yes
Freemake Video Downloader;3.8.0(12);Proprietary / Freeware;Offers to install sponsored software upon installation changing default search engine and browsers homepage;no;yes;no;no;yes;no
GetRight;Latest stable software release/GetRight;Proprietary / $49.95 for Pro;No;yes;yes;yes;no;yes;no
Go!Zilla;5.03(1);Proprietary / $19.95;None as of Version 5";<br />Aureate adware prior to that;no;yes;yes;no;yes;yes
Internet Download Accelerator;6.13.1.1557(15);Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro;Adware on free version;yes;yes;no;no;yes;no
Internet Download Manager;6.31 Build 3(1);Proprietary / $24.95 lifetime for 1 PC;None Known;yes;yes;no;no;yes;no
JDownloader;2(yes);[[GNU General Public License|GPL]] /;Yes, comes bundled but can install even when not ticking yes;yes;yes;yes;yes;yes;yes
JDownloader;0.9.581(yes);[[GNU General Public License|GPL]] /;Adware Mobogenie (optional install)";<br />Adware browser hijacker Mysearchdial (optional install);no;yes;yes;yes;yes;yes
JDownloader;0.7.3-3(yes);[[GNU General Public License#Version 2|GPLv2]] /;No;yes;no;no;yes;yes;yes
KGet;Latest stable software release/KDE Software Compilation 4;[[GNU General Public License|GPL]] /;None Known;yes;yes;no;yes;Part of KDE for Windows;Part of KDE for Mac
MiniDM;2.5.1(2);proprietary / Freeware;None Known;no;yes;no;no;yes;no
MLDonkey;Latest stable software release/MLDonkey;[[GNU General Public License|GPL]] /;None Known;yes;yes;yes;yes;yes;no
Shareaza;Latest stable software release/Shareaza;[[GNU General Public License|GPL]] /;Original Client:<br />None Known;yes;yes;yes;no;yes;no
Manager;Latest stable release;License / Price (USD);Adware, Malware & Spyware;CLI;GUI;Web;Linux;Windows;Mac OS X
