 Client; Client; ; Protocol Obfuscation; ; Chat; Buddy list; Send FILERATING tags to servers; ; ; L2HAC ; Secure User ID; Global Searches; UPnP port mapping; Intelligent Chunk Selection; ; HideOS / SotN
aMule;aMule;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;no;no;no
eMule;Official;no;yes;yes;yes;yes;yes;zz's Version;yes;no;yes;yes;yes;no;no;no
eMule;Osp;no;yes;yes;yes;yes;yes;zz's Version;yes;no;yes;yes;yes;no;no;no
eMule;AnalyZZUL;no;yes;yes;yes;yes;yes;zz's Version;yes;no;yes;yes;yes;no;no;no
eMule;beba;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;Version 1;no;no
eMule;Magic Angel;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;Version 1;no;both
eMule;Mephisto;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;no;no;both
eMule;MorphXT;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;Version 1;no;both
eMule;NeoMule;yes;yes;yes;yes;yes;yes;own simplified implementation;yes;yes;yes;yes;yes;Version 2;Version 2;own implementation
eMule;ScarAngel;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;no;no;both
eMule;SharkX;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;Version 1;no;no
eMule;Sivka;no;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;no;Version 1;HideOS
eMule;Spike2;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;Version 1;no;no
eMule;StulleMule;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;Version 1;no;both
eMule;Xtreme;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;no;no;own implementation
eMule;X-Ray;yes;yes;yes;yes;yes;yes;DBR;yes;yes;yes;yes;yes;Version 1;no;no
eMule;ZZUL;no;yes;yes;yes;yes;yes;zz's Version;yes;no;yes;yes;yes;no;no;no
eMule;ZZUL BastarD;no;yes;yes;yes;yes;yes;zz's Version;yes;no;yes;yes;yes;no;no;no
eMule Plus;eMule Plus;yes;no;up to 512GB;yes;yes;yes;dunno;no;yes;yes;yes;no;yes;Version 1;manual hiding
Lphant;Lphant;no;yes;yes;yes;yes;yes;yes;CCH (similar to ICH);no;yes;no;yes;no;Version 1;no
MLDonkey;MLDonkey;yes;no;yes;yes;yes;dunno;no;yes;no;yes;yes;yes;no;no;no
Shareaza;Shareaza;yes;no;yes;yes;yes;yes;yes;no;yes;no;yes;yes;no;no;no
xMule;xMule;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no;no
Client;Client; ;Protocol Obfuscation; ;Chat;Buddy list;Send FILERATING tags to servers; ; ;L2HAC;Secure User ID;Global Searches;UPnP port mapping;Intelligent Chunk Selection; ;HideOS / SotN
