 Client; Client; Website; Initial Release; Current Stable Version; Mod Based On
eDonkey2000;eDonkey2000;None;06;1.4.6 (2006);-
aMule;aMule; ;09;Latest stable software release/aMule;-
eMule;Official; ;13;Latest stable software release/eMule;-
eMule;Osp; ;29;0.23 (02);Official 0.50a
eMule;AnalyZZUL; ;13;3.0 (24);eMule 0.49c ZZUL
eMule;beba; ;03;2.72 (08);Official 0.50a
eMule;DreaMule; ;2005;v3.2 (21);-
eMule;Magic Angel; ;21;4.0 (13);eMule 0.50a MorphXT 12.6
eMule;Mephisto; ;18;3.0 (10);eMule 0.50a ScarAngel 4.0
eMule;MorphXT; ;23;Latest stable software release/eMule MorphXT Mod;Official 0.50a
eMule;NeoMule; ;22;Latest stable software release/eMule NeoMule Mod;Official 0.49b
eMule;ScarAngel; ;02;4.2 (22);eMule 0.50a Xtreme 8.1
eMule;SharkX; ;dunno;;eMule 0.49c AcKroNiC 5.4
eMule;Sivka; ;dunno;;Official 0.49b
eMule;Spike2; ;dunno;;Official 0.48a
eMule;StulleMule; ;22;7.0 (25);eMule 0.50a MorphXT 12.6
eMule;Xtreme; ;2004;Latest stable software release/eMule Xtreme Mod;Official 0.50a
eMule;X-Ray; ;23;1.7 (18);Official 0.49c
eMule;ZZUL; ;dunno;20090222-2320 (22);Official 0.49c
eMule;ZZUL BastarD; ;28;1.9.10 (09);eMule 0.49c ZZUL
eMule Plus;eMule Plus; ;10;Latest stable software release/eMule Plus;Old official eMule + own code
iMule;iMule;www.imule.i2p;2003;Latest stable software release/iMule;aMule
JMule;JMule; ;21;Latest stable software release/JMule;-
Jubster;Jubster;None;dunno;Latest stable software release/Jubster;-
LMule;LMule; ;01;Latest stable software release/lMule;-
Lphant;Lphant;None;2006;Latest stable software release/Lphant;-
MLDonkey;MLDonkey; ;23;Latest stable software release/MLDonkey;-
Morpheus;Morpheus;None;2001;Latest stable software release/Morpheus;-
Shareaza;Shareaza; ;2002;Latest stable software release/Shareaza;-
xMule;xMule; ;06;Latest stable software release/xMule;-
Client;Client;Website;Initial Release;Current Stable Version;Mod Based On
