Client;Regular;Regular;MSN (NTLM)browser login;Compuserve(RPA);MD5 APOPAPOP;CRAM-HMACHMAC;CRAM-HMACHMAC;CRAM-HMACHMAC;DIGEST-MD5;with hardware tokenPKCS#11;Biometric;SMTP AuthSMTPAUTH;X.509 Client certificate;OAUTH
Client;LOGIN;PLAIN;MSN (NTLM)browser login;Compuserve(RPA);MD5 APOPAPOP;MD5;SHA1;RIPEMD;DIGEST-MD5;with hardware tokenPKCS#11;Biometric;SMTP AuthSMTPAUTH;X.509 Client certificate;OAUTH
Alpine;yes;yes;no;no;no;yes;no;no;no;no;no;yes;no;dunno
Becky! Internet Mail;yes;yes;yes;dunno;yes;yes;dunno;dunno;dunno;dunno;dunno;yes;yes;dunno
Citadel;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Claws Mail;yes;yes;dunno;dunno;yes;yes;dunno;dunno;yes;no;dunno;yes;no;dunno
Cone;yes;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;dunno
Courier;yes;yes;yes;no;yes;yes;yes;no;yes;no;no;yes;yes;dunno
Elm;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
eM Client;yes;yes;yes;no;no;yes;no;no;yes;no;no;yes;no;yes
EmailTray;yes;yes;dunno;dunno;yes;yes;yes;no;dunno;no;no;yes;no;dunno
Eudora;yes;yes;yes;yes;yes;yes;no;no;no;no;no;no;dunno;dunno
Eureka Email;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Evolution;yes;yes;yes;no;yes;yes;no;no;yes;no;no;yes;no;dunno
Gnus;yes;yes;dunno;dunno;yes;yes;yes;dunno;yes;dunno;dunno;yes;dunno;dunno
GroupWise;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Hiri;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;yes
i.Scribe / InScribe;yes;yes;yes;no;yes;no;no;no;no;no;no;yes;no;dunno
