Client;HTML email;UTF-8 support;Image blocking;Junk filtering;Junk filtering;Phishing filtering;Thread view;Conversation view;PGP support;PGP support;S/MIME support;S/MIME support;S/MIME support;S/MIME support
Client;HTML email;UTF-8 support;Image blocking;local;server- side;Phishing filtering;Thread view;Conversation view;inline;PGP/MIME or OpenPGP;protocol;OCSP;CRL;certificates on tokens, smartcards support
Alpine;yes;yes;yes;dunno;dunno;dunno;yes;dunno;yes;dunno;yes;dunno;dunno;dunno
Becky! Internet Mail;yes;yes;yes;no;no;no;yes;no;yes;dunno;yes;dunno;dunno;dunno
Citadel;yes;yes;no;yes CITADELspam;dunno;dunno;no;dunno;dunno;dunno;dunno;dunno;dunno;Claws Mail
Read-only;yes;yes;yes;yes;yes;yes;dunno;yes;yes;yes;dunno;yes;yes;Cone
yes;yes;yes;yes;no;no;yes;dunno;no;yes;no;no;no;no;Courier
yes;no;no;yes;yes;dunno;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno;Elm
dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;eM Client
yes;yes;yes;no;yes;yes;no;yes;yes;yes;yes;no;yes;yes;EmailTray
yes;yes;yes;no;yes;dunno;no;no;no;no;no;no;no;no;Eudora
yes;no;yes;Pro only;Pro only;dunno;yes;No;yes EUDORAPGP;yes EUDORAPGP;yes;dunno;dunno;dunno;Eureka Email
dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;Evolution
yes;yes;yes;yes;dunno;no;yes;no;yes;yes;yes;dunno;dunno;dunno;Gnus
yes;yes;yes;yes;yes;dunno;yes;dunno;yes;yes;yes;dunno;dunno;yes;GroupWise
yes;yes;yes;yes;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;Hiri
yes;yes;yes;yes;yes;dunno;yes;yes;yes;no;no;no;no;no;i.Scribe / InScribe
Read-only;yes;yes;yes;no;dunno;yes;dunno;yes;no;no;no;no;no;IBM Notes
yes;yes;yes;yes;yes;yes;yes NotesThread;dunno;yes;yes (4.1.2+);yes;yes,;yes;yes;KMail
yes;yes;yes;yes;dunno;dunno;yes;yes;yes (with GPG);yes (1.5+, with GPGME);yes;yes;yes;dunno;Mailbird
yes;yes;yes;yes;yes;yes;yes;yes;dunno;no;no;no;no;no;Mailpile
dunno;yes;dunno;dunno;dunno;dunno;dunno;yes;dunno;yes;dunno;dunno;dunno;dunno;Microsoft Entourage
yes;yes;yes;yes;yes;yes;dunno;dunno;dunno;Yes;yes;dunno;dunno;Yes;Microsoft Office Outlook
