;Creator(s);First public release date;Latest stable version;Cost (USD);Software license
7-Zip;Igor Pavlov;02;18.0530;Free;[[GNU Lesser General Public License|LGPL]] (RAR plugin is [[Proprietary software|proprietary]])
ALZip;ESTsoft;1999 (as a WinZip translation);Latest stable software release/ALZip;A free general serial number was published on developer's website altools.com in August 2012;Proprietary
ALZip for Mac;ESTsoft;1999 (as a WinZip translation);Latest stable software release/ALZip for Mac;A free general serial number was published on developer's website altools.com in August 2012;Proprietary
Archive Manager;Paolo Bacchilega;12;3.20.210;Free;[[GNU General Public License|GPL]]
Archive Utility;Apple Inc.;24;Latest stable software release/Archive Utility;Included with [[Mac OS X]] [[Core Services]];Proprietary
Ark;KDE team;1997;15.12.315;Free;[[GNU General Public License|GPL]]
B1 Free Archiver;Adam Buyer;08;1.5.8625;Free;Proprietary
BetterZip;BetterZip;05;Latest stable software release/BetterZip;$19.95 USD;Proprietary
Commander One;Eltima Software;04;1.129;Standard Free"; $29.95 Pro Pack;Proprietary
Compressed Folders;Microsoft Inc.;25;Windows 8.127;Included in [[Microsoft Windows]] [[Windows Explorer]] shell since [[Windows 98]].;Proprietary
CRAX Commander;Soft4U2;01;1.10.902;$19.99 USD;Proprietary
Disk ARchiver;Denis Corbin;2002;2.5.1420;Free;[[GNU General Public License|GPL]]
Expander;Haiku, Inc.;2002;Latest preview software release/Haiku (operating system);Free;[[MIT License|MIT]]
Filzip;Philipp Engel;unk;Latest stable software release/Filzip;Free;Proprietary
FreeArc;Bulat Ziganshin;1v0.36;0.666(20);Free;[[GNU General Public License|GPL]]
iArchiver;Dare to be Creative Ltd.;21;1.4.130;$26;Proprietary
Info-ZIP (Wzip);Samuel Smith;3;6.029;Free;[[BSD licenses|BSD-like]]
KGB Archiver;Tomasz Pawlak;01;1.2.1.24 1;Free;[[GNU General Public License|GPL]]
PeaZip;Giorgio Tani;16;6.6.128;Free;[[GNU Lesser General Public License|LGPL]]
PKZIP;Phil Katz;1989;12.4(ca. 9);$29.00;Proprietary
PowerArchiver;ConexWare;3;17.01.04 5;$22.95;Proprietary
StuffIt;Smith Micro Software;1987;15.0.701;$49.99 French (or German) Deluxe;Proprietary
TAR;T;1979;GNU tar: Latest stable software release/Tar"; star: 1.5.3"; BSD tar: 2.6.0;Free;Various
The Unarchiver;Circlesoft;1;3.11.316;Free;[[GNU Lesser General Public License|LGPL]]
Terse;IBM;1; ;Free;proprietary
TUGZip;Christian Kindahl;18;3.5.0.02;Free;Proprietary
WinAce;e-merge GmbH;unk;2.6923;Free expander (GNU/Linux & Mac only)"; $29.00 Standard"; $39.00 Plus;Proprietary
WinRAR;Eugene Roshal / Alexander Roshal;1993;Latest stable software release/WinRAR;Free expander"; $29;Proprietary
WinZip;WinZip Computing, Inc;1991;Latest stable software release/WinZip;$29.95 Standard"; $49.95 Pro;Proprietary
XAD a.k.a. XADMaster.library;Dirk Stoecker;1998;13.1;[[Shareware]], Free for non commercial use;Proprietary
Xarchiver;Giuseppe Torelli;unk;0.5.414;Free;[[GNU General Public License|GPL]]
ZipGenius;Matteo Riso of M.Dev Software;5;6.3.2.31128;Free;Proprietary
 ;Creator(s);First public release date;Latest stable version;Cost (USD);Software license
