;Data compression;Shell integration;Password protection;Multiple volumes;Self extraction;File repairing;Batch conversion;Unicode file /directory names5;Encryption;Filename Encryption
7-Zip;yes;yes;yes;yes;yes;no;yes;yes;yes;yes
ALZip;yes;yes;yes;yes;yes;yes;yes8;no;unk;unk
Archive Manager;yes;yes;yes;yes;no;no;no;Yes;Yes;Yes
Archive Utility;yes;yes;no;unk;no;no;yes;yes;unk;unk
ARJ;yes;yes;yes;yes;yes;yes;yes;unk;unk;unk
Ark;yes;yes;yes;yes;no;no;no;yes;yes;yes
B1 Free Archiver;yes;yes;yes;yes;no;yes;yes;yes;yes;yes
BetterZip;yes;yes;yes;yes;no;no;no;yes;yes;yes
bsdtar/libarchive;no2;yes;no;yes;no;no;yes;yes;unk;unk
Commander One;yes;no;yes;no;no;no;yes;yes;unk;yes for 7z
CRAX Commander;yes;yes;no;no;no;no;yes;yes;no;no
Disk ARchiver;yes;yes;yes;yes;no;yes;yes;yes;yes;yes
Filzip;yes;yes;yes;unk;yes;no;no;unk;unk;unk
FreeArc;yes;yes;yes;no;yes;yes;yes;yes;yes;yes
GNU tar;no2;yes;no;yes;no;1Separate;yes;yes;unk;unk
iArchiver;yes;no;yes;yes;no;no;no;yes;unk;unk
Info-ZIP;yes;no11;yes;yes12;yes;yes;yes;yes12;1Weak;no
KGB Archiver;yes;1Not enabled by default;yes;unk;yes;no;no;yes;yes;unk
PeaZip;yes;yes;yes;yes;yes;yes;yes;yes9;yes10;yes
PKZIP;yes;yes;yes;no;1Separate;1Separate;no;yes;yes;unk
PowerArchiver;yes;yes;yes;yes;yes;yes;yes7;yes;yes;yes
StuffIt;yes;yes;yes;unk;yes;yes;yes;yes;yes;unk
The Unarchiver;no1;some formats;yes;yes;yes;yes;yes;yes1;yes;unk
TUGZip;yes;yes;yes;yes;yes;yes;yes;no;yes;unk
WinAce;yes;yes;yes;yes;yes;yes;yes;no;yes;unk
WinRAR and RAR;yes;yes;yes;yes;yes;yes3;yes;yes6;yes;yes
WinZip;yes;yes;yes;yes;yes;yes;yes10;yes;yes;yes
XAD;no1;yes;yes;unk;yes;unk;unk;unk;unk;unk
Xarchiver;yes;yes;yes;unk;yes;unk;unk;unk;unk;unk
ZipGenius;yes;yes;yes;unk;yes;unk;yes;no;unk;unk
;Data compression;Shell integration;Password protection;Multiple volumes;Self extraction;File repairing;Batch conversion;Unicode file /directory names5;Encryption;Filename Encryption
