;ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ
7-Zip;yes;yes;yes;yes;yes;yes;yes;yes;no1;no;no;yes;no;no;no;yes;no;yes;no
ALZip;yes;yes;yes;yes;yes;unk;yes;yes;yes;no;no;yes;no;no;yes;yes;yes;yes;no
Archive Manager;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;no;no;no;yes;yes;yes;no
Archive Utility;yes;yes;yes;yes;no;unk;no;no;no;no;no;no;no;no;no;no;no;no7;no
Ark;yes;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;no;yes;yes;yes;yes;no
B1 Free Archiver;yes;yes;yes;yes;yes;no;yes;yes;no;no;no;no11;no;no;no;yes;yes;yes;no
BetterZip;yes;yes;yes;yes;yes;no;yes;yes;no;yes;no;yes;no;no;no;yes;no;yes;no
bsdtar/libarchive;yes;yes;yes10;yes10;yes;yes10;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no
cpio;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
Commander One;yes;yes;yes;yes;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no
CRAX Commander;yes;yes;yes;yes;yes;no;yes;yes;no;no;no;no;no;no;yes;no;no;yes;no
Disk ARchiver;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no
Filzip;yes;yes;yes;no;no;unk;yes;yes;yes;no;no;yes;no;no;yes;yes;no;no;no
FreeArc;yes;yes;yes;yes;yes;unk;yes;yes;no1;no;no;yes;no;no;no12;yes;no;yes;no
GNU tar2;no2;yes;yes2;yes2;no3;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
iArchiver;yes;yes;yes;yes;yes;unk;yes;yes;yes;yes;no;yes;no;no;no;yes;no;no;no
Info-ZIP;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
KGB Archiver;yes;no;no;no;no;unk;no;no;no;no;no;no;yes;no;no;no;no;no;no
PeaZip;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;yes;yes;no;yes;yes
PKZIP;yes;yes;yes;yes;yes;unk;yes;yes;no;no;no;yes;no;no;yes;yes;yes;yes;no
PowerArchiver;yes;yes;yes;yes;yes;unk;yes;yes;yes;no;no;yes;no;no;yes;yes;no;yes;yes
Star2;no2;yes;yes2;yes2;yes2;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
StuffIt;yes;yes;yes;yes;yes;unk;yes;yes;no;yes;yes;yes;no;no;yes;yes;yes;yes;no
The Unarchiver;yes;yes;yes;yes;yes;yes;yes;yes;Partial;yes;Partial11;yes;no;no;yes;yes;yes;yes;no
TUGZip;yes;yes;yes;yes;yes;unk;yes;yes;yes;no;no;yes;no;no;yes;yes;no;yes;no
WinAce;yes;yes;yes;no;no;unk;yes;yes;yes;no;no;yes;no;no;yes;no;no;yes;no
WinRAR;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;yes;no
WinZip;yes;yes;yes;yes;yes;unk;yes4;yes;no;no;no;yes5;no;no;yes5;yes;no;yes;no
XAD;yes;yes;yes;yes;no;unk;yes;yes;Partial;yes;no;no;no;no;yes;yes;yes;yes;no
Xarchiver;yes;yes;yes;yes;yes;unk;yes;yes;no;yes;yes;yes;no;no;no;yes;no;yes;no
ZipGenius;yes;yes;yes;yes;yes;unk;yes;yes10;yes;no;no;yes10;no;no;yes;yes;no;yes;no
;ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ
