File manager;Creator;First public version(date);Latest stable version(date, number);Cost;Software license
Altap Salamander;Altap;15;27 (3.08);[[United States dollar|US$]]30;proprietary
Commander One;Eltima Software;04;29 (1.1);US$29.95<br/>(lite: free);proprietary
CRAX Commander;Soft4U2;01;05 (1.11.1);US$19.99<br/>(demo: free);proprietary
Directory Opus;Jonathan Potter,GPSoftware;Amiga: v1 (1990-01-03)Windows: v6 (2001-06-18);6 (12.10);[[Australian dollar|A$]]49 lite / [[Australian dollar|A$]]89 pro;proprietary
Dired;integral part of Emacs,part of the GNU project;1974?;30 (7.17);free;[[GNU General Public License|GPL]]
Dolphin;KDE;07 (0.5);8 (17.04.2);free;GPL
DOS Navigator;Ritlabs;1991 (0.90);1999 (1.51);free;[[BSD licenses|BSD]] original
DOS Shell;Microsoft / IBM;1988;1998;Part of MS-DOS / PC DOS;proprietary
Double Commander;alexx2000;2007;3 (0.8.3);free;GPL
emelFM2;tooar;06;18 (0.9.1);free;GPL
Explorer++;David Ercig;08;03 (1.3.5);free;GPL
Far Manager;Eugene Roshal (original)"; Far Group;1996;y;free;BSD revised
File Commander;Brian Havard;1993;03 (2.40);A$35.00;proprietary
File Manager;Microsoft (Ian Ellison-Taylor);1990;30 (4.0.1381.318);Part of Windows;proprietary
GeoManager;Berkeley Softworks / GeoWorks Corporation / Breadbox Computer Company;1990;2009;Part of PC/GEOS;proprietary
Finder;Apple Inc.;01;13 (10.10.5);Part of macOS;proprietary
fman;Michael Herrmann;18;08 (1.1.7);US$18<br/>(Demo: free);proprietary
ForkLift;BinaryNights;01;10 (3.2.2);US$29.95<br/>(Demo: free);proprietary
Gentoo (file manager);Emil Brink;dunno;18 (0.19.13);free;GPL
GNOME Commander;GNOME Commander;09;28 (1.6.4);free;GPL
Konqueror;KDE;10;Latest stable software release/KDE Software Compilation 4;free;GPL
Krusader;Krusader Krew;11;Latest stable software release/Krusader;free;GPL
Midnight Commander (mc);GNU Midnight Commander;< May 1994;12 (4.8.16);free;GPL
muCommander;Maxence Bernard;17;21 (0.9.1);free;GPL
GNOME Files (Nautilus);Eazel;11;Latest stable software release/GNOME;free;GPL
Nemo;Linux Mint, part of Cinnamon desktop environment;07 (1.0.0);December 11, 2018(4.0.5);free;GPL
Nomad.NET;Eugene Sichkar;14 (2.2.0.537 beta);13 (3.2.0.2890);free;proprietary
Norton Commander;Peter Norton Computing,later Symantec corporation;1986;01 (2.01 WindowsDOS: 1998-07-01 (5.51));?;proprietary
Path Finder (originally named SNAX);Cocoatech;04;02 (7);US$39.95;proprietary
PathMinder;Albert Nurick andBrittain Fraley;1984;1988 (4.11);US$39.95;proprietary
PCManFM;Hong Jen Yee;09;21 (1.2.4);free;GPL
PC Shell;Central Point Software;1986; ;Part of PC Tools for DOS;proprietary
ROX-Filer;Thomas Leonard et al.;Before 10;09 (2.11);free;GPL
SpaceFM;IgnorantGuru;13 (0.5.0);20 (1.0.5);free;GPL
STDU Explorer;STDUtility;23;24 (1.0.465);free;proprietary
Tabbles;Yellow blue soft UAB;01;12 (3.1.29);US$29.95<br/> (lite: free);proprietary
Thunar;Xfce;22;06 (1.8.0);free;GPL
Total Commander(originally named 'Windows Commander');Christian Ghisler;25 (1.00d);21 (9.21a);[[Swiss franc|CHF]]40, €37, US$42Nagware;proprietary
ViewMAX;Digital Research / Novell;1990 (1.0);1993 (3.0);Part of DR-DOS;GPL
Volkov Commander;Vsevolod Volkov;circa 1992;Latest stable software release/Volkov Commander;shareware / freeware;proprietary
Windows Explorer(now 'File Explorer');Microsoft;24;29;Part of Windows;proprietary
WinSCP;WinSCP;30;Latest stable software release/WinSCP;free;GPL
Xandros File Manager;Xandros Corporation;dunno;26 (4.2);Part of Xandros Desktop;proprietary
Xfe;Roland Baudin;2002;28 (1.42);free;GPL
Xfile;Rixstep;02;19 (1.8.0);US$79.00<br/>(with 80+ other applications);proprietary
Xfm;Simon Marlow, Albert Gräf, Robert Vogelgesang, Juan D. Martin, Till Straumann;1992;09 (1.4.3);free;GPL
xplorer²;Nikos Bozinis;10;13 (3.5.0.2);US$29.95<br/>(pro, lite: free, ultimate: US$49.95);proprietary
XTree;Jeffery C. Johnson;01;1992 (Xtree for Windows);US$39.95;proprietary
XYplorer;Donald Lessau;1997;29 (19.30.0000);US$39.95<br/>(lite: free);proprietary
ZTreeWin;Kim Henkel;1996;27 (2.1.19)26 (2.4.121 beta)31 (2.4.172 zeta);US$29.95 (1-4);proprietary
File manager;Creator;First public version(date);Latest stable version(date, number);Cost;Software license
