Software;CRC32;MD5;SHA-1;SHA-224;SHA-256;SHA-384;SHA-512;SHA-3;Panama;RIPEMD-128;RIPEMD-160;RIPEMD-256;RIPEMD-320;Tiger;Whirlpool;Other
AccuHash;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
BeaverSFV;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes(?);yes(?);yes(?);yes(?);dunno;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno;MD2
 ;yes;yes;yes;no;no;no;no;no;dunno;dunno;dunno;dunno;dunno;dunno;dunno;Torrent file
 ;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
 ;no;yes;yes;no;yes;yes;yes;no;no;no;no;no;no;no;no;-
 ;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;yes;yes;Adler-32, BLAKE2s, BLAKE2b, CRC64, MD4, SHA-1 (Base32), SHA-256 (Base64), SHA-512/224, SHA-512/256
cksum;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;dunno
 ;yes;yes;yes;no;yes;yes;yes;no;no;no;no;no;no;no;no;-
 ;no;yes;yes;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;yes;MD2, MD4, PGP
 ;no;yes;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no
DySFV;yes;yes;yes;yes;yes;yes;yes;dunno;no;no;yes;no;no;no;no;dunno
eXpress CheckSum Calculator;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;no;yes;yes;yes;no;no;yes;yes;no;no;yes;no;Adler-32, GOST, MD2
FastSum;no;yes;no;no;no;no;no;dunno;no;no;no;no;no;no;no;dunno
 ;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;dunno
 ;yes;yes;yes;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;yes;MD2, MD4
FileVerifier++;yes;yes;yes;yes;yes;yes;yes;dunno;no;yes;yes;yes;yes;no;yes;dunno
FlashSFV;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;no;yes;yes;yes;no;yes;no;yes;no;no;yes;no;Adler-32
 ;yes;yes;yes;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;Total 96 algorithms
PowerShell's;no;yes;yes;no;yes;yes;yes;no;no;no;yes;no;no;no;no;MACTripleDES
 ;yes;yes;yes;no;yes;yes;yes;no;yes;no;yes;no;no;yes;no;MD2, MD4, Adler-32
 ;yes;yes;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;MD4
 ;dunno;yes;yes;no;yes;no;yes;dunno;no;no;no;no;no;no;no;dunno
