Software;Compare multiple files;Hash single file;Hash several files;Hash directories & sub-directories;exclude filter;Binary output;Bubble Babble output;Base64 output;Hexadecimal output
AccuHash;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
BeaverSFV;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;dunno;yes;dunno;dunno;dunno;dunno;yes
cfv;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;yes;dunno;no;no;no;yes
 ;no;yes;no;no;no;no;no;no;yes
 ;yes;yes;yes;yes;dunno;no;no;yes;yes
cksum;dunno;yes;yes;no;dunno;no;no;no;no
 ;no;yes;yes;no;dunno;no;no;no;yes
 ;yes;yes;yes;yes;dunno;yes;no;yes;yes
 ;yes;yes;yes;yes;yes;no;no;no;yes
DySFV;yes;yes;dunno;yes;dunno;no;no;no;no
 ;yes;yes;yes;yes;dunno;no;no;no;no
eXpress CheckSum Calculator;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
FastSum;yes;yes;yes;yes;dunno;no;no;no;yes
 ;yes;yes;yes;yes;dunno;no;no;yes;yes
 ;dunno;yes;yes;dunno;dunno;dunno;dunno;no;yes
FileVerifier++;yes;yes;yes;yes;dunno;no;no;yes;yes
FlashSFV;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;yes;dunno;no;yes;yes;yes
PowerShell's;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;yes
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;dunno;yes;yes;yes;dunno;dunno;dunno;dunno;dunno
 ;dunno;yes;yes;yes;dunno;no;no;no;yes
 ;yes;yes;yes;yes;dunno;no;no;no;yes
 ;yes;yes;dunno;yes;dunno;no;no;no;no
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;yes;dunno;no;no;no;yes
 ;no;yes;yes;yes;dunno;no;no;no;no
md5deep;yes;yes;dunno;yes;dunno;no;no;no;yes
md5sum;yes;yes;yes;no;dunno;no;no;no;yes
 ;yes;yes;dunno;yes;dunno;dunno;dunno;dunno;yes
 ;yes;yes;no;no;dunno;no;no;no;dunno
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;yes;no;no;no;yes;yes
 ;yes;yes;dunno;yes;dunno;no;no;no;yes
 ;yes;yes;yes;yes;dunno;no;no;no;yes
 ;dunno;yes;yes;no;dunno;no;no;no;no
 ;yes;yes;yes;yes;dunno;dunno;dunno;dunno;dunno
 ;yes;yes;yes;yes;no;no;no;no;yes
 ;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
sha1sum;yes;yes;yes;no;dunno;no;no;no;yes
sha3sum;yes;yes;yes;no;dunno;no;no;no;yes
SuperSFV;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
TeraCopy;yes;yes;yes;yes;no;no;no;no;yes
 ;yes;yes;yes;yes;yes;no;no;no;yes
 ;dunno;yes;dunno;no;dunno;no;no;no;yes
Total Commander;dunno;yes;yes;yes;dunno;dunno;dunno;dunno;dunno
WinHasher;yes;yes;dunno;no;dunno;no;yes;yes;yes
wxChecksums;yes;yes;dunno;yes;yes;no;no;no;yes
Software;Compare multiple files;Hash single file;Hash several files;Hash directories & sub-directories;exclude filter;Binary output;Bubble Babble output;Base64 output;Hexadecimal output
