Name;Creator;First release date;Latest stable version;Latest release date;License;Language;Web application framework;CMS extension
Apache OFBiz;Apache Software Foundation;2007;16.11.05;2018-10-02;[[Apache License|Apache]];[[Java (programming language)|Java]];[[Apache OFBiz]];integrated, and 3rd party extensions
Batavi;Batavi;dunno;1.3;2013-11-28;[[GNU General Public License|GPL]];[[PHP]]; ; 
Bigcommerce;Bigcommerce Inc;dunno;Continuous/SaaS;Continuous/SaaS;[[Proprietary software|Proprietary]];[[PHP]]; ; 
Drupal Commerce;Drupal Commerce;2011-08-23;2.6;2018-04-06;[[GNU General Public License|GPL]];[[PHP]]; ;[[Drupal]]
KonaKart;DS Data Systems UK Ltd;dunno;8.8.1.0;2018-02-13;[[GNU LGPL]];[[Java (programming language)|Java]]; ; 
LemonStand;Limewheel Creative Inc.;dunno;1.5.52;2011-06-03;[[proprietary software|Proprietary]];[[PHP]]; ; 
Magento;Varien;2007-08-13;2.2.4;2018-05-02;[[Open Software License 3.0|OSL 3.0]];[[PHP]];[[Zend Framework]]; 
Miva Merchant;Miva, Inc.;dunno;9;2014-11-17;[[proprietary software|Proprietary]];[[MIVA Script]]; ; 
nopCommerce;Nop Solutions Ltd;2008-10-23;3.90;2017-03-14;[[GNU General Public License|GPL]];[[C Sharp (programming language)|C#]];[[ASP.NET MVC]]; 
OpenCart;OpenCart Ltd.;1999-05-11;2.3.0.2;2016-08-01;[[GNU General Public License|GPL]];[[PHP]];;
osCommerce;osCommerce;2000-03;2.3.4;2014-06-05;[[GNU GPL]];[[PHP]]; ;
pimcore;pimcore GmbH;2010;5.1.1;2017-03-22;[[BSD Licenses|BSD]];[[PHP]];[[Symfony]];[[pimcore]]
PrestaShop;PrestaShop SA;2007-08-15;1.7.;2017-04-20;[[Open Software License 3.0|OSL 3.0]];[[PHP]];Model-View-Controller; 
ProStores (discontinued);ProStores Inc.;dunno;10.3;2011-05-17;[[proprietary software|Proprietary]];[[PHP]]; ; 
Sana Commerce;Sana Commerce;dunno;SC v 9.0;2015-02-15;[[proprietary software|Proprietary]];[[C Sharp (programming language)|C#]];ASP.NET WebForms and [[ASP.NET MVC]]; 
Shopify;Shopify;2006;Continuous/SAAS;Continuous/SAAS;[[proprietary software|Proprietary]];[[Ruby (programming language)|Ruby]];[[Ruby on Rails]]; 
Spree Commerce;Sean Schofield;2007;3.3.1;2017-09-15;[[BSD Licenses|BSD]];[[Ruby (programming language)|Ruby]];[[Ruby on Rails]];
Storehippo;Hippo Innovations P Ltd;2014;Continuous/SAAS;Continuous/SAAS;[[proprietary software|Proprietary]];[[Node.js]];[[MEAN (software bundle)]];
SupaDupa;SupaDupa;dunno;Continuous/SAAS;Continuous/SAAS;[[proprietary software|Proprietary]];[[Ruby (programming language)|Ruby]];[[Ruby on Rails]];
uCoz;uCoz Media;dunno;Continuous/SAAS;Continuous/SAAS;[[proprietary software|Proprietary]];[[Perl]]; ;
Virto Commerce;Virto Commerce Development Team;2011-02-02;2.13.14;2017-08-08;[[Open Software License 3.0|OSL 3.0]] + advertising clause;[[C Sharp (programming language)|C#]];; 
VirtueMart;Max Milbers and Team;dunno;3.2.2;2017-05-17;[[GNU General Public License|GPL]];[[PHP]]; ;[[Mambo (software)|Mambo]] or [[Joomla!]]
WooCommerce;WooThemes;2011;3.4.4;2018-07-25;[[GPL]];[[PHP]];;[[WordPress]]
Zen Cart;Zen Ventures;2003-06;Zen Cart version;releasedate;[[GNU General Public License|GPL]];[[PHP]]; ; 
;Creator;First release date;Latest stable version;Latest release date;License;Language;Web application framework;CMS extension
