;Multiple store fronts;Affiliates;API (remote management functions);Minimum orders;Multiple vendor support;Out-of-the-box shopping cart
Apache OFBiz;yes;yes;yes;yes;no;yes
Batavi;n/a;no;no;yes;yes;yes
Bigcommerce;no;3rd party module;yes;yes;yes;yes
Drupal Commerce;yes;yes;yes;yes;yes;yes
KonaKart;n/a;no;yes;yes;yes;yes
Magento;yes;3rd party module;yes;yes;yes;yes
nopCommerce;yes;yes;yes;yes;yes;yes
osCommerce;n/a;no;no;yes;no;yes
pimcore;yes;yes;yes;yes;yes;no
PrestaShop;yes;yes;yes;yes;yes;yes
Sana Commerce;yes;yes;yes;yes;yes;yes
Shopify;no;yes;yes;yes;yes;yes
SupaDupa;no;no;no;no;no;yes
Virto Commerce;yes;yes;yes;yes;yes;yes
WooCommerce;no;yes;yes;no;yes;no
Zen Cart;free add-on;3rd party module;no;free add-on, low order fee std.;no;yes
;Multiple store fronts;Affiliates;API (remote management functions);Minimum orders;Multiple vendor support;Out-of-the-box shopping cart
