;Amazon FPS;Checkout by Amazon;Google Checkout;PayPal Express
Apache OFBiz;no;yes;yes;yes
Batavi;no;dunno;no;no
Bigcommerce;no;no;no;yes
Drupal Commerce;yes;dunno;yes;yes
Magento;yes;free add-on;yes;yes
nopCommerce;yes;yes;yes;yes
osCommerce;no;dunno;no;yes
pimcore;no;no;no;no
PrestaShop;yes;yes;yes;yes
Sana Commerce;no;no;no;yes
Shopify;no;dunno;yes;yes
Virto Commerce;no;no;no;yes
WooCommerce;no;yes;yes;yes
Zen Cart;no;free add-on;free add-on;yes
;Amazon FPS;Checkout by Amazon;Google Checkout;PayPal Express
