;Flat file;MySQL;MySQLi;PostgreSQL;MSSQL;Oracle;SQLite;Firebird;Apache Derby;MongoDB
Apache OFBiz;no;yes;no;yes;yes;yes;no;yes;yes;dunno
Batavi;no;yes;no;no;no;no;no;no;dunno;no
Bigcommerce;no;yes;no;yes;no;no;no;no;dunno;no
Drupal Commerce;no;yes;yes;yes;no;no;yes;no;no;dunno
KonaKart;no;yes;no;yes;yes;yes;no;no;dunno;no
LemonStand;yes;yes;no;no;no;no;no;no;dunno;no
Magento;no;yes;yes;no;no;no;no;no;no;no
nopCommerce;no;no;no;no;yes;no;no;no;no;no
OpenCart;no;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno;no
osCommerce;no;yes;no;no;no;no;no;no;no;no
pimcore;no;yes;no;no;no;no;no;no;no;no
PrestaShop;no;yes;yes;no;no;no;no;no;no;no
Sana Commerce;no;no;no;no;yes;no;no;no;dunno;no
Shopify;no;yes;yes;no;no;no;no;no;dunno;no
Spree Commerce;dunno;yes;dunno;yes;dunno;dunno;yes;dunno;no;no
Storehippo;no;no;no;no;no;no;no;no;no;yes
SupaDupa;no;yes;yes;no;no;no;no;no;dunno;no
WooCommerce;no;yes;yes;no;no;no;no;no;no;no
X-Cart;no;yes;yes;yes;no;no;no;no;no;no
Zen Cart;no;yes;yes;no;no;no;no;no;no;no
;Flat file;MySQL;MySQLi;PostgreSQL;MSSQL;Oracle;SQLite;Firebird;Apache Derby;MongoDB
