;Source code provided;Ajax use;Digital downloads;eBay listing integration;eBay order import;Multiple skins;Point of sale order management;Subscriptions;Taxation;Template engine
Apache OFBiz;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Bigcommerce;yes;yes;yes;yes;yes;yes;yes;no;yes;yes
Drupal Commerce;yes;yes;yes;no;no;yes;yes;yes;yes;yes
LemonStand;yes;yes;yes;no;no;yes;yes;yes;yes;yes
nopCommerce;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Magento;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
pimcore;yes;yes;yes;no;no;n/a;yes;yes;yes;n/a
OpenCart;yes;yes;yes;Add-on;Add-on;yes;no;yes;yes;yes
osCommerce;yes;yes;yes;dunno;dunno;n/a;yes;yes;yes;n/a
PrestaShop;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Sana Commerce;yes;yes;yes;no;no;yes;yes;yes;yes;yes
Shopify;no;yes;yes;yes;yes;yes;yes;no;yes;yes
SupaDupa;no;yes;no;no;no;yes;yes;no;yes;yes
Virto Commerce;yes;yes;yes;no;no;yes;yes;yes;yes;yes
WooCommerce;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Zen Cart;yes;yes;yes;no;no;yes;no;yes;yes;yes
;Source code provided;Ajax use;Digital downloads;eBay listing integration;eBay order import;Multiple skins;Point of sale order management;Subscriptions;Taxation;Template engine
