;Product import-export;Statistics;Stock control;WYSIWYG editor
Apache OFBiz;yes;yes;yes;yes
Batavi;yes;yes;yes;yes
Bigcommerce;yes;yes;yes;yes
Drupal Commerce;yes;yes;yes;yes
KonaKart;yes;yes;yes;yes
LemonStand;yes;yes;yes;yes
Magento;yes;yes;yes;yes
nopCommerce;yes;yes;yes;yes
osCommerce;free add-on;yes;yes;free add-on
pimcore;yes;yes;yes;yes
PrestaShop;yes;yes;yes;yes
Sana Commerce;yes;yes;yes;yes
Shopify;yes;yes;yes;no
SupaDupa;yes;yes;yes;no
Virto Commerce;yes;yes;yes;yes
WooCommerce;yes;yes;yes;yes
Zen Cart;free add-on;yes;yes;free add-on
;Product import-export;Statistics;Stock control;WYSIWYG editor
