;HTML catalog;Meta tagging;RSS feeds;SEO URLs;Site map, XML;GoodRelations RDFa
Apache OFBiz;yes;yes;no;yes;yes;no
Batavi;yes;yes;no;yes;no;no
Bigcommerce;yes;yes;yes;yes;yes;no
Drupal Commerce;yes;yes;yes;yes;yes;yes
KonaKart;yes;yes;yes;yes;no;no
LemonStand;dunno;dunno;dunno;dunno;dunno;dunno
Magento;yes;yes;yes;yes;yes;no
nopCommerce;yes;yes;yes;yes;yes;no
osCommerce;no;no;free add-on;yes;free add-on;yes
pimcore;yes;yes;yes;yes;yes;yes
PrestaShop;yes;yes;yes;yes;yes;yes
Sana Commerce;yes;yes;no;yes;yes;no
Shopify;yes;yes;yes;yes;yes;yes - added manually
SupaDupa;yes;yes;no;yes;yes;no
Virto Commerce;yes;yes;no;yes;yes;no
WooCommerce;yes;yes;yes;yes;yes;yes
Zen Cart;free add-on, printable price list;yes;free add-on;free add-on;free add-on;no
;HTML catalog;Meta tagging;RSS feeds;SEO URLs;Site map, XML;GoodRelations RDFa
