Foundatio;Company;Founded;Storage;bandwidth;File size limit;FTP upload;Page builder;Templates;Ad-free;Blog;Domain registration;Archive site;Custom HTML;Custom CSS;Custom JavaScript;Custom File hosting;API;HTML5;eCommerce;Prices of connecting owned domain
Angelfire;Lycos;1996;002020 MB;0010001 GB;dunno;Paid Only;yes;yes;no;yes;yes;no;yes;yes;no;no;no;no;no;?
Google Sites*;Google;2008;0100100 MB;0300001 GB/day;02020 MB;No;Yes;Yes;Yes;No;No;partial;Yes;Yes;no;no;no;no;no;00.00Free
Jimdo;Jimdo;2007;0500500 MB;0020002GB;01010 MB - 100 MB;no;yes;yes;Paid Only;yes;Paid Only;no;yes;yes;yes;no;no;yes;yes;90.00US$90/year
Neocities;Neocities;2013;10001 GB;200000200 GB;100100 MB;no;yes;yes;yes;no;Paid Only;yes;yes;yes;yes;no;yes;yes;no;60.00US$5.00/mo
Tripod.com;Lycos;1995;002020 MB;0010001 GB;dunno;no;yes;yes;no;yes;Yes;no;no;no;no;no;no;no;no;?
uCoz;uCoz Media;2005;0400400 MB;Unlimited;01515 MB;yes;yes;yes;no;yes;Yes;yes;yes;yes;yes;yes;yes;no;no;?
Webnode;Webnode;2008;0100100 MB;0010001 GB;100100 MB;no;yes;yes;no;yes;Paid Only;yes;partial;partial;partial;yes;no;yes;yes;47.40US$3.95/mo
Webs;FreeWebs;2001;004040+ MB;000500500 MB;dunno;Paid Only;yes;yes;no;yes;yes;yes;Paid Only;Yes;dunno;dunno;no;no;yes;71.88US$5.99/mo
Weebly;Weebly;2006;0500500MB;Unlimited;01010 MB;no;yes;yes;no;yes;Paid Only;yes;partial;yes;yes;yes;yes;yes;Paid Only;96.00US$96/yr
Wix.com;Wix.com;2006;0500500MB;000500500MB;05050MB;No;yes;yes;US$10/mo;yes;Paid Only;yes;Partial;Inline Only;Yes;no;Yes;Yes;Yes;60.00US$5.00/mo
WordPress.com;Automattic;2004;30003 GB;Unlimited;Unlimited;no;yes;yes;no;yes;yes;yes;Partial;Paid Only;no;no;yes;yes;yes;04.00US$4.00/mo
Yola;Yola;2007;10001 GB;0010001 GB;0055 MB;No;yes;yes;yes;yes;Paid only;yes;yes;yes;no;yes;Paid only;Yes;No;US$4.95/mo
