;Manufacturer;First public release date;Product line;Launch price (USD);Units sold
Atari Lynx;Atari;dmy;Atari Lynx;$189;3000000
Atari Lynx II;Atari;1;Atari Lynx;$179;500000
Dingoo A320;Dingoo Digital Technology;2009;Dingoo;$82.80;1000000
Epoch Game Pocket Computer;Epoch Co.;1984;Epoch Game Pocket Computer; ; 
Gamate;Bit Corporation;1990;Gamate; ; 
GameKing;Timetop;2003;GameKing;$10–20 (depending on retailer's subsidies and special offers); 
GameKing II;Timetop;2004;GameKing;$15–30 (depending on retailer's subsidies and special offers); 
Game Boy;Nintendo;dmy;Game Boy line;$89.99;70000000March 2008
Game Boy Advance;Nintendo;dmy;Game Boy line;$100;37700000
Game Boy Advance SP;Nintendo;dmy;Game Boy line;$99.99;43020000
Game Boy Advance SP (backlit model);Nintendo;dmy;Game Boy line;$79; 
Game Boy Color;Nintendo;dmy;Game Boy line;$69.99;48600000July 2011
Game Boy Light;Nintendo;1997 (Japan only);Game Boy line; ; 
Game Boy Micro;Nintendo;dmy;Game Boy line;$99;2500000
Game Boy Pocket;Nintendo;1996;Game Boy line;$59April 2008; 
Game.com;Tiger Electronics;09;Game.com;$59–69;300000
GCW Zero;Game Consoles Worldwide;03;GCW;$150;
Gizmondo;Tiger Telematics;2005;Gizmondo;$229–400 (depending on advertising subsidies);25000
GP2X;GamePark Holdings;dmy;GP2X;$185;60000 (inc. GP2X F200 sales)
GP2X F200;GamePark Holdings;dmy;GP2X;$169;60000 (inc. original GP2X sales)
GP2X Wiz;GamePark Holdings;dmy;GP2X;$179;
GP2X Caanoo;GamePark Holdings;dmy;GP2X;$150;
GP32;Game Park;dmy;GP32;$239;30000
GPD Win;GamePad Digital;October 2016;GPD Win;$350–400;GPD Win 2
GamePad Digital;May 2018;GPD Win;$649-899 (pre-order, and tentative release prices);Mega Duck/Cougar Boy;Creatonic, Videojet, and Timlex
1993;Mega Duck/Cougar Boy;$50; ;Microvision;Milton Bradley Company
10;Microvision;$49.99; ;Mi2;Planet interactive
10;Pocket Dream Console;€70;;Neo Geo Pocket;SNK Playmore
1998;Neo Geo;$69; ;Neo Geo Pocket Color;SNK Playmore
dmy;Neo Geo;$69; ;Neo Geo X;SNK Playmore
dmy;Neo Geo;$199;;Nintendo DS;Nintendo
dmy;Nintendo DS;$149.99;18820000;Nintendo DS Lite;Nintendo
dmy;Nintendo DS;$129.99;84,490,000;Nintendo DSi;Nintendo
dmy;Nintendo DS;$169;16,430,000;Nintendo 3DS;Nintendo
dmy;Nintendo DS;$249.99;72890000 (as of June 2018);Nintendo Switch;Nintendo
3 March 2017;Nintendo Switch;$299.99;19670000 (as of June 2018);Nintendo 2DS;Nintendo
12 October 2013;Nintendo DS;$79.99;;Nintendo 2DS XL;Nintendo
15;Nintendo DS;;;N-Gage;Nokia
dmy;N-Gage;$299;3000000;N-Gage QD;Nokia
dmy;N-Gage;$0–245 (depending on cell provider subsidies);;Pandora;OpenPandora
dmy;Pandora;$349 (1st and 2nd batch)Rebirth edition: €370 (€440 incl. VAT);7500;PlayStation Portable;Sony Computer Entertainment
dmy;PlayStation;$249.99;51,260,000;PlayStation Portable Slim and Lite;Sony Computer Entertainment
dmy;PlayStation;$199.99;;PlayStation Vita;Sony Computer Entertainment
dmy;PlayStation;$299.99 Wi-Fi+3G$249.99 Wi-Fi Only;4000000 (as of 2015);PocketFami;GameTech
2004;PocketFami;$80; ;Sega Game Gear;Sega
dmy;Sega Game Gear;$150;11000000;Sega Nomad;Sega
1995;Sega Nomad;$180;1000000;SwanCrystal;Bandai
dmy;WonderSwan;$65; ;Tapwave Zodiac;Tapwave
dmy;Tapwave Zodiac;$300–400 (depending on configuration);200000;TurboExpress;NEC
1990;TurboExpress;$349;1500000;VG Pocket;Pelican Accessories
08;VG Pocket;$39.99; ;Watara Supervision;Watara
1992;Supervision;$50; ;WonderSwan;Bandai
dmy;WonderSwan; ;;WonderSwan Color;Bandai
dmy;WonderSwan;$65; ;Xperia PLAY;Sony Ericsson
1;Xperia;;;;
