;GUI;Console;Software license;Latest stable version;Latest release date;Windows;Macintosh;Linux
beye;No;Yes;[[GNU General Public License|GPL]];6.1.0;12;yes;yes;yes
bvi;No;Yes;[[GNU General Public License|GPL]];1.4.0;07;DOS, Win95 and up;yes;yes
Cheat Engine;Yes;No;[[Adaptive Public License|APL]];6.8.1;23;yes;Yes, ver. 6.2;no
GNU Emacs;Yes;Yes;[[GNU General Public License|GPL]];25.2;25;yes;yes;yes
FlexHex;Yes;No;Proprietary (Freeware);2.7;12;Windows XP and up;no;no
Frhed (Free Hex Editor);Yes;No;[[GNU General Public License|GPL]];1.7.1;30;Win98 and up;no;no
Hiew;No;Yes;Proprietary;8.52;06;yes;no;no
HxD;Yes;No;Proprietary (Freeware);2.1;27;Win95, WinNT4 and up;no;no
VEDIT;Yes;Yes;Proprietary;6.24.2;1;yes;no;no
UltraEdit;Yes;No;Proprietary;23.20 (Windows)  16.1 (Linux / Mac OS X);05;yes;yes;yes
WinHex;Yes;No;Proprietary;19.5;27;Win95 and up;no;no
