Product;Book store(s);Book search;In-app Epub import;Import via in-app Browser;OPDS catalog;Other import via;Tag books;Sort books
Apabi Reader;yes;yes;yes;no;yes;eMail (MIME type)Built-in web server;no;yes
Blio;no;no;yes;no;no;eMail (MIME type);no;no
Bluefire Reader;Free ebook libraries only;yes;no;no;no;eMail (MIME type)iTunes File SharingBuilt-in Web Server;no;yes
DL Reader;yes;no;yes;yes;no;eMail (MIME type);yes;no
eBookMobi;Free ebook libraries only;yes;yes;yes;no;eMail (MIME type);no;yes
eBookReader;no;no;yes;no;no;Built-in web server;yes;yes
i2Reader;no;yes;yes;yes;yes;Calibre (Bonjour)Built-in web server;no;yes
iBooks;Apple [[IBookstore#iBookstore|iBookstore]];yes;no;no;no;eMail (MIME type);no;yes
Kindle;no;no;no;no;no;iTunes File Sharing;no;no
Kobo Reading App;no;no;no;no;no;eMail (MIME type);no;no
KyBook;Free ebook libraries only;yes;yes;yes;yes;eMail (MIME type)Google BooksDropboxGoogle DriveYandex DiskVK DocsNetwork foldersiTunes File Sharing;yes;yes
KyBook 2;yes;yes;yes;yes;yes;eMail (MIME type)Google BooksDropboxGoogle DriveYandex DiskOneDriveiCloudCould Mail.ruOwnCloud (WebDav)VK DocsNetwork folders (SMB/CIFS)Apple Folders AppiTunes File Sharing;yes;yes
MapleRead;Free ebook libraries only;yes;yes;yes;yes;Built-in web serverCalibre (Bonjour)eMail (MIME type)DropboxiTunes File Sharing;yes;yes
Marvin;Free ebook libraries only;yes;yes;yes;yes;Calibre (Bonjour)eMail (MIME type)DropboxiTunes File Sharing;yes;yes
MegaReader;no;yes;yes;no;yes;Calibre (Bonjour)eMail (MIME type);no;no
PocketBook reader;yes;yes;no;yes;yes;iTunes File SharingeMail (MIME type);no;yes
ShuBook;yes;yes;yes;yes;yes;Calibre (Bonjour)eMail (MIME type)iTunes File Sharing;yes;yes
Stanza;no;yes;yes;no;yes;Calibre (Bonjour)eMail (MIME type)iTunes File Sharing;yes;yes
uBooks XL;no;yes;yes;no;yes;eMail (MIME type)iTunes File Sharing;no;yes
iBouquiniste;Free ebook libraries only;yes;yes;no;yes;eMail (MIME type);no;yes
Product;Book store(s);Book search;In-app Epub import;Import via in-app Browser;OPDS catalog;Other import via;Tag books;Sort books
