 Manager; Creator(s); First public release date; Latest stable version; Downloadable without paying?; Software license; Windows; Mac OS X; Linux
Amarok;Mark Kretschmann;2003-06-23;Latest stable release/Amarok;yes;GPL;yes;table-experimental (leopard);yes
Banshee;Aaron Bockover;2005-08;Latest stable release/Banshee;yes;MIT;table-experimental;table-experimental;yes
Clementine;David Sansome, John Maguire;February 2010;Latest stable software release/Clementine;yes;GPL v3;yes;yes;yes
ephPod;ephpod;dunno;2.77 (January 16, 2009);yes;dunno;yes (XP, NT, 2k);no;no
gtkpod;Jorg Schuler;dunno;2.1.5 (Jun 2, 2015);yes;GPL;no;no;yes
iRip;The Little App Factory;2003-09;Latest stable software release/iRip;no;Proprietary;yes;yes;no
iTunes;Apple Inc.;2001-01-08;Latest stable release/iTunes;yes;Proprietary;yes;yes;no
JRiver Media Center;J. River;2003-07;Latest stable release/Media_Center;yes (trial);Proprietary;yes;yes;no
MediaMonkey;Ventis Media Inc.;2003-08-25;Latest stable release/MediaMonkey;yes (Standard);Proprietary;yes;no;no
Rhythmbox;Colin Walters;2004-04;Latest stable release/Rhythmbox;yes;GPL;no;no;yes
Senuti;FadingRed;2006-04-26;1.1.7 (Oct 6, 2009);yes (limited trial);Proprietary;no;yes;no
Winamp native;Nullsoft;1997-06;Latest stable release/Winamp;yes (Bundle & Full);Proprietary;yes;no;no
XPlay;Mediafour;2002-06-24;3.5.0 (Dec 30, 2009);no;Proprietary;yes;no;no
TouchCopy;Wide Angle Software;2000-05;12 (2016);Yes (Limited Features Trial)Yes;Proprietary;Yes;Yes;No
Manager;Creator(s);First public release date;Latest stable version;Downloadable without paying?;Software license;Windows;Mac OS X;Linux
