 Manager; Download Podcasts; Rebuild iPod Database; Portable; 6th Gen. Firmware; 5th Gen. nano Firmware; shuffle3G Firmware; iPod touch / iPhone support; Photo support; Supports Gapless Metadata
Amarok;yes;yes;dunno;yes;dunno;no;yes4;dunno;dunno
Banshee;yes;yes;dunno;no;yes;yes;yes;dunno;dunno
Clementine;yes;no;dunno;no;no;dunno;yes;dunno;dunno
EphPod;no;yes;dunno;dunno;no;no;no;no;no
gtkpod;no;dunno;dunno;yes2;yes4;yes4;yes, jailbroken only;dunno;yes
iRip;yes;dunno;yes;yes;yes;yes;yes;yes;yes
iTunes;yes;yes;no;yes;yes;yes;yes;yes;yes
JRiver Media Center;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
MediaMonkey;yes;yes;yes;yes;yes;yes;yes;no;yes
Rhythmbox;yes;dunno;dunno;dunno;yes;no;yes4;no;no
Senuti;no;dunno;dunno;dunno;dunno;dunno;yes;dunno;dunno
Winamp native;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes
XPlay;no;yes;no;dunno;dunno;dunno;dunno;yes;dunno
Manager;Download Podcasts;Rebuild iPod Database;Portable;6th Gen. Firmware;5th Gen. nano Firmware;shuffle3G Firmware;iPod touch / iPhone support;Photo support;Supports Gapless Metadata
