Client;Publisher;First public release;Type;Latest stable version;License
Adium;Adam Iser, Evan Schoenberg;2001-09;Multi-protocol;Latest stable software release/Adium;[[GPLv2]]
aMSN;The aMSN team;2002-05;Single-protocol;0.98.4;[[GNU General Public License|GPL]]
AOL Instant Messenger (AIM);AOL;1997-05;Single-protocol;Latest stable software release/AOL Instant Messenger;Discontinued (was freeware)
AstraChat;Rockliffe System Inc;2014-09;Single-protocol;1.71.41 (31);[[Proprietary software|Proprietary]]
Ayttm;Colin Leroy and Philip Tellis;2003-04;Multi-protocol;Linux: 0.6.3 (10 Jul 2010)Windows: 0.4.6-17;[[GPL]]
BlackBerry Messenger (BBM);BlackBerry Limited;2006;Single-protocol;Latest stable software release/BlackBerry Messenger (BBM);[[Freeware]]
BitlBee;Wilmer van der Gaast;2002-08-09;Multi-protocol IRC gateway;Latest stable software release/BitlBee;[[GPL]]
Bombus;Eugene Stahov;2005-01-05;Single-protocol;v0.6 (2008);[[GPL]]
Centericq;Konstantin Klyagin;1999;Multi-protocol;Latest stable software release/Centericq;[[GPL]]
Coccinella;Mats Bengtsson;1999-12-01;Single-protocol;0.96.16 (01);[[GPLv3]]
Discord;Discord Inc.;2015-03-06;Single-protocol;03.30.2017"; (30);[[Freeware]]
eBuddy;Paulo Taylor;2003-03-09;Multi-protocol;2011;[[Freeware]]
emesene;Luis Mariano Guerra;2006-05-24;Multi-protocol;2.12.5;[[GPL]]
Empathy;The GNOME Project;2007-05;Multi-protocol;Latest stable software release/Empathy (software);[[GPL]]
Facebook Messenger;Facebook, Inc.;2011-08-09;Single-protocol; ;[[Freeware]]
FaceTime;Apple Inc.;2010-06-24 for iOS"; 2011-02-24 for macOS:;Single-protocol;iOS: 10.3.3 (stable),  macOS: 4.0 (3080),;Part of [[macOS]] or [[iOS]]
Fire;Eric Peyton;1999-04-01;Multi-protocol;Latest stable software release/Fire;[[GPL]]
Firetalk;Multitude Communications;1997 -2001;voice/music chat program; ;[[GPL]]
Flock;Riva FZC;September 2014;Single-protocol;iOS: v2.28.5, Android: v4.5, OS X: v2.2.144, Windows: v2.2.x, Web: v2.2.x;[[Freemium]]
Gadu-Gadu;?ukasz Foltyn / GG Network S.A.;2000-08-15;Single-protocol;Modern UI: 2.0.0.179Desktop: 12.0.49.11103 ();[[Freeware]]
Gajim;Yann Le Boulanger;2004-05-21;Single-protocol;Latest stable software release/Gajim;[[GPL]]
Google Allo;Google, Inc.;2016-09-21;Single-protocol;Latest stable software release/Google Allo;[[Freeware]]
Google Hangouts;Google, Inc.;2013-05-15;Single-protocol; ;[[Freeware]]
Hookt;Hookt, Inc.;2011-09-14;Single-protocol; ;[[Freeware]]
Hike;Bharti SoftBank;2012-12-12;Single-protocol;3.2.0 2.6.2.0 2.6.2 2.6.0 2.6.0;[[Freeware]]
IBM Lotus Sametime;IBM, Ubique;1998;Multi-protocol— proprietary T.120, SIP, XMPP;9.0.0 (20);[[Proprietary software|Proprietary]] [[commercial software]]
iChat;Apple Inc.;2002-08;Multi-protocol;6.0.1 (1002) (01), replaced by Messages;Part of [[macOS]]
ICQ;Mail.Ru;1996-11;Single-protocol;8.0.5977 (14);[[Apache license]]
IMVU;Will Harvey;2001-07;Multiple-protocol;3.0;[[Freemium]]
Instantbird;Florian Quèze;2007;Multi-protocol;Latest stable software release/Instantbird;GPLv2
Jitsi;Emil Ivov;2003;Multi-protocol;Latest stable software release/Jitsi;[[GNU Lesser General Public License|LGPL]]
Kadu;Kadu Team;2001-08;Multi-protocol;4.1 (02);GPLv2
KakaoTalk;Kakao Corp.;2010-03-18;single-protocol;iOS: 5+ Android: 4+ Windows Phone: 2+ BlackBerry: 3+ Windows 8;[[Freeware]]
Kik Messenger;Kik Interactive;2010-10;Single-protocol;6.2;[[Freeware]]
Kopete;Kopete Team;2002-03-03;Multi-protocol;Latest stable software release/Kopete;[[GPL]]
Libon;Orange S.A.;2012-11-21; ; ;[[Freemium]]
Line;LINE Corporation;2011;Single-protocol;iOS: 3.8.2 Android: 3.8.5 Windows Phone: 2.6.0.137 BlackBerry: 1.8.23 Windows: 5.8.1706;[[Freemium]]
MCabber;Mikael Berthe;2005-06-07;Single-protocol;Latest stable software release/MCabber;[[GPL]]
Meetro;Paul Bragiel & Samuel Stauffer;2005;Multi-protocol;Windows: 0.96 betaOS X: 0.53 beta;Discontinued
Messages;Apple Inc.;2012-07-25;Multi-protocol;8.1.3 (27);Part of [[macOS]] and [[iOS]]
Skype for Business;Microsoft;2005;Single-protocol;2013 (02);[[Trialware]]
Miranda IM;Miranda IM project;2000-02-06;Multi-protocol;Latest stable software release/Miranda IM;[[GPL]]
Mysms;sms.at mobile internet services gmbh;2011;Single-protocol;dunno;[[Freemium]]
MySpaceIM;MySpace;2006-05-09;Single-protocol;1.0.754.0 (07);[[Freeware]]
naim;Daniel Reed;1998-10-05;Multi-protocol;0.11.8.3.1 (09);[[GPL]]
