IDE;Developer;Latest stable release;Platform;License;Written in
Anjuta;Anjuta Team;June 2013;Unix-like;[[GNU General Public License|GPL]];C
Atom;GitHub;March 2017;Cross-platform;[[MIT License]];JavaScript
Brackets;Adobe;September 2017;Cross-platform;[[MIT License]];JavaScript, HTML, CSS
Aptana Studio;Aptana, Inc.;December 2013;Cross-platform;[[GNU General Public License|GPL]], proprietary;Java, JavaScript
Codeanywhere;Codeanywhere, Inc.;August 2015;Cloud IDE;proprietary;JavaScript
CodeLite;CodeLite;October 2015;Cross-platform;[[GNU General Public License|GPL]];C++
Eclipse Web Tools;IBM;;Windows, Linux, macOS, FreeBSD, JVM, Solaris;[[Eclipse Public License|EPL]];C, Java
Komodo IDE / Edit;ActiveState;November 19, 2013;Cross-platform;IDE:[[Proprietary software|Proprietary]], Edit:[[Mozilla Public License|MPL]] 1.1;C, C++, JavaScript, Perl, Python, Tcl, XUL
NetBeans;Oracle;9.0 / 29;Cross-platform;[[CDDL]], GPL2;Java
Nodeclipse NTS;Nodeclipse;March 31, 2014;Windows, Linux, macOS, FreeBSD, JVM, Solaris;[[Eclipse Public License|EPL]];Java
NuSphere PhpED;NuSphere;June 2011;Windows;proprietary;N/A
Oracle JDeveloper;Oracle Corporation;July 2013;Windows, Linux, macOS;proprietary – free;Java
Servoy;Servoy Developer Team;June 2011;Cross-platform;Servoy License;Java
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, Solaris, AIX, HP-UX;Proprietary;C++
Visual Studio;Microsoft;March 31, 2016;Windows;proprietary;C++, C#
Visual Studio Code;Microsoft;1.18&nbsp";/&nbsp";November, 2017;Cross-platform;[[MIT License]];JavaScript
WebStorm;JetBrains;July 2017;Cross-platform;proprietary;Java
