IDE;Developer;Latest stable release;Platform;License;Autocomplete;Debugger;Refactoring support;VCS Support
Adobe Dreamweaver;Adobe Systems;-;Cross-platform;proprietary;yes;no;no;no
Aptana Studio;Aptana, Inc.;December 2013, 3.5.0;Cross-platform;[[GNU General Public License|GPL]], proprietary;yes;yes;no;via plugins
CodeLite;CodeLite;October 2015, 9.0;Cross-platform;[[GNU General Public License|GPL]];yes;yes;no;[[Git (software)|Git]], [[Apache Subversion|SVN]]
Codelobster;Codelobster;March 2018, 5.14.5;Windows;proprietary;yes;yes;no;via plugins
Eclipse Che;Eclipse Foundation / Zend;4.7 / September 2, 2016;Cross-platform;[[Eclipse Public License|EPL]];yes;yes;yes;unk
Eclipse PDT;Eclipse Foundation / Zend;5.2 / December 20, 2017;Windows, Linux, macOS, FreeBSD, JVM, Solaris;[[Eclipse Public License|EPL]];yes;yes;yes;[[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Mercurial]], [[Apache Subversion|SVN]] (via plugins)
Geany;Geany Team;1.27 / March 13, 2016;Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix;[[GPL]];yes;no;no;via plugins
HTML-Kit;Chami.com;292;Windows (all);proprietary;unk;no;unk;unk
KDevelop;KDE KDevelop Team;Latest stable release/KDevelop;Cross-platform;[[GPL]];yes;no;unk;[[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Apache Subversion|SVN]]
Komodo IDE / Edit;ActiveState;10.0.1 (June 2016);Cross-platform;proprietary;yes;yes;yes;[[GNU Bazaar|Bazaar]], [[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Mercurial]], [[Perforce]], [[Apache Subversion|SVN]]
NetBeans;Sun Microsystems / Oracle;9.0 / 29;Cross-platform on Netbeans;[[Common Development and Distribution License|CDDL]], [[GPL]];yes;yes;yes;[[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Mercurial]], [[Apache Subversion|SVN]]
PHPEclipse (Eclipse);PHPEclipse project team;1.2.2 / September 2009;Windows, Linux, macOS, FreeBSD, JVM, Solaris;[[Common Public License|CPL]];yes;yes;unk;unk
PhpED Professional;NuSphere Corporation;17.17022 / June, 2016;Windows;proprietary;yes;yes;unk;[[Concurrent Versions System|CVS]], [[Apache Subversion|SVN]], any other Windows-shell integrated
PHPEdit;WaterProof SARL;;Windows;proprietary;yes;yes;no;[[Concurrent Versions System|CVS]], [[Apache Subversion|SVN]]
PhpStorm (IntelliJ IDEA);JetBrains;2017.1.3 / April, 2017;Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris;proprietary;yes;yes;yes;[[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Mercurial]], [[Perforce]], [[Apache Subversion|SVN]]
Quanta Plus;KDE Web Dev Team;3.5.8 / October 16, 2007;Linux;[[GPL]];unk;no;unk;unk
RadPHP (formerly Delphi for PHP);Embarcadero Technologies;XE2 / August 30, 2011;Windows;proprietary;yes;yes;yes;unk
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, AIX, HP-UX, Solaris;Proprietary;Yes;Yes;No;Yes
Zend Studio;Zend;10.6 / February 2014;Cross-platform;proprietary;yes;yes;yes;[[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Apache Subversion|SVN]], others (via plugins)
