IDE;Developer;Latest stable release version;Latest stable release date;Platform;Written in;Widget toolkit;License;Python2x support;Python3x support;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static program analysis;GUI based design;Class browser;Code refactoring;Version control system support;Web framework support
Anjuta;Naba Kumar;3.22;2016-09-18;Unix-like;C;GTK+;[[GNU General Public License|GPL]];unk;unk;yes;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
eric;Detlev Offenbach;18.11;2018-11-01;Linux, Microsoft Windows, macOS;[[Python (programming language)|Python]];PyQt;[[GNU General Public License|GPLv3]] ""or later"";Yes, until version 4.5.25 and since version 5.5.0;Yes, since version 5.0.0;Yes, for Python 2 & 3;yes: Qt Creator;unk;yes;yes;yes;Multiple integrated checkers and [[Pylint]] via plug-in;yes;yes;yes;[[Apache Subversion|Subversion]] and [[Mercurial]] (core plug-ins), [[Git (software)|git]] (optional plug-in);[[Django (web framework)|Django]] as optional plug-in
Geany;Team;1.30;2017-03-05;Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix;C;GTK+;[[GNU General Public License|GPL]];unk;unk;no;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
IDLE;Guido van Rossum et al.;3.6;2016-12-23;Cross-platform;[[Python (programming language)|Python]];Tkinter;[[Python Software Foundation License|PSFL]];yes;yes;yes;unk;unk;no;no;yes;no;unk;yes;unk;no;unk
Komodo IDE;ActiveState;10.2;2017-02-21;Cross-platform;unk;Mozilla platform;Proprietary;yes;yes;yes;unk;unk;unk;unk;unk;unk;unk;unk;unk;[[GNU Bazaar|Bazaar]], [[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Mercurial]], [[Perforce]], [[Apache Subversion|SVN]];unk
KDevelop;KDE KDevelop Team;5.0.4;2017-03-04;Cross-platform;C, C++;Qt;[[GNU General Public License|GPL]];unk;yes;yes;unk;unk;unk;unk;yes;unk;unk;yes;yes;[[GNU Bazaar|Bazaar]], [[Concurrent Versions System|CVS]], [[Git (software)|Git]], [[Mercurial]], [[Perforce]], [[Apache Subversion|SVN]];unk
MonoDevelop;Novell and the Mono community;6.1.2.44;2016-11-11;Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris;C#;Gtk#;[[LGPL]];unk;unk;yes;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
Ninja-IDE;Team;2.3;2013-07-07;Cross-platform;[[Python (programming language)|Python]];PyQt;[[GNU General Public License|GPL]];yes (Python 2.7);no;yes (with wdebugger plugin);unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
PIDA;Team;0.6.2;2010-08-04;Cross-platform;[[Python (programming language)|Python]];PyGTK;[[GNU General Public License|GPL]];unk;unk;yes (integrates with external debuggers);unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
PyCharm;JetBrains;2017.1;2017-03-24;Windows, Linux, macOS;Java;Swing;[[Open core]]: Full version under [[Apache License 2.0]];yes;yes;yes;unk;unk;yes (full version only);yes (full version only);yes;yes PEP 8 and others;yes;yes;yes;yes;yes
PyDev / LiClipse (plug-in for Eclipse and Aptana);Appcelerator;5.5.0;2017-01-19;Windows, Linux, macOS, FreeBSD, JVM, Solaris;unk;SWT;[[Eclipse Public License|EPL]];yes;yes;yes;unk;unk;unk;unk;yes;yes;unk;yes;yes;yes;unk
PyScripter;Kiriakos Vlahos;3.0.1;2017-10-24;Windows;Object Pascal;JVCL;[[MIT License]];yes;yes up to v3.4;yes;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
Python Tools for Visual Studio;Microsoft;2.2.6;2017-01-13;Windows;unk;Windows Forms;[[Apache License 2.0]];yes;yes;yes;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
PythonAnywhere;PythonAnywhere LLP;N/A;N/A;Web-based;[[Python (programming language)|Python]];HTML;proprietary;yes;yes;no;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
SlickEdit;SlickEdit;21;October 2016;Windows, Linux, macOS, Solaris, AIX, HP-UX;C++;Qt;Proprietary;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No
SourceLair;SourceLair, Limited.;N/A;N/A;Web-based;[[Python (programming language)|Python]];HTML;proprietary;yes;no;no;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
Spyder;Carlos Cordoba and Contributors;3.3.2;2018-11-24;Cross-platform;[[Python (programming language)|Python]];PyQt, PySide;[[MIT License]];yes 2.7;yes 3.4 - 3.7;yes;no;yes;yes;no;yes;yes;unk;beta;planned;partial;no
Stani's Python Editor;Stani Michiels;0.8.4h;2008-02-14;Cross-platform;[[Python (programming language)|Python]];wxPython;[[GNU General Public License|GPLv2]];unk;unk;yes (with winpdb);unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
Thonny;Aivar Annamaa and contributors;3.0.8;2018-11-16;Windows, Linux, macOS;[[Python (programming language)|Python]];Tkinter;[[MIT License]];no;yes;yes;no;no;no;no;yes;no;unk;yes;no;no;no
Understand;SciTools;4.0;2015-04-01;Windows, Linux, macOS, Solaris, other Unix;unk;HTML;Proprietary;unk;unk;no;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk;unk
Visual Studio Code;Microsoft;1.26.1;2018-08-16;Linux, Microsoft Windows, macOS;JavaScript;HTML;[[MIT License]];yes;yes;yes;no;unk;yes;unk;yes;unk;unk;unk;unk;yes;yes
Wing;Wingware;6.1.2;2018-11-08;Windows, Linux, macOS;[[Python (programming language)|Python]];Qt5 with PyQt;[[Proprietary software|Proprietary]];yes;yes;yes (also remote, multi-threaded, and multi-process debugging);no;yes;no;no;yes;yes;yes;yes;yes;yes;yes
