IDE;License;Windows;Linux;macOS;Other platforms;Written in;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static code analysis;GUI-based design;Class browser;Latest stable release;C compiler;C++ compiler;Refactoring
Anjuta;[[GPL]];no;yes;no;FreeBSD;C;yes;yes;yes;Yes;no;Yes;no;Yes;Yes;2016-03;yes;yes;no
AppCode (IntelliJ IDEA);proprietary;no;no;yes;;Java;yes;yes;no;yes (Xcode profiler);no;yes;yes;yes;yes;2012-12;yes (Xcode toolchain);yes (Xcode toolchain);yes
C++Builder;[[Proprietary software|Proprietary]], [[Freeware software|Freeware]] (Starter edition only);yes;no (Cross compiler planned);yes (Cross compiler);cross-compiles for Android and iOS;C++ and Object Pascal;yes;yes;yes;yes (AQTime Standard in package manager);yes;yes;yes;yes;yes;2017-03 Tokyo 10.2;yes;yes;yes
Code::Blocks;[[GPL]];yes;yes;yes;FreeBSD, OpenBSD, Solaris;C++;yes;yes;yes;yes;yes;Yes;yes;Yes;yes;2017-12;yes (MinGW + custom);yes (MinGW + custom);yes
CodeLite;[[GPL]];yes;yes;yes;FreeBSD;C++;yes;yes;yes;Yes (As of CodeLite 6.1, integration with Valgrind);no;Yes;Yes;Yes;yes;2018-10-25;yes (GCC, Clang, VC + custom);yes (GCC, Clang, VC + custom);yes
Dev-C++;[[GPL]];yes;no;no;FreeBSD;Object Pascal;yes;no;yes;yes;no;yes;no;yes;yes;2013-10 (Unofficial Version), 2005-02 (Official Version);yes;yes;no
Eclipse CDT;[[Eclipse Public License|EPL]];yes;yes;yes;FreeBSD, JVM, Solaris;C++, Java;yes;yes;yes;yes;yes;yes;yes;yes;yes;2018-03;External;External;yes
Geany;[[GPL]];yes;yes;yes;FreeBSD, AIX, OpenBSD, Solaris, other Unix;C;yes (via a plug-in);no;no;no;no;Yes;no;no;yes;2016-03;External;External;no
GNAT Programming Studio;[[GPL]];yes;yes;yes;DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris;Ada;yes;yes;yes;yes;yes;yes;yes;no;yes;2016-06;yes;yes;yes
JetBrains CLion;[[Proprietary software|Proprietary]];yes;yes;yes;;Java;yes;no;yes;no;no;yes;yes;no;yes;2017-11;yes (customizable);yes (customizable);yes
KDevelop;[[GPL]];yes;yes;yes;FreeBSD, Solaris;C/C++;yes;yes;yes;yes;yes;Yes;yes;yes;yes;2018-11;External;External;yes
LabWindows/CVI;Proprietary;yes;no;no;cross-compile to Linux, Phar Lap ETS;dunno;yes;yes;yes;yes;no;yes;no;yes;N/A;2016-12;yes;no;no
Microsoft Visual Studio;[[Proprietary software|Proprietary]], [[Freeware software|Freeware]] (Community edition only);yes;no;yes;Mac OS 7 (v2.x-v4.x only), Linux;C++ and C#;yes;yes;yes;yes;yes;yes;Yes;yes;yes;2017-10;yes;yes;yes (also plugin)
MonoDevelop;[[LGPL]];yes;yes;yes;FreeBSD, OpenBSD, Solaris;C#;yes;yes;yes;no;no;yes;no;yes;yes;2016-11;yes (GCC + custom);yes (GCC + custom);yes
NetBeans C/C++ pack;[[CDDL]] and [[GPL]];yes;yes;yes;OpenBSD, Solaris;Java;yes;yes;yes;no;no;yes;no;yes;yes;2016-10;External;External;yes
OpenWatcom;[[Sybase Open Watcom Public License|OSI Approved]];yes (32-bit only);partial;no;FreeBSD, DOS, OS/2;C/C++;yes (GUI remote);yes;yes;yes;no;no;no;yes;yes;2010-06;yes;yes;no
Oracle Solaris Studio (formerly Sun Studio);[[Proprietary software|Proprietary]], [[Freeware software|Freeware]];no;yes;no;Solaris;dunno;yes;yes;yes;yes;yes;yes;yes;yes;yes;2008-11;yes;yes;yes
Qt Creator;[[GPL]] / [[LGPL]] / [[Proprietary software|Proprietary]];yes;yes;yes;FreeBSD, Maemo, OpenBSD, Symbian;C++;yes;yes;yes;yes;no;yes;yes (clang);yes;yes;2016-12;External;External;yes
Rational Software Architect (Eclipse IBM);proprietary;yes;yes;no;FreeBSD, JVM, Solaris;Java;yes;yes;yes;yes;yes;yes;yes;yes;yes;2015-09;External;External;yes
SlickEdit;Proprietary;Yes;Yes;Yes;Solaris, Solaris SPARC, AIX, HP-UX;C++;Yes;No;Yes;No;No;Yes;No;Yes;Yes;2016-10;External;External;Yes
Ultimate++ TheIDE;[[BSD]];yes;yes;no;;C++;yes;yes;yes;no;no;yes;no;yes;yes;2015-12;External;External;no
Understand;proprietary;yes;yes;yes;Solaris;dunno;no;no;no;no;no;yes;yes;no;yes;2015-12;no;no;yes
Xcode (Apple);proprietary;no;no;yes;cross compiles to iOS;C, C++, Objective-C, Objective-C++;yes;yes;yes;yes;yes;yes;yes;yes;yes;2016-12;yes, llvm (llvm-gcc and gcc deprecated);yes, llvm (llvm-gcc and gcc deprecated);yes
IDE;License;Windows;Linux;macOS;Other platforms;Written in C/C++;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static code analysis;GUI-based design;Class browser;Latest stable release;C compiler;C++ compiler;Refactoring
