 Client; Primary developers; Cost; Software license; User interface; Programming language; Computing platform; Website
AndroidChat; ;[[Free software]];GNU GPL;TUI, GUI;Java;Android; 
Mobile Colloquy;Kiji Roshi;[[US$]]1.99;BSD License;GUI;Objective-C;iOS; 
fIRC;Laurence Muller;[[Free software]];GNU GPL;GUI;Java;Android; 
IRCCloud;IRCCloud Ltd.;[[Freeware]];dunno;GUI;dunno;iOS, Android; 
jmIrc;Juho Vähä-Herttua;[[Free software]];GNU GPL;GUI;Java;Java ME; 
k-IRC;Armond Avanes;[[Free software]];GNU GPL;GUI;Java;Java ME; 
microirc; ;[[Free software]];GNU GPL;GUI;C ?;Windows Mobile 5 (and above); 
Virca; ;[[Free software]];GNU GPL;TUI;Java;Java ME; 
wIRC; ;[[Free software]];GNU GPL;GUI;C & JavaScript;WebOS; 
WLIrcWLIrc;Sverre Kristian Valskrå;[[Free software]];GNU LGPL;GUI;Java;Java ME; 
YaaicYaaic;Sebastian Kaspari;[[Free software]];GNU GPL;GUI;Java;Android; 
Simple IRC;The Linux Geek;[[Free software]];GNU GPL;GUI;Java;Android; 
zsIRCzsIRC;Gargaj;[[Free software]];3-clause BSD;GUI;C++;Windows Mobile; 
Client;Primary developers;Cost;Software license;User interface;Programming language;Computing platform;Website
