Name;License;Deployment;Platforms
10-Strike;Proprietary;Desktop;Windows
CloudView NMS;Shareware;Desktop;Windows, Linux, macOS
Manage Engine;Proprietary;Desktop;Windows
MaSSHandra;Proprietary;Desktop;Windows, Linux, macOS
netTransformer;GPL;Desktop;Windows/Linux/macOS
OpenNMS;AGPLv3;Desktop;Linux, macOS, others
SolarWinds;Proprietary;Desktop;Windows
PathSolutions;Proprietary;Desktop;Windows
Spiceworks;Proprietary;Desktop;Windows
The Dude;Proprietary;Desktop;Windows, Linux
WhatsUp Gold;Proprietary;Desktop;Windows
SmartHawk;Proprietary;Desktop;Windows, Linux
