Software;Type;Version;Operating systems;Developer;License;FDA cleared;Supported Devices
;Neurofeedback;Clinic 2.0"; Home 2.0;Windows;BetterFly Neurofeedback;Proprietary;Classification by device;U-WIZ, PocketNeurobics PendantEEG, BrainMaster 2EB
 ;Biofeedback: visual designer;2.0;Windows, Android;PROATECH LLC;Proprietary;No (but basis of Cygnet and others);Pocket Neurobics, BrainQuiry, NeuroAmp,Neurobit Optima,
 ;Neurofeedback;1.5;Windows;Cyberevolution, Larry Janow;Proprietary;No ""Intended for personal use..."";Brainmaster, BrainQuiry, NeuroAmp,Neurobit Optima,
 ;Neurofeedback/Biofeedback;6.1.0;Windows;Thought Technology Ltd, Dr. Hal Myers;Proprietary;Yes;Thought Technology
 ;Neurofeedback, Biofeedback, QEEG;2015;Windows;Mind Media B.V.;Proprietary;Medical class II;NeXus by Mind Media 4, 10 (MKII), 32
 ;Game;dunno;Java;Amy Palke;[[Open-source software|Open source]];No;
 ;Neurofeedback: MIDI, particle display;dunno;Windows;Chris Veigl and Jeremy Wilkerson;[[GPL]];No;Neurobit Optimaand more
 ;Neurofeedback;v12;Windows;Deymed Diagnostic;Proprietary;Yes;Deymed
 ;Neurofeedback, Biofeedback, and QEEG"; optional live z-scores (ANI or BrainDX), Live sLORETA Projector.;various including BrainAvatar.  Third-party SW includes: NeuroGuide, BioExplorer, BioERA, BrainPaint, SKIL, LENS, EEGer, BrainTrain, OpenVibe, EEGStudio;Windows;BrainMaster Technologies, Inc.      Thomas F. Collura;[[Proprietary software|Proprietary"; includes optional no-cost Application Programming Interfaces (API)]];FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe;Brainmaster 2E, 2EW, 2EB, Atlantis, Discovery, MINI-Q
 ;Evidence Based Neurofeedback, with a validated ] and replicated ] symptom based evaluation tool.;2.0  Includes BrainPrint™, Alpha Theta, Brain-Heart Coherence, Couples Synchrony, Nonlinear, Slow Cortical Potential, Coherence training and all other frequency rewards and inhibits.;N/A;BrainPaint, Inc.   William C. Scott;[[Proprietary software|Proprietary]];FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe;Brainmaster 2E, 2EW, 2EB, Atlantis, Discovery
 ;Brainwave viewer;1.0.5;Linux, Windows;Jim Peters;[[GPL]];No;
 ;Neurofeedback: one- and two channel frequency band training and ILF (SCP) training according to Othmer, Alpha-Theta training. With additional Mitsar device or x23 accessory also tomographic (sLoreta) neurofeedback. Add-ons for sLoreta feedback and flexible system configuration fully approved but not available to clinicians. For research institutions only. Biofeedback: pIR far-infrared triple-sensor feedback;2.0;Windows;BEE Systems LLC / Corscience;Proprietary;FDA class II, CE class IIa"; Software approved including feedback animations by SomaticVision"; accessory to EEG NeuroAmp;NeuroAmp plus add-ons: NeuroAmp x23, pIRx3, tactile feedback
 ;Biofeedback GSR & Temp;3.0;Windows;Somatic Vision Inc.;Proprietary;Unknown (not EEG);
 ;Neurofeedback & Analysisone-, two- and four channel training, Amplitude-, relative Amplitude-, Coherence-,Band-Ratio-, Asymmetry-inhibit-Training and more ..;1.5;Windows;Soft-dynamics, Geoffrey Arens;Proprietary;No – not stated or in FDA database;Pocket Neurobics, Neurobit Optima, Brainmaster
 ;Neurofeedback & Analysis;4.3.0;Windows;EEG Software LLC;Proprietary;FDA Class II;J&J, Telediagnostic Systems, Phoenix Neuro Systems,
 ;Neurofeedback;0.4;Windows;Rob Sacks;[[Open-source software|Open source]];No;
 ;Visual environment for designing behavioral experiments and mental games with real-time neurofeedback control and signal processing.;1.0;Windows;Okazolab Ltd;Proprietary;No;The majority of popular bio-amplifiers
LENSware;Neurofeedback &Analysis;3;Windows;OchsLabs;Proprietary;FDA Class II Exempt;Ochslabs A200 amplifier
 ;Neurofeedback, Biofeedback, and EEG-Driven Entrainment;1.3;Windows;Transparent Corporation;Proprietary;No but can use Bioexplorer, Biograph, BioEra links;See Bioexplorer, Biograph, BioEra
 ;Neurofeedback;1.1;Windows;MindReflector Technologies, LLC;Proprietary;No;NeuroSky
;Neurofeedback & Analysis;8.7.5;Windows;NeuroField, Inc.;Proprietary;FDA Class II;X3000 Plus and Q20 EEG
 ;Customizable Biofeedback, protocol designing and automated therapy solution;1.2.0;Windows, Mac OS, Linux, Android, iOS;neuromore Inc.;Proprietary;No; 
Neurofeedback;3.0;Windows;Valdeane W. Brown, Ph.D.;Proprietary;Unknown – not stated or in FDA database;zAmp from Zengar;KoalaModulo
Real-time Processing, Self Neuromodulation, Bio/Neurofeedback;2.2;Windows, Linux, Android;Mensia Technologies;Proprietary;Medical device CE class IIa;ANT: All devices Biosemi: ActiveTwo Mk I and ActiveTwo Mk II Brainmaster: Atlantis and Discovery 24 Brain Products: ActiCHamp, BrainAmp series, QuickAmp and vAMP Cognionics: Cognionics64 EGI: NetAmps 300 Emotiv: EPOC g.Tec: gMobilab+ and gUSBamp MindMedia: NeXus32, NeXus10 Mitsar: EEG 202"; NeuroElectrics: Enobio OpenEEG: ModularEEG Shimmer TMSi: Porti, Refa, MOBITA, MOBI, MOBI mini Wearable Sensing: DSI24 and DSI6; 
Raw EEG to TCP/IP + EDF converter;0.7.4;Linux, Windows;[Rudi Cilibrasi];[[GPL]];No;;OpenViBE
BCI, Visual Designer, Analysis, Neurofeedback;0.18;Linux, Windows; ;[[Affero General Public License|AGPL-3]];No; ; 
Neurofeedback;v2010;Windows;BrainTrain, Inc.;Proprietary;Unknown – not stated or in FDA database;Smartmind, Brainmaster, Thought Technology, J&J,; 
Neurofeedback: one-channel remote amplitude training;?;Android;Myndlift LTD;Proprietary;No;Muse;
;;;;;;;
