Name;Developer(s);License;Platforms
AllMyNotes Organizer;Vladonai Software;[[Proprietary software|Proprietary]], [[Freemium]];Microsoft Windows
BasKet Note Pads;KDE;Open source ([[GNU General Public License|GPL]]);Unix-like (KDE)
CintaNotes;Cinta Software;[[Proprietary software|Proprietary]], [[Freemium]];Microsoft Windows
ConnectedText;Eduardo Mauro;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]];Microsoft Windows
Day One;Bloom Built;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]];macOS, iOS
Dropbox Paper;Dropbox;[[Proprietary software|Proprietary]], [[Freemium]];Android, IOS, web-based
Evernote;Evernote Corporation;[[Proprietary software|Proprietary]], [[Freemium]] for personal use, per-seat licensing for business;Android, iOS, macOS, Microsoft Windows 7/8/10, Microsoft Windows Phone, and web-based
Gnote;Aurimas ?ernius;Open source ([[GPL v3]]);Linux
Google Keep;Google;[[Proprietary software|Proprietary]], no-cost;Android, iOS, Chrome OS, browser based
KeyNote NF;Marek Jedli?ski, Tranglos Software;Open source ([[Mozilla Public License|MPL]]);Microsoft Windows
Memonic;Nektoon AG;[[Proprietary software|Proprietary]], [[Freemium]];Android (not released yet), iOS, macOS, Microsoft Windows XP/Vista/7/Mobile web-based
Microsoft OneNote;Microsoft;[[Proprietary software|Proprietary]], [[Shareware]]/[[Freeware]]/[[Freemium]];Android, macOS, iOS (iPad, iPhone), Microsoft Windows 7/8/10, Microsoft Windows Server 2008R2/2012R2/2016, Microsoft Windows Phone 8/8.1/10, web-based, mobile web
MyInfo;Milenix Software;[[Proprietary software|Proprietary]], [[Shareware]];Microsoft Windows XP/Vista/7
MyNotex;Massimo Nardello;Open source ([[GNU General Public License|GPL]]);Linux
Notational Velocity;Zachary Schneirov;Open source ([[GPL v3]]);macOS
Notes;Apple;[[Proprietary software|Proprietary]];macOS, iOS, web-based
Notizen .NET;Dunno;No-cost, unknown license;Microsoft Windows XP/Vista/7
Okular;Okular Team (KDE);Open source ([[GNU General Public License|GPL]]);KDE-enabled Linux, Unix, Microsoft Windows, macOS, *BSD
Open-Sankoré;Sankoré;Open source ([[GNU General Public License|GPL]]);Linux, macOS, Unix, Microsoft Windows
Org-mode (Emacs);Carsten Dominik, et al.;Open source ([[GNU General Public License|GPL]]);Linux, macOS, Unix, Microsoft Windows (Emacs mode)
Outline;Gorillized Corporation;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]];macOS, iOS
PDF Studio;Qoppa Software;[[Proprietary software|Proprietary]], [[Shareware]];Linux, macOS, Microsoft Windows, web-based
Personal Knowbase;Bitsmith Software;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]];Microsoft Windows
QOwnNotes;Patrizio Bekerle;Open source ([[GNU General Public License|GPL]]);GNU/Linux, macOS, Microsoft Windows
Qiqqa;Quantisle Ltd.;[[Proprietary software|Proprietary]], [[Freemium]];Microsoft Windows XP/Vista/7/8, Web-based, Android
Simplenote;Automattic inc.;Open source;Cross-platform
TagSpaces;TagSpaces UG;Open source ([[Affero General Public License|AGPL]]);Cross-platform (browser, web-based)
TiddlyWiki;Jeremy Ruston;Open source ([[BSD licenses|BSD]]);Cross-platform (single html file, runs in browser, on a nodeJS server, on Android and IOS)
Tomboy;Alex Graveley;Open source ([[GNU Lesser General Public License|LGPL]]);Cross-platform (Mono/GTK+)
TreeDBNotes;Dunno;[[Proprietary software|Proprietary]], [[Freemium]];Microsoft Windows
Ulysses;The Soulmen;SaaS;macOS, iOS
Whizfolders;AvniTech Solutions;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]];Microsoft Windows
WikidPad;Michael Butscher;Open source ([[BSD licenses|BSD]]);Cross-platform (Python)
Microsoft Windows Journal;Microsoft;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]];Microsoft Windows XP Tablet PC edition, Microsoft Windows Vista, Microsoft Windows 7/8/10 (included with operating system)
Zim;Jaap Karssenberg;Open source ([[GNU General Public License|GPL]]);Cross-platform (Python, GTK+)
ZOHO Notebook;ZOHO Corporation;[[Proprietary software|Proprietary]], [[Commercial software|Commercial]], [[Freemium]];Self-hosted. SaaS.
