Software Name;Developer;First public release;Predecessor;Latest Stable version / (Date);Operating system;Price in USD;License;Microsoft Office (.doc, .xls) support;Microsoft Office Open XML support;OpenDocument support;Portable Document Format support
Ability Office;Ability Plus Software;1995;—;6.00;Windows;49.99 - 59.99;proprietary;yes;yes;Planned for a future version;yes2 Export
Apache OpenOffice;Apache Software Foundation;2012 May;OpenOffice.org, StarOffice;Latest stable software release/Apache OpenOffice;Windows, macOS, Linux, BSD, Unix, Solaris/Illumos;free;[[Apache License|Apache License 2.0]];yes;yes2 Import-only;Native format;Export and Import with free plugin
Breadbox Office;Breadbox Computer Company;1990;—;4.1.3.0;DOS, Windows;99.95;proprietary;no;no;no;no
Calligra Suite;KDE;2011;KOffice;Latest stable software release/Calligra Suite;Windows, macOS, Linux, BSD, Solaris/Illumos;free;[[GNU Lesser General Public License|GNU LGPL]] and [[GNU General Public License|GNU GPL]];yes2 Import;yes2 Import;Native format;yes2 Export
Feng Office Community Edition;Feng Office;2007;—;1.6.1;Fully online;free;[[GNU Affero General Public License|GNU AGPL]];no;no;no;no
GobeProductive;Gobe Software;1998;—;3.04 / 2.01;Windows, BeOS;49.95;proprietary;yes;no;no;no
G Suite (formerly Google Apps for Work);Google;2006;Writely;2014;Fully online;60.00 per account per year (free trial 30 days)"; free for some versions (education, non-profit);proprietary;yes;yes;yes;yes
Google Docs;Google;2006;Writely;2014;Fully online;free;proprietary;yes;yes;yes;yes
IBM Lotus Symphony;IBM;2007;IBM Workplace (based on OpenOffice.org);3.0.1;Windows, Linux, macOS;free;Proprietary;yes;yes2 Import;Native format;yes2 Export
iWork;Apple Inc.;2005;AppleWorks;Pages 6.0 / Numbers 4.0 / Keynote 7.0   (2016);macOS;19.99 per application through [[Mac App Store]] or free on a new Mac;proprietary;yes;yes2 Import;no;yes2 Export
LibreOffice;The Document Foundation formerly Sun Microsystems and Go-oo;2010 September;OpenOffice.org, Go-oo StarOffice;Latest stable software release/LibreOffice;Windows, macOS, Linux, BSD, Unix, Solaris/Illumos;free;[[GNU Lesser General Public License|GNU LGPL]];yes;yes;Native format;yes
Lotus SmartSuite;IBM;1992;—;9.8;Windows, OS/2;313.00;proprietary;yes;no;no;no
MarinerPak;Mariner Software;1996;—;10.0;Classic Mac OS, Mac OS X;79.95;proprietary;yes2 Import;no;no;no
Microsoft Office;Microsoft;1990 (Macintosh), 1992 (Windows);Microsoft WordMicrosoft ExcelMicrosoft PowerPoint;2016 (16.0) (Windows),2016 (15.4.0) (macOS);Windows, macOS;89.95 - 679.95;proprietary;yes;yes;Windows and Office 365<br>versions only;yes
Microsoft Works (Discontinued in 2009);Microsoft;1986;—;Discontinued;Windows, Macintosh;Discontinued;proprietary;yes;yes;no;no
MobiSystemsOfficeSuite;MobiSystems;2004;—;Android version: 9.4.12687iOS version: 5.9.10Windows version: 2.20.12301.0;Android, iOS, Windows;Free version with ads and limited support"; €29.99/year for all platforms;proprietary;yes;yes;yes;yes
NeoOffice;Planamesa Software;2005-06-02;based on OpenOffice.org re-coded for macOS;3.2;macOS;$10/yr, $29.99 Mac App Store (free old versions);[[GNU General Public License|GNU GPL]];yes;yes;yes;Import with free plugin
ShareOffice;ShareMethods;2007 May;—;—;Fully online;10,000.00+ / year;proprietary;yes;no;yes;no
StarOffice a.k.a. Oracle Open Office;Sun Microsystems for 10 years, Oracle for 1 year;1995;StarWriter;9.0;Windows, macOS, Linux, BSD, Unix, Solaris/Illumos;34.95;proprietary;yes;yes2 With free plugins;Native format;Import with free plugin
SoftMaker Office;SoftMaker;1987 (for DOS), 1994 (for Windows);—;2016 (Windows: yes, Linux: yes), Office HD for Android: yes, Office Mobile for Android: yes, 2010 (Windows Mobile, Windows CE), 2006 (Handheld PC);Windows, Linux, Android, Windows Mobile, Windows CE, Pocket PC);Version-dependent, e.g. SM Office 2012 99.95 (19.95 Acad.)"; free for FreeOffice"; SM Office 2016 is free for educational institutions;proprietary;yes;yes;partial, only ODT export, no Import;yes2 Export
OnlyOffice;Ascensio Systems;2010;—;—;Fully online;Free for non-commercial use, 75-7,200 per year for commercial use;[[GNU Affero General Public License|GNU AGPL]];yes;yes;yes;yes
TeXmacs;Joris van der Hoeven;1996?;—;2012;Windows, macOS, Linux, BSD, Unix;free;[[GNU General Public License|GNU GPL]];no;no;no;no
ThinkFree Office;Haansoft;1998;—;3.5;Mac OS X v10.4, Windows, Linux, Fully online;49.95, Online Versions free;proprietary;yes;yes;no;yes
Tiki Wiki CMS Groupware;Tiki Software Community Association;2002;—;12.2 LTS, 9.8 LTS and 6.14 LTS;Fully online;free;[[GNU Lesser General Public License|GNU LGPL]];yes2;yes2;yes2;yes2  and
WordPerfect Office;Corel;1991;WordPerfect (1982);Latest stable software release/WordPerfect;Windows;69.99 - 399.99;proprietary;yes;yes;yes;yes2 Some versions
WPS Office (Kingsoft Office);Kingsoft;1988;—;10.22018;Windows, Linux, Android, iOS;$79.99 perpetual license"; $29.99 annual subscription"; free with ads;proprietary;yes;Yes;Yes2 With free add-in;yes2 Export in all versions"; Import with subscription only
Zoho Office Suite;Zoho Corp.;2005;—;;Fully online;Up to 96 per user per year, depending on feature set;proprietary;yes;yes;yes;yes
Software Name;Developer;First public release;Predecessor;Latest Stable version / (Date);Operating system;Price in USD;License;Microsoft Office (.doc, .xls...) support;Microsoft Office Open XML support;OpenDocument Support;Portable Document Format support
