Store:Tracks (M):Geographicrestrictions:PurchasePlatform:FLAC:ALAC:WAV:AIFF:AAC:MP3:WMA:Vorbis:DRM:Purchase identifier:Preview (s):Trial
7digital:27:yes:Web, Android:24-bit:no:no:no:&nbsp;kbps:&nbsp;kbps:no:no:no:dunno:3030-60:No
Amazon Music:20:yes:Web,Android:no:no:no:no:No:&nbsp;kbps:No:no:no:Yes:30:No
Bandcamp:18.1:no:Web:24-bit:24-bit:24-bit:24-bit:Yes:Yes:No:yes:no:dunno:Full:No
Beatport:7.8:yes:Web:no:no:16-bit:16-bit:no:&nbsp;kbps:No:no:no:dunno:120:No
Bleep.com:?:no:Web:16-bit:no:24-bit:no:No:&nbsp;kbps:No:no:no:dunno:Full:No
CD Baby:3:dunno:Web:no:no:no:no:No:&nbsp;kbps:No:no:no:dunno:30:No
Classical Archives:0.62:yes:Web:no:no:no:no:No:&nbsp;kbps:No:no:no:dunno:60:Yes
eMusic:17:yes:Web:no:no:no:no:No:&nbsp;kbps:No:no:no:dunno:30:Yes
Google Play Music:40:Yes:Web Android iOS:no:no:no:no:No:&nbsp;kbps:No:no:no:dunno:90:No
HDtracks:?:yes<br />US:Web:24-bit:24-bit:24-bit:24-bit:No:No:No:no:no:dunno:30:No
iTunes Store:43:yes:WindowsOS XiOS:no:no:no:no:&nbsp;kbps:No:No:no:no / [[FairPlay]]:Yes:90:No
Jamendo:0.21:no:Web:no:no:no:no:No:Yes:No:yes:no:dunno:Full:No
Juno Download:?:Yes:Web:16-bit:16-bit:16-bit:16-bit:No:&nbsp;kbps:No:no:no:dunno:60:No
Magnatune:0.01:no:Web:yes:yes:yes:no:yes:yes:No:yes:no:dunno:Full:Yes
MAQAM:0.01:no:Web:no:no:no:no:No:&nbsp;kbps:No:no:no:dunno:45:No
mora:4.4:Yes<br />Japan:Web:24-bit:no:no:no:&nbsp;kbps:No:No:no:no:dunno:30:No
Nimbit:1:no:Web:yes:no:yes:no:No:&nbsp;kbps:No:no:no:dunno:Full + Custom:Yes
NoiseTrade:?:no:Web:no:no:no:no:No:&nbsp;kbps:No:no:no:dunno:Full:Free
Qobuz:28:yes:Web, Android, iOS, Kindle, Windows 8:24-bit:24-bit:24-bit:24-bit:&nbsp;kbps:&nbsp;kbps:&nbsp;kbps:no:no:dunno:3030-60:yes
Supraphononline:?:no:Web:16+24-bit:no:no:no:No:&nbsp;kbps:No:no:no:dunno:30+30:No
Tidal:40:yes:Web:16-bit:no:no:no:No:&nbsp;kbps:No:no:no:dunno:30:No
Store:Tracks (M):Geographicrestrictions:PurchasePlatform:FLAC:ALAC:WAV:AIFF:AAC:MP3:WMA:Vorbis:DRM:Purchase Identifier:Preview (s):Trial
