; Language; License; Mutual auth; Encrypts; Verify mode; Agent-less; Have a GUI; First release; Latest stable release
Ansible;Python;GPLv3+;yes;yes;yes;yes;yes;2012-03-08;2018-01-31 2.4.3.0
Bcfg2;Python;BSD 2-clause;yes;yes;yes;no;yes;2004-08-11;2015-06-11 1.3.6
Capistrano;Ruby;MIT License;;yes; ;yes;no;2005;2017-03-08 4.4.2
cdist;Python;GPLv3+;yes;yes; ;yes;;2010;2018-04-20 4.8.4
Chef;Ruby, Erlang;Apache 2.0;yes;yes;yes;no;yes;2009-01-15 0.5.0;2018-09-25 14.5.33 (client), 2018-02-13 12.17.33 (server)
CFEngine;C;GPLv3;yes;yes;yes;no;;1993;2018-11-23 3.13.0, 2018-11-30 3.12.1, 2018-11-16 3.10.5
ISconf;Python;GPL;yes;no;;;;1998;2006-08-13 4.2.8.233
Juju;Python, Go;Affero General Public License;yes;yes;no;no;yes;2010-09-17;2017-03-16 1.2.1
Local ConFiGuration system (LCFG);Perl;GPL;partial;partial; ;;;1994;Weekly Releases
NOC;Python;BSD License 2.0;yes;yes;yes;yes;yes;2012-03-08;2015-05-20 15.05.1
OCS Inventory NG with GLPI;Perl, PHP, C++;GPL;no;yes;;no;;2003;2014-07-13
Open pc server integration (Opsi);Python, Java;GPL;no;yes;;no;;2004;2013-03-01 4.0.3
PIKT;C;GPLv2+;yes;yes;;no;;1998;2007-09-10 1.19.0
Puppet;C++ & Clojure from 4.0, Ruby before then;Apache from 2.7.0, GPL before then;yes;yes;yes;no;yes;2005-08-30;2017-05-11 4.10.1
Quattor;Perl, Python;Apache 2.0;yes;yes;;;;2005-04-01;2017-10-31 17.8.0
Radmind;C;BSD;yes;yes;;no;;2002-03-26;2008-10-08 1.13.0
Rex;Perl;Apache;yes;yes; ;yes;;2010-11-05 0.9.0;2017-12-03 1.6.0
Rudder;C and Scala;GPLv3 and Apache 2.0;yes;yes;yes;no;yes;2011-10-31;2018-04-19 4.3.0
SmartFrog;Java;LGPL;yes;yes;;no;;2004-02-11;2009-01-26 3.16.004
Salt;Python;Apache 2.0;yes;yes;yes;Both;yes;2011-03-17 0.6.0;2017-09-25 v2018.3.3
Spacewalk;Java (C, Perl, Python, PL/SQL);GPLv2;yes;yes;;no;;2008-06;2018-04-19 2.8
STAF;C++;CPL;no;partial;;no;;1998-02-16;2012-12-16 3.4.16
Synctool;Python;GPLv2;yes;yes;yes;yes;;2003;2014-06-15 6.1
;Language;License;Mutual auth;Encrypts;Verify mode;Agent-less;Have a GUI;First release;Latest stable release
