Name;License;Kernel type;Kernel programming language;Kernel thread support;OS family;Oldest non-EOL versiona1;Forks
Linux;[[GNU General Public License|GPL]]/[[GNU Lesser General Public License|LGPL]];Monolithic with modules;C;1:1;Unix-like;2.6.32.61;no
FreeBSD;[[BSD licenses|BSD]]"; GPL, LGPL software usually included;Monolithic with modules;C;1:1;BSD, Unix-like;8.4;DragonFly BSD
OpenBSD;BSD;Monolithic;C;1:1;BSD, Unix-like;5.9;MirOS
NetBSD;BSD;Monolithic with modules;C;1:1;BSD, Unix-like;6.0;OpenBSD
DragonFly BSD;BSD;Hybrid;C;1:1;BSD, Unix-like;no; 
OpenSolaris, illumos;[[Common Development and Distribution License|CDDL]];Monolithic with modules;C;1:1, M:N;Unix;no; 
AuroraUX;BSD/[[CDDL]];Monolithic with modules;C, Ada;1:1, M:N;Unix;no; 
Darwin, OpenDarwin;[[Apple Public Source License|APSL]];Hybrid;C, C++a3;1:1;BSD, Unix, Unix-like, OS X;no; 
MINIX;BSD;Microkernel;C; ;Unix-like;no; 
RedoxOS;MIT;Microkernel;Rust; ;Unix-like;no; 
FreeRTOS;[http://www.freertos.org/a00114.html modified GPL];RTOS;C; ;RTOS;no; 
FreeDOS;GPL;Monolithic;C; ;DOS;1.1; 
Genode;AGPL;Microkernel;C++;1:1;Genode; ; 
Haiku;[[MIT License|MIT]];Hybrid;C, C++; ;BeOS;no; 
House;BSD; ;Haskell; ;own/original;no; 
KolibriOS;GPL;Monolithic;ASM; ;MenuetOS;no; 
MenuetOS;[http://www.menuetos.net/m64l.txt Menuet 64], commerce excluded;Monolithic;ASM; ;own/original;no;KolibriOS
GNU;GPL;Multiserver Microkernel (Hurd kernel) or Monolithic (Linux-libre kernel, fork of Linux kernel, and other kernels which are not part of the GNU Project);C;1:1;Unix-like;2.4 on Linux-libre kernel (no on Hurd kernel);Linux
ReactOS;GPL, LGPL;Hybrid;C, C++; ;Windows-like;no; 
L4, Fiasco, Pistachio;Some GPL, some BSD;Microkernel;C++; ;L4;no; 
Plan 9;[[Lucent Public License|LPL]];Hybrid;C;1:1, 1:M Cothread style.;own, Unix informed;no;Inferno, Plan B
AROS;[http://www.aros.org/license.html APL];Exokernel;C; ;AmigaOS;no; 
Syllable;GPL;Monolithic with modules;C, C++;1:1;Unix-like, BeOS, AmigaOS, POSIX;no; 
Inferno;GPL, LGPL"; MIT; ;C; ;Plan 9;no;OzInferno
NuttX;BSD;RTOS;C; ;RTOS;no; 
eCos;[http://ecos.sourceware.org/license-overview.html modified GPL, eCos];RTOS;C, C++; ;RTOS;no; 
RTEMS;[http://www.rtems.org/license modified GPL], BSD, Stanford;RTOS;C and ASM with native support for other languages including C++ and Ada;POSIX, RTEID/ORKID, uITRON;RTOS;4.7.1; 
HelenOS;BSD;Microkernel;C;M:N;own/original;no; 
E/OS;[[GPLv2]];Monolithic;ASM, C;1:1;BeOS, Unix-like;no; 
TempleOS;public domain;Monolithic;HolyC, C, C++; ;Commodore 64-like;no; 
Name;License;Kernel type;Kernel programming language;Kernel thread support;OS family;Oldest non-EOL version;Forks
