Driver family|Driver|Chipsets|Chipset PHY Modes|Integration in mainline|Non-free firmware required|License|Development
 |adm8211|ADMtek ADM8211 (IEEE 802.11b MAC/BBP|dunno|Yes|Yes|GPLv2|With support from Infineon/ADMtek
|at76c50x-USB|Atmel AT76C503/AT76C505 based USB WLAN adapters|dunno|Yes|Depends on the model|GPLv2|dunno
| |Texas Instruments ACX100, ACX111, TNETW1450|dunno|No|Yes|Dual BSD/MPL|Reverse-engineered
 | |Cisco Systems Aironet 4500/4800 and 340/350|dunno|Yes|No|Dual GPLv2 and BSD|dunno
 | |Qualcomm Atheros AR5523 based USB dongles|dunno|Yes|Yes|ISC|Reverse-engineered
 | |Qualcomm Atheros AR2413, AR2414, AR2417, AR2425, AR5210, AR5211, AR5212, AR5213, AR5413, AR5414, AR5423, AR5424|dunno|Yes (since 2.6.25)|n/a|Dual GPL/BSD|Reverse-engineered
 | |Qualcomm Atheros AR6003, AR6004 (SDIO), AR6004 (USB)|dunno|Yes|Yes|ISC|Written by Qualcomm Atheros
 | |Qualcomm Atheros chips with IEEE 802.11n support|a/b/g/n|Yes (since 2.6.27)|n/a|ISC|Written by Qualcomm Atheros
 | |Qualcomm Atheros AR9271, AR7010 (USB-PCIe bridge with AR928x chips)|b/g/n|Yes (since 2.6.35)|No|ISC|Written by Qualcomm Atheros
 | |Qualcomm Atheros chips with IEEE 802.11ac support|ac|Yes (since 3.11)|Yes|ISC|Written by Qualcomm Atheros
 | |Qualcomm Atheros AR9170 (802.11n USB)|a/b/g/n|Yes (since 3.0)|No|GPL|Qualcomm Atheros-supported
 | |Wilocity wil6210, 802.11ad 60GHz|dunno|Yes|Yes|ISC|Written by Qualcomm Atheros
 | |Atmel at76c502 at76c504 and at76c506 wireless cards|dunno|Yes|No|GPLv2+|Reverse-engineered
 | |Some Broadcom 43xx|dunno|Yes (since 2.6.24)|Experimental OSS firmware|GPL|Reverse-engineered
 | |Broadcom 4301, 4303, and 4306 revisions 1 and 2|dunno|Yes (since 2.6.24)|Experimental OSS firmware|GPL|Reverse-engineered
 | |PCIe devices: Broadcom 4356, 43567, 43570, 4358, 4359, 43602, 4365, 4366  SDIO devices: Broadcom 4329, 4330, 4334, 43340, 43341, 43241, 4335, 4339, 43362, 43430, 43455, 4354, 43143  USB devices: Broadcom 43235, 43236, 43238, 43143, 43242, 43566, 43569|a/b/g/n|Yes (since 3.2)|Yes|ISC|Written by Broadcom
 | |Broadcom 4313, 43224, 43225|a/b/g/n|Yes (since 3.2)|Yes|ISC|Written by Broadcom
 | |ST-Ericsson CW1100 & CW1200 WLAN chipsets|dunno|yes (since 3.11)|Yes|GPLv2|?
 |HostAP|Intersil PRISM-II, PRISM-2.5, PRISM 3|dunno|Yes|Depends on the model|GPLv2|
