Driver;802.11;802.11;802.11;802.11;802.11;Bus interface;Wireless Security;Wireless Security;Wireless Security;Monitor mode;Master (AP) mode;Ad-Hoc mode
Driver;a;b;g;n;ac;Bus interface;WEP;WPA;WPA2;Monitor mode;Master (AP) mode;Ad-Hoc mode
 ;No;Yes;Yes;No;No;PCI, Mini PCI, PC card, USB;Yes;No;No;Yes;Yes;dunno
 ;dunno;dunno;dunno;dunno;dunno;PCI;dunno;dunno;dunno;dunno;No;dunno
 ;Yes;Yes;Yes;Yes;No;USB;yes;yes;yes;yes;yes;yes
 ;Yes;Yes;Yes;No;No;PCI, Mini PCI, PC card, AHB;yes;yes;yes;yes;yes (since 2.6.31);yes
 ;Yes;Yes;Yes;Yes;No;PCI, Mini PCI, AHB, PCI Express Mini Card;yes;yes;yes;yes;yes;yes
 ;Yes;Yes;Yes;Yes;No;USB;yes;yes;yes;yes;yes;yes
 ;No;No;No;No;Yes;PCI, Mini PCI, AHB, PCI Express Mini Card;yes;yes;yes;yes;yes;yes
 ;No;Yes;Yes;No;No;PCI, Mini PCI, SDIO ?;Yes;Yes;Yes;Yes;yes;Yes
 ;No;Yes;Yes;No;No;PCI, Mini PCI, PC card, Cardbus;Yes;Yes;Yes;Yes;No;dunno
Broadcom;Yes;Yes;Yes;Yes;No;USB, SDIO, PCI Express;Yes;Yes;Yes;Experimental (unofficial firmware patching);Yes;No
Broadcom;Yes;Yes;Yes;Yes;No;PCI, Mini PCI, PCI Express Mini Card;Yes;Yes;Yes;Yes;Yes;Yes
 ;No;Yes;No;No;No;PCI, Mini PCI, PC card;Yes;Yes;Yes;Yes;Yes;Yes
 ;No;Yes;No;No;No;Mini PCI;Yes;Yes;Yes;Yes;dunno;dunno
 ;Yes;Yes;Yes;No;No;Mini PCI;Yes;Yes;Yes;Yes;No;Yes
 ;No;Yes;Yes;No;No;Mini PCI;dunno;dunno;dunno;Yes;Yes;dunno
 ;Yes;Yes;Yes;No;No;Mini PCI, PCI Express Mini Card;Yes;Yes;Yes;Yes;No;Yes
 ;dunno;dunno;dunno;dunno;dunno;PCI, USB;No;No;No;dunno;No;dunno
 ;Yes;Yes;Yes;Yes;Yes;Mini PCI, PCI Express Mini Card;Yes;Yes;Yes;Yes;Experimental;Yes
 ;No;Yes;Yes;No;No;USB, CF, SDIO;dunno;dunno;dunno;dunno;No;dunno
 ;Yes;Yes;Yes;No;No;PCI, Mini PCI, PC card;Yes;Yes;Yes;Yes;Yes;Yes some issues in HAL, outdoor sensitivity?September 2009
 ;Yes;Yes;Yes;Yes;Yes;PCIe, USB;Yes;Yes;Yes;Yes;Yes;dunno
 ;No;Yes;Yes;Yes;No;USB;Yes;Yes;Yes;Yes;dunno;dunno
 ;No;Yes;No;No;No;Mini PCI, PC card;Yes;Yes;No;Yes;no;Yes
 ;No;Yes;Yes;No;No;Mini PCI, Cardbus, USB;Yes;Yes;Yes;Yes;Yes;Yes
 ;No;Yes;Yes;No;No;PCI;Yes;No;dunno;Yes;Yes;dunno
 ;No;Yes;Yes;No;No;USB;Yes;Yes;Yes;No;No;Yes
 ;No;Yes;Yes;No;No;PCI, Mini PCI, USB;Yes;Yes;Yes;Yes;Yes;Yes
 ;Yes;Yes;Yes;No;No;PCI, Mini PCI, PC card;dunno;dunno;dunno;dunno;Yes;dunno
 ;Yes;Yes;Yes;No;No;USB;Yes;Yes;Yes;Yes;dunno;dunno
 ;No;Yes;No;No;No;USB;Yes;No;No;Yes;Yes;dunno
 ;Yes;Yes;Yes;No;No;USB;Yes;Yes;Yes;Yes;Yes;dunno
 ;No;Yes;Yes;No;No;USB;Yes;Yes;yes;Yes;Yes;Yes
