 Kernel name; Used in; Creator; Executableformat(also seesectionbelow); Type; Integrated firewall; SMP support; Multiple architecturesupport(also seesection below).; Multitasking; Virtualization; Security; Profiling/Debugging; Soft real-time support; Hard real-time support; Can keep RTC in UT
Agnix;dunno;dunno;dunno;dunno;dunno;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno
Amiga Exec;AmigaOS;Commodore International;HUNK;Exokernel (atypical);no;no;no;yes;no;no;yes;no;no;no
Amiga Exec SG (2nd Generation);AmigaOS 4;Hyperion Entertainment;ELF/HUNK;Exokernel (atypical);no;no;no;yes;no;no;yes;no;no;dunno
DragonFly BSD kernel;DragonFly BSD;Matt Dillon;ELF;hybrid;[[Ipfirewall]],<br>[[PF (firewall)|PF]];yes;no;yes;[[chroot]], [[Operating-system-level virtualization|jail]], vkernel;[[Unix security|Unix permissions]];DDB, [[KGDB]];dunno;dunno;dunno
FreeBSD kernel;FreeBSD,Debian GNU/kFreeBSD,Gentoo/FreeBSD,Orbis OS;The FreeBSD Project;ELF, others - platform dependent;monolithic;[[IPFilter]], [[Ipfirewall]],<br>[[PF (firewall)|PF]];yes;yes;yes;[[chroot]], [[FreeBSD jail|jail]], [[bhyve]];Capsicum, [[Mandatory Access Control|TrustedBSD MAC]], [[OpenBSM]];[[Kernel debugger|KDB]], DDB, [[KGDB]], [[DTrace]], [[hwpmc]];yes;dunno;yes
GNU Hurd;GNU/Hurd (Arch Hurd, Debian GNU/Hurd, );GNU Project/Free Software Foundation;ELF;multiserver microkernel;no;partial;no;yes;[[chroot]], [[Xen]];[[Unix security|Unix permissions]], [[Access control list|POSIX ACL]], [[Capability-based security#POSIX capabilities|POSIX Capabilities]];dunno;dunno;dunno;dunno
GNU Mach;part of GNU Hurd, used in GNU/Hurd;GNU Project/Free Software Foundation;ELF;microkernel;no;partial;no;yes;[[chroot]], [[Xen]];[[Unix security|Unix permissions]], [[Access control list|POSIX ACL]], [[Capability-based security#POSIX capabilities|POSIX Capabilities]];dunno;dunno;dunno;dunno
Inferno kernel;Inferno;Bell Labs / Vita Nuova Holdings;dunno;virtual machine;dunno;yes;yes;yes;[[chroot]], [[Xen]];dunno;dunno;dunno;dunno;dunno
L4;L4;Jochen Liedtke;no;microkernel;no;yes;yes;yes;yes;[[Afterburner/L4]] [http://www.l4ka.org/79.php], Marzipan [http://www.l4ka.org/78.php], [[Capability-based security|capabilities]] in [[L4/Fiasco]];[[L4/Fiasco]];[[L4/Fiasco]];dunno;dunno
Linux kernel;Linux, Android, webOS, Firefox OS, Chrome OS, , Mastodon Linux, , , Sailfish OS, Tizen, others;Linus Torvalds;ELF, others;monolithic;*[[ipfwadm]] (2.0 –)"
* [[ipchains]] (2.2 –)"
* [[Netfilter]] (2.4 – 3.x)"
* [[nftables]] (3.13 –);yes;yes;yes;[[cgroups]], [[chroot]], [[Lguest]], [[Xen]], [[Kernel-based Virtual Machine|KVM]], [[kvm-lite]], [[LXC]];[[Unix security|Unix permissions]], [[Access control list|POSIX ACL]], [[Capability-based security#POSIX capabilities|POSIX Capabilities]], keyctl, [[Linux Security Modules|LSM]]([[SELinux]], [[Smack (Linux security module)|SMACK]], [[TOMOYO Linux]], [[AppArmor]]);[[OProfile]], [[kprobe]], [[SystemTap]], [[JProbe]], [[ftrace]], [[Kernel debugger|KDB]], [[KGDB]], [[kernel marker]], [[Perf (Linux)|perf tools]];CONFIG_PREEMPT;([[PREEMPT_RT|CONFIG_PREEMPT_RT Patch]]);yes
Compute Node Linux;Compute Node Linux;Cray Inc.;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
Mach;NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX;Carnegie Mellon University;Mach-O;microkernel, hybrid kernel;dunno;yes;dunno;yes;dunno;dunno;dunno;yes;dunno;dunno
MINIX 3 kernel;MINIX 3;Andrew S. Tanenbaum;ELF, a.out;microkernel;no;no;yes;yes;no;[[Unix security|Unix permissions]];Call profiling, statistical profiling, Minix Debugger (mdb);no;no;dunno
MkLinux;dunno;OSF Research Institute and Apple Computer;dunno;microkernel;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno;dunno
NetBSD kernel;NetBSD,GNU/kNetBSD (Debian GNU/NetBSD),;The NetBSD Project;ELF, others - platform dependent;monolithic, anykernel using rump kernel architecture;[[IPFilter]], [[PF (firewall)|PF]], [[NPF (firewall)|NPF]];yes;yes;yes;[[Xen]], [[chroot]];[[kauth]], [[Unix security|Unix permissions]];DDB, [[KGDB]], [[tprof]];[[POSIX]] real-time scheduling extensions;[[Kernel preemption]];dunno
NetWare kernel;NetWare;Novell;NLM;hybrid;yes;yes;no;yes;dunno;dunno;dunno;dunno;dunno;dunno
OpenBSD kernel;OpenBSD;OpenBSD developers;ELF, others - platform dependent;monolithic;[[PF (firewall)|PF]];yes;yes;yes;dunno;[[Unix security|Unix permissions]];dunno;dunno;dunno;dunno
OS/2 kernel;OS/2 version 2 and above;IBM;LX;hybrid;no;yes;no PowerPC version developed but never officially released.;yes;no;yes;yes;yes;no;dunno
Plan 9 kernel;Plan 9 from Bell Labs;Bell Labs;dunno;hybrid;ipmux;yes;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno
ReactOS kernel;ReactOS;ReactOS Foundation;PE, others?;hybrid;dunno;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno
Rockbox kernel;Rockbox;The Rockbox Project;dunno;dunno;dunno;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno;dunno
SunOS kernel;SunOS;Sun Microsystems;a.out;monolithic;dunno;yes;yes;yes;dunno;[[Unix security|Unix permissions]];dunno;dunno;dunno;dunno
Solaris kernel;Solaris,OpenSolaris,GNU/kOpenSolaris (Nexenta OS);Sun Microsystems;ELF (32-bit only untilSolaris 7 in 1998);monolithic;[[IPFilter]];yes;yes;yes;[[Solaris Zones|Zones]], [[chroot]];[[Unix security|Unix permissions]], [[Access control list|ACL]], [[RBAC]], Auditing, [[Least privilege|Privileges]], [[Solaris Zones|Zones]], [[Solaris Trusted Extensions|Trusted Extensions]];[[DTrace]], CPU profiling, microstate accounting, perf counters, kernel lock stats, kstats, mdb, kmdb;Real-time scheduler;dunno;dunno
Trix kernel;Trix;Massachusetts Institute of Technology;a.out;monolithic;dunno;yes;no;yes;dunno;dunno;dunno;dunno;dunno;dunno
Windows NT kernel;Windows NT, 2000,XP, 2003, Vista, Windows 7, Windows 8, Windows Phone 8, Windows Phone 8.1, Windows 10;Microsoft;PE, others?;hybrid;yes;yes;yes;yes;[[Hyper-V]];[[Access control list|ACL]];Event Tracing;[[Multimedia Class Scheduler Service]];no;unofficial
XNU (Darwin kernel);Mac OS X, iOS,OpenDarwin,PureDarwinGNU/Darwin;Apple Computer;Mach-O;hybrid;[[Ipfirewall]],<br>[[PF (firewall)|PF]] (starting in Lion);yes;yes;yes;[[chroot]];[[Unix security|Unix permissions]], [[Access control list|NT/NFSv4 ACLs]], [[Mandatory Access Control|TrustedBSD MAC]], [[OpenBSM]];[[Kernel debugger|KDB]], DDB, [[DTrace]];yes;no;yes
SPARTAN kernel;HelenOS;Jakub Jermar;ELF;microkernel;dunno;yes;yes;yes;dunno;dunno;dunno;dunno;dunno;dunno
Kernel name;Used in;Creator;Executableformat(also seesectionbelow);Type;Integrated firewall;SMP support;Multiple architecturesupport(also seesection below).;Multitasking;Virtualization;Security;Profiling/Debugging;Soft real-time support;Hard real-time support;Can keep RTC in UT
