Name;Resourceaccesscontrol;Subsystemisolationmechanisms;Integratedfirewall;Encryptedfilesystems;page flag;page flag;Manufacturer acknowledged unpatched vulnerabilities (by severity);Manufacturer acknowledged unpatched vulnerabilities (by severity);Manufacturer acknowledged unpatched vulnerabilities (by severity);Manufacturer acknowledged unpatched vulnerabilities (by severity);Manufacturer acknowledged unpatched vulnerabilities (by severity);Manufacturer acknowledged unpatched vulnerabilities (by severity)
Name;Resourceaccesscontrol;Subsystemisolationmechanisms;Integratedfirewall;Encryptedfilesystems;page flag;Secunia;Secunia;Secunia;Secunia;Secunia;Security-Focus;Hard-ware
Name;Resourceaccesscontrol;Subsystemisolationmechanisms;Integratedfirewall;Encryptedfilesystems;Emula-tion;Extremely critical(number / oldest);Highly critical(number / oldest);Moderately critical(number / oldest);Lesscritical (number / oldest);Notcritical(number / oldest);Total(number / oldest);AIX 7.1
POSIX, ACLs, MAC, Trusted AIX - MLS, RBAC;chroot;IPFilter, IPsec VPNs, basic IDS;yes;yes;n/a;colspan=""5"" unk;1;FreeBSD 10.1;POSIX, ACLs, MAC;chroot, Jails, MAC partitions, multilevel security, Biba Model, BSD file flags set using chflags, Capsicum Capability-based security;IPFW2, IPFilter, PF, IPsec;yes
yes;yes;1;1;1;1;1;;GhostBSD 3.1;POSIX, ACLs, MAC;chroot, jail, MAC partitions, BSD file flags set using chflags;IPFW2, IPFilter, PF;yes
yes;yes;1;1;1;1;1;;Genode;Hierarchal, least privilege;capability-based security;Virtual switch and NAPT controls in user-space;no
kernel dependent;no;colspan=""6"" Unk;HP-UX 11.31;POSIX, ACLs;chroot;IPFilter;yes;dunno;dunno;1;1;
;1;;Inferno;POSIX;Namespace, capability-based security, no superuser or setuid bit;dunno;dunno;no;no;colspan=""5"" unk;;Linux-based 2.6.39
POSIX, ACLs, MAC;chroot, seccomp, Namespace, SELinux, AppArmor;Netfilter, varied by distribution;yes;yes;yes;1;1;1;;;;Mac OS 9.2.2
no;no;no;no;no;no;1;1;1;1;1;;OS X 10.10.5
POSIX, ACLs;chroot, BSD file flags set using chflags;ipfw;yes;Yes (as of 10.5, X64 only);Yes (Intel only);1;1;;;;;NetBSD 6.1.2
POSIX, Veriexec, PaX, kauth;chroot, kauth, BSD file flags set using chflags;IPFilter, NPF, PF;yes;yes;no;colspan=""5"" unk;;NetWare 6.5 SP8;Directory-enabled ACLs;Protected address spaces;IPFLT.NLM;yes
yes;no;1;1;;;1;1;OES-Linux;Directory-enabled ACLs;chroot;IPFilter;yes
yes;no;colspan=""5"" unk;;OpenBSD 4.8;POSIX;chroot, systrace, BSD file flags set using chflags;PF;yes;yes;yes;colspan=""5"" unk;1
OpenVMS 8.4;ACLs, privileges; ;dunno;dunno;yes;dunno;1;1;1;1;1;
OS/2, eComStation;ACLs;no;IPFilter;no;dunno;dunno;1;1;1;1;1;1
TrueOS 8.1;POSIX, ACLs, MAC;chroot, jail, MAC partitions;IPFW2, IPFilter, PF;yes;dunno;dunno;1;1;1;1;1;
Plan 9;POSIX ?;Namespaces, capability-based security, no superuser or setuid bit;ipmux;yes;no;no;colspan=""5"" unk;;QNX 6.5.0;POSIX;dunno;PF, from NetBSD
dunno;dunno;dunno;1;1;1;;;;RISC OS;no;no;no
no;no;no;colspan=""6"" unk;Solaris 10;POSIX, RBAC, ACLs, least privilege, Trusted Extensions;chroot, Containers, Logical Domains;IPFilter;Yes;Yes;No;1;
;;;;OpenSolaris 2009.06;POSIX, RBAC, ACLs, least privilege, Trusted Extensions;chroot, Containers, Logical Domains;IPFilter;Yes;Yes;No;1;1
1;1;1;;Windows Server 2012;ACLs, privileges, RBAC;Win32 WindowStation, desktop, job objects;Windows Firewall;yes;yes;yes;1;1
1;1;1;1[Unknown];Windows 8.1;ACLs, privileges, RBAC;Win32 WindowStation, desktop, job objects;Windows Firewall;yes;yes;yes;1;1
1;1;1;1[Unknown];ZETA;POSIX;no;no;no;no;no;colspan=""6"" unk;STOP 6, XTS-400
POSIX, multilevel security, Biba Model mandatory integrity, ACLs, privileges, subtype mechanism;Multilevel security, Biba Model, subtype mechanism;no;no;No;No;colspan=""6"" unk;z/OS 1.11;RACF;RACF, low storage protection, page protection, storage protect key, execution key, subspace group facility, APF, ACR (alternate CPU recovery), more;z/OS IPSecurity;Optional;Yes (storage protect key, execution key, APF, more)
Yes;1;1;1;1;1;;Name;Resourceaccesscontrol;Subsystemisolationmechanisms;Integratedfirewall;Encryptedfilesystems;Hard-ware
Emula-tion;Extremely critical(number / oldest);Highly  critical(number / oldest);Moderately critical(number / oldest);Less critical(number / oldest);Not  critical(number / oldest);Total(number / oldest);page flag;page flag;Secunia;Secunia;Secunia;Secunia
Secunia;Security- Focus;Known unpatched vulnerabilities (severity is accounted for);Known unpatched vulnerabilities (severity is accounted for);Known unpatched vulnerabilities (severity is accounted for);Known unpatched vulnerabilities (severity is accounted for);Known unpatched vulnerabilities (severity is accounted for);Known unpatched vulnerabilities (severity is accounted for);;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
