Vehicle;Origin;Manufacturer;Payload mass to … (kg);Payload mass to … (kg);Payload mass to … (kg);LaunchesSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.;Date of flight;Date of flight
Vehicle;Origin;Manufacturer;LEO;GTO;Other;LaunchesSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.;FirstEffective year for active rockets, planned year for rockets in development;Latest
Alpha;USA;Firefly Aerospace;1000; ;600 to SSO;0;2019;
Angara 1.2;RUS;Khrunichev;3500; ;2400 to SSO;0;2020A suborbital flight was conducted in 2014 as [[Angara-1.2pp]], testing only the first and second stages.;
Angara A5;RUS;Khrunichev;24000;7500 with KVTK  5400 with Briz-M; ;1;2014;2014
Antares 230;USA;NG Innovation;7800; ;3000 to SSO500km;4;2016;2018
Ariane 5 ECA;Europe;EADS Astrium;21000;10,865Upgraded to 11,115 kg by 2020; ;69;2002;2018
Ariane 6 A62;Europe;ArianeGroup;10,35045;5,00033;6,450 to SSO  3,000 to HEO  3,000 to TLI 40–49;0;2020;
Ariane 6 A64;Europe;ArianeGroup;21,65046;11,500+ 33;to SSO  5,000 to GEO  8,400 to HEO  8,500 to TLI 40–49;0;2021–2022 (To be announced);
Atlas V 401;USA;ULA;9050;4,950;6,670 to SSO;38;2002;2018
Atlas V 411;USA;ULA;9050;6,075;8,495 to SSO;5;2006;2018
Atlas V 421;USA;ULA;9050;7,000;9,050 to SSO;7;2007;2017
Atlas V 431;USA;ULA;9050;7,800;9,050 to SSO;3;2005;2016
Atlas V 501;USA;ULA;8250;3,970;5,945 to SSO1,500 to GEO;6;2010;2015
Atlas V 511;USA;ULA;10950;5,370;7,820 to SSO1,750 to GEO;0;;
Atlas V 521;USA;ULA;13300;6,485;9,585 to SSO2,760 to GEO;2;2003;2004
Atlas V 531;USA;ULA;15300;7,425;11,160 to SSO3,250 to GEO;3;2010;2013
Atlas V 541;USA;ULA;17100;8,240;12,435 to SSO3,730 to GEO;6;2011;2018
Atlas V 551;USA;ULA;18500;8,700;13,550 to SSO3,960 to GEO;9;2006;2018
Atlas V 552;USA;ULA;20,520; ; ;0;2020; 
Atlas V N22  (for Starliner);USA;ULA;13,000; ; ;0;2019;
Beta;USA;Firefly Aerospace;4000;0To be announced;3000 to SSO;0;To be announced;
BFR  (fully reusable);USA;SpaceX;100000+; ;100000 to TMIWith in-orbit refueling;0;2022First tests of the second stage spacecraft planned for 2019, first stage tests in 2020;
Bloostar;Spain;Zero 2 Infinity;140;;75 to SSO;0;2019;
Chetak;IND;Bellatrix Aerospace; ; ;150 to SSO700km;0;2023;
Cyclone-4M;UKR;Yuzhnoye  Yuzhmash;5000;1000;3350 to SSO;0;2020;
Delta IV M+(4,2);USA;ULA;13140;6390;10250 to polar;14;2002;2016Last flight planned for 2019
Delta IV M+(5,4);USA;ULA;14140;7300;11600 to polar;7;2009;2017last2019
Delta IV Heavy;USA;ULA;28790;14220;23560 to polar  10000 to TLI  8000 to TMI;10;2004;2018
Electron;USANZL;Rocket Lab;225; ;150 to SSO;3;2017;2018
Epsilon;JPN;IHI;1500; ;590 to SSO;3;2013;2018
Eris;AUS  SIN;Gilmour Space Technologies;400; ; ;0;2020;
Falcon 9 Full Thrust  (partially reusable);USA;SpaceX;13,680–15,960PAF-limit;5,500GTO payload is 5,550 kg when the first stage lands downrange on a drone ship (ASDS). Reduced to 3,500 kg if the first stage returns to the launch site (RTLS).;9,600 to polar;37Additionally, one rocket exploded on the launch pad in 2016.;2015;2018
[[Falcon 9 Full Thrust]]  (expended);USA;SpaceX;22800PAF structural limit: 10,886 kg;6,500–8,300;4,020 to TMI;8;2017;2018
Falcon Heavy  (partially reusable);USA;SpaceX;30,000–57,000;8,000–10,000GTO payload is 8,000 kg when the core first-stage booster lands downrange on a drone ship (ASDS) and the side boosters return to the launch site (RTLS). Increased to 10,000 kg if all boosters land on drone ships.; ;1;2018;2018
Falcon Heavy  (expended);USA;SpaceX;63,800;15,000+;16,800 to TMI;0; ;
GSLV Mk II;IND;ISRO;5000;2700GTO payload with enhanced engines, as of GSLV version 2A; ;6;2010;2018
GSLV Mk III;IND;ISRO;8,000;4,000; ;2;2017A suborbital test flight was conducted in 2014 (designated LVM-3/[[Crew Module Atmospheric Re-entry Experiment|CARE]]) without the cryogenic upper stage (CUS).;2018
H-IIA 202;JPN;Mitsubishi;8,00067;4,00048;5,100 to SSO5,100 kg to a 500-km Sun-synchronous orbit"; 3,300 kg to 800 km64–65;26;2001;2018
H-IIA 204;JPN;Mitsubishi;;5,95048; ;4;2006;2017
H-IIB;JPN;Mitsubishi;16,500 (ISS);8,000; ;7;2009;2018
H3;JPN;Mitsubishi; ;6500;4000 to SSO;0;2020;
Hyperbola-1;CHN;i-Space;300; ; ;0;2019A suborbital test flight was conducted in April 2018.;
Hyperbola-3;CHN;i-Space;2,000; ; ;0;2021;
Kuaizhou 1/1A;CHN;ExPace;400; ; ;4;2013;2018
Kuaizhou 11;CHN;ExPace;1500; ;1000 to SSO;0;2019;
Kuaizhou 21;CHN;ExPace;20,000; ; ;0;2025;
KSLV-2;KOR;KARI;1500 at 600–800km; ; ;0;2021A suborbital test flight was conducted in November 2018.;
LauncherOne;USA;Virgin Orbit;500; ;300 to SSO;0;2019;
Long March 2C;CHN;CALT;3850October 2018;1250 with CTS2;2000 to SSO with YZ-1S;56;1982;2018
Long March 2D;CHN;SAST;4000; ;1150 to SSO;41;1992;2018
Long March 2F;CHN;CALT;8600; ; ;13;1999;2016
Long March 3A;CHN;CALT;6,000;2,600;5,000 to SSO;27;1994;2018
Long March 3B/E;CHN;CALT;11,500;5,500;6,900 to SSO;40;2007;2018
Long March 3C;CHN;CALT;9,100;3,800;6,500 to SSO;15;2008;2016
Long March 4B;CHN;SAST;4200;1500;2800 to SSO;31;1999;2018
Long March 4C;CHN;SAST;4200;1500;2800 to SSO;25;2006;2018
Long March 5;CHN;CALT;25000;14000;15000 to SSO  8200 to TLI  5000 to TMI;2;2016;2017
Long March 6;CHN;SAST;; ;1080 to SSO;2;2015;2017
Long March 7;CHN;CALT;13500; ;5500 to SSO;2;2016;2017
Long March 8  (partially reusable);CHN;CALT;7600;2500;4500 to SSO;0;2021;
Long March 9;CHN;CALT;140,000;66,000;50,000 to TLI  44,000 to TMI;0;2028–2030;
Long March 11;CHN;CALT;700; ;350 to SSO;4;2015;2018
Minotaur I;USA;NG Innovation;580;;;10;2000;2013
Minotaur IV;USA;NG Innovation;1735; ; ;4;2010;2017
Minotaur V;USA;NG Innovation;;670;465 to HCO;1;2013;2013
Minotaur-C (Taurus);USA;NG Innovation;1458;;1054 to SSOReference altitude 400 km;10;1994;2017
Miura 5;ESP;PLD Space;300; ; ;0;2021;
New Glenn;1;Blue Origin;45,000;13,000; ;0;2021;
New Line 1  (partially reusable);CHN;LinkSpace; ; ;1 to SSO;0;2020;
OmegA;1;NG Innovation;;10,100;7,800 to GEO;0;2021;
OS-M1;CHN;OneSpace;205; ;143 to SSO;0;2018A suborbital test flight was conducted in May 2018.;
Pegasus;USA;NG Innovation;500; ; ;43;1990;2016
Prime;UK;Orbex;220; ;150 to SSOReference altitude 500 km;0;2021;
Proton-M / M+;RUSUSSR;Khrunichev;23000(M+)  21600 (M);6920(M+)  6150 (M); ;103;2001;2018
PSLV-CA;IND;ISRO;2100; ;1100 to SSO;13;2007;2018
PSLV-XL;IND;ISRO;3800;1300;1750 to SSO1350 to TMI;20;2008;2018
Rokot;RUS;Khrunichev;1950; ;1200 to SSO;32;1990;2018last2019
Safir;IRI;Iranian Space Agency;65; ; ;6Additionally, one rocket exploded on the launch pad in 2012.;2008;2015
Shavit;ISR;IAI;300; ; ;10;1988;2016
Simorgh;IRI;Iranian Space Agency;350; ; ;1;2017A suborbital test flight succeeded in 2016"; the maiden orbital flight in 2017 failed at second stage.;2017
Space Launch System Block 1  with ICPS;USA;NASA / Boeing (core)  NG Innovation (SRBs);95,000; ;26,000 to TLI;0;2020; 
SLS Block 1B  with EUS;USA;NASA / Boeing  NG Innovation;105,000; ;37,000 to TLI;0;2024;
SLS Block 2  with EUS and  advanced boosters;USA;NASA / Boeing  NG Innovation;130,000; ;45,000 to HCO;0;2029;
Soyuz-FG;RUS;TsSKB-Progress;6900; ; ;67;2001;2018last2019
Soyuz-2.1a;RUS;TsSKB-Progress;7020 from Baikonur;;;29;2006Suborbital test flight in 2004, without Fregat upper stage.;2018
Soyuz-2.1b;RUS;TsSKB-Progress;8200 from Baikonur;2400;;28;2006;2018
Soyuz ST-A;RUS  Europe;TsSKB-Progress  Arianespace;7800 from Kourou;2810 with Fregat; ;5;2011;2017
Soyuz ST-B;RUS  Europe;TsSKB-Progress  Arianespace;9000 from Kourou;3250 with Fregat;4400 to SSO;14;2011;2018
Soyuz-2-1v;RUS;TsSKB-Progress;2800; ;1400 to SSO;4;2013;2018
