Family|Country|manufacturer|Payload (kg)|Payload (kg)|Payload (kg)|Cost (US$, millions)|Launches reaching…|Launches reaching…|Launches reaching…|Launches reaching…|Status|Date of flight|Date of flight|Refs|Notes
Family|Country|manufacturer|LEO|GTO|TLI|Cost (US$, millions)|Total|Space|Any orbit|Target orbit|Status|First|Last|Refs|Notes
Angara 1.2|Russia|Khrunichev|3800|--|--|25|1|1|--|--|Active|2014|--| |As of 2017, only launch was suborbital
Angara A5|Russia|Khrunichev|14600 to35,000|3600 to12,500|--|--|1|1|1|1|Active|2014|--| |
Antares|USA|Orbital ATK|6500|--|--|80|7|6|6|6|Active|2013|--||Cygnus launcher
Ariane 1-2-3|Europe|Aérospatiale|--|2650|--|--|28| | | |Retired|1979|1989||
Ariane 4|Europe|Aérospatiale|7000|4720|--|--|116| |--|--|Retired|1988|2003||Var: 40, 42P. 42L, 44P, 44L, 44LP
Ariane 5|Europe|Airbus|21000|10735|--|165-220|76|74|74|72|Active|1996|--||Var: G,G+,GS, ECA, ES.
Ariane 6|Europe|Airbus Safran|--|10500|--|115|--|--|--|--|Devel.|2020|--||Var: Ariane 62 & Ariane 64.
ASLV|India|ISRO|150|--|--|--|4| |--|--|Retired|1987|1994||
II|USA|Lockheed ATK|2065|--|295|--|7| |--|--|Retired|1995|2001| |Launch Lunar Prospector.
Atlas A-B-C-D-E-F-GAtlas I|USA|Lockheed|5900|2340|--|--|514| |--|--|Retired|1957|1997||Launch Mercury.Atlas or Centaur upper stage.
Atlas II|USA|Lockheed|8618|3833|--|--|63|63|63||Retired|1991|2004|| 
Atlas III|USA|Lockheed|10759|4609|--|--|6|6|6||Retired|2003|2005||variants: IIIA, IIIB
Atlas V|USA|ULA|18850|8900|2807|109-153|74|74|74|73|Active|2002| | |Launched Juno & New Horizons
BFR|USA|SpaceX|100,000+|--|100,000+With in-orbit refueling|--|0|--|--|--|Devel.|2020|--| |Fully reusable. Expected as early as 2020, with suborbital spaceship tests beginning in the first half of 2019.
Black Arrow|UK|RAE Westland|132|--|--|--|4|3| | |Retired|1969|1971| | 
Delta|USA|Douglas|3848|1312|--|--|186| |--|--|Retired|1960|1989| |Launched Pioneer & Explorer probes. Variants : A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00
Delta II|USA|ULA|6000|2171|1508|51|153|152|152|151|Retired|1989|2018| |Launched Mars probes MGS to PhoenixVariants : 6000, 7000 and Heavy.
Delta III|USA|Boeing|8290|3810|--|--|3|2|2| |Retired|1998|2000|| 
Delta IV|USA|ULA|23040|13130|9000|--|35|35|35|34|Active|2002|--| |Variants : M, M+ and Heavy.
Diamant|France|SEREB|1|--|--|--|12|1|1|9|Retired|1965|1975|March 2013| 
R-36M Dnepr|UkraineRussia|Yuzhmash|3600|--|750|14|17| | | |Retired|1999|2015|March 2013| 
Electron|NZUSA|Rocket Lab|225| | |6|2|2|1|1|Active|2017|--| | 
Energia|USSR|NPO Energia|100000| | |240|2|2|1|1|Retired|1987|1988|January 2014|1 partial failure with Polyus spacecraft, 1 successful flight with Buran shuttle.
Epsilon|Japan|IHI Corporation|1200|--|--|--|1|1|1|1|Active|2013|--| |
Falcon 1|USA|SpaceX|420|--|--|7.9|5|4|2|2|Retired|2006|2009| | 
Falcon 9v1.0, v1.1, FT, B5|USA|SpaceX|22800|8300|--|61.2|57|56|56|56|Active|2010|--| |upgrade to version 1.1 in 2013; upgrade to version FT in 2015Launcher of Dragon capsule* notes: One flight put primary but not secondary payload into correct orbit, one rocket and payload were destroyed before launch in preparation for static fire and thus is not counted. Falcon 9 Block 5 first launched 11th May 2018 with Bangabandhu 1, the first fully sized Bangladesh satellite.
Falcon Heavy|USA|SpaceX|63800|26700|--|90-150|1|1|1|--|Active|2018|--||First test launch 2018-02-06
GSLV Mk.I|India|ISRO|5000|2500|--|--|6|4|2|2|Retired|2001|2010| |
GSLV Mk.II|India|ISRO|5000|2700|--|--|6|5|5|5|Active|2010|--| |
