Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s)Default for vacuum, SL for sea level;Thrust (N)VSL;Mass (kg);Thrust/ weight ratioComputed as;Chamber pressure (bar);Oxidiser to Fuel Ratio
Aestus;1;Airbus Defence and Space;Ariane 5 G, G+, ES;Upper;4/MMH;324;30,000;111;27.6;11;1.9
Aestus II;EUR;Airbus Defence and Space;Ariane 5;Upper;4/MMH;340;55,400;138;41.0;60;1.9
AJ-60A;USA;Aerojet;Atlas V;Booster;Solid;275;1,270,000; ; ; ;
AR1;USA;Aerojet Rocketdyne;Vulcan (potential);1st;RP-1/LOX; ;2,200,000 (SL); ; ; ;2.72
BE-3;USA;Blue Origin;New GlennNew Shepard;1st,2nd,3rd;2/LOX; ;490,000; ; ; ;
BE-4;USA;Blue Origin;New GlennVulcan;1st;4/LOX; ;2,400,000; ; ;134;
Boeing 601HPFirst ever ion engine used as a main engine on an operational commercial satellite ([[PanAmSat|PAS-5]]);USA;Boeing;Boeing 601HP satellites;Ion thruster;Xenon;2,568 @0.5kW;0.018 @0.5kW; ; ; ;
CE-20;IND;LPSC;GSLV Mk III;Upper;2/LOX;443;200,000;588; ;60.00;5.05
CE-7.5;IND;LPSC;GSLV Mk II;Upper;2/LOX;454;73,500 to 93,100;445;16.85;58;
F-1Most powerful single-chamber liquid-fueled rocket engine ever developed;USA;Rocketdyne;Saturn V;1st;RP-1/LOX;304  263 (SL);7,770,000  6,770,000 (SL);8,391;82.27;70;2.27
F-1ATested but never flown;USA;Rocketdyne;;1st;RP-1/LOX;303  270 (SL);8,989,000  8,007,000 (SL);9,015;90.6;80;2.27
Gamma 2;UK;Bristol Siddeley;Black Arrow;2nd;RP-1/2;265;68,200;173;40.22;1;8
Gamma 8;UK;Bristol Siddeley;Black Arrow;1st;RP-1/2;265;234,800;342;70.01;47.40;8
Hadley;USA;Ursa Major Technologies;GOLauncher 1;1st;RP-1/LOX; ;22,241 (SL); ; ; ;
HiPEPMost efficient inert gas ion thruster ever built;USA;NASA;Jupiter Icy Moons Orbiter;Ion thruster;Xenon;9,620 @39.3kW;0.670 @39.3kW; ; ; ;
HM-7A;EUR;Snecma;Ariane 1;3rd;2/LOX;443  308 (SL);61,700;149;42.2;30;5
HM-7B;EUR;Snecma;Ariane 2Ariane 3Ariane 4Ariane 5 ECA;Upper;2/LOX;446  310 (SL);64,800  43,600 (SL);165;43.25;37;5
J-2;USA;Rocketdyne;Saturn VSaturn IB;2nd, 3rd;2/LOX;421  200 (SL);1,033,100  486,200 (SL);1,438;73.18;30;5.5
J-2X;USA;Pratt & Whitney Rocketdyne;SLS;Upper;2/LOX;448;1;1;58.41;1;5.5-4.5
LE-5;JPN;MitsubishiNASDA;H-I;Upper;2/LOX;450;103,000;245;42.87;36.0;5.5
LE-5A;JPN;MitsubishiNASDA;H-II;Upper;2/LOX;452;121,500;242;51.19;40.0;5
LE-5B;JPN;MitsubishiJAXA;H-IIAH-IIB;Upper;2/LOX;447;137,000;269;51.93;36.0;5
LE-7;JPN;MitsubishiNASDA;H-II;1st;2/LOX;446;1,078,000  843,500 (SL);1,714;64.13;127;5.9
LE-7A;JPN;MitsubishiJAXA;H-IIAH-IIB;1st;2/LOX;438  338 (SL);1,098,000;1,800;62.2;121;5.9
Lightning 1;USA;Firefly Aerospace;;2nd;RP-1/LOX;322;70,100;;;;
Merlin 1C;USA;SpaceX;* [[Falcon 1]]"
* [[Falcon 9]];1st,2nd;RP-1/LOX;304  266 (SL);480,408  422,581 (SL);630;92;67.7;
Merlin 1D;USA;SpaceX;Falcon 9 v1.1;1st;RP-1/LOX;311  282 (SL);723,000;470;158;97;2.34
