Name;Manufacturer;Release;Size;Type;Capacity (GB);Storage;External;Dimensions (mm × mm);Depth (mm);Weight (g);Firmware
Archos 105;Archos;2007-08-31;;DAP;0002 2;Flash;SDHC;85 × 45;7;50;1.6.07
Archos 405;Archos;2007-09-01;Mini;PMP;0002 2;Flash;SDHC;99.6 × 78;13.2;119.07;1.8.03
Archos 405;Archos;2008-02-07;Mini;PMP;0030 30;HDD;;100 × 78;15;191;1.8.03
Archos 5;Archos;2008-08-19;Mid;PMP;0500 120/500;HDD;8–32 GB and Micro SD Slot (SDHC compatible);127 × 78.8;19.4;300;1.6.53
Archos 605 WiFi/GPS;Archos;2007-09-01;Mid;PMP;0004 4;Flash;SDHC;output number only;output number only;output number only;1.8.03
Archos 605 WiFi/GPS;Archos;2007-09-01;Mid;PMP;0160 30/80/160;HDD;;output number only;output number only;output number only;1.8.03
Archos 705 WiFi;Archos;2007-11-27;Mega;PMP;0160 80/160;HDD;;182 × 128;19.69;630;1.8.03
Cowon A3;Cowon;2007-11-14;Mid;PMP;0080 30/60/80;HDD;;133.4 × 78.5;22;280;1.24
Cowon D2;Cowon;2006-12-05;Micro;PMP;0016 2/4/8/16;Flash;SDHC;78.0 × 55.4;16.6;91.0;2.57
Cowon Q5W;Cowon;2007-11-30;Mid;PMP;0080 40/60/80;HDD;;138.8 × 88.5;20;380;1.5
Cowon O2PMP;Cowon;;Mid;PMP;0032 8/16/32;Flash;;on;output number only;output number only;
Gigabeat T-Series;Toshiba;2007-09-25;Micro;PMP fack;0004 4;Flash;;2.13 × 3.38;output number only;58.11;No release
GP2X F-200;GamePark Holdings;2007-10-28;Mid;PMP, HGC;0064 64;;SDHC;output number only;output number only;output number only;4.0.0
iPod;Apple;2001;;;;;;;;;
iPod classic 6G;Apple;2007-09-07;Mini;DAP;0160 160;HDD;;output number only;output number only;output number only;1.1.2
iPod nano 6G;Apple;2010-09-08;Micro;DAP;0016 8/16;Flash;;output number only;output number only;output number only;1.2
iPod touch 5G;Apple;2012-10-09;Mini;PMP;0064 32/64;Flash;;123.4 x 58.6;6.1;88;9.0
iriver clix 2G;ReignCom;2007-04-24;Micro;PMP;0008 2/4/8;Flash;;output number only;output number only;output number only;1.07
Lite;Sony;2007-08-30;Mid;PMP, HGC;0064 64;;Memory Stick;output number only;output number only;output number only;6.10
Rio PMP300;Diamond Multimedia;1998-09-15;Mid;DAP;0.032;Flash;SmartMedia;89x63;16;;
5.0;Samsung;2011-10-16;Mid;PMP;0008 8/16;Flash;microSDHC;123.7 x 64.2 (4.0), 141.3 x 78.2 (5.0);9.9 (4.0), 11.9 (5.0);121 (4.0), 182 (5.0);2.3.5
Samsung T10;Samsung;2007-09;;DAP;0008 2/4/8;Flash;;96 × 41.4;7.9;43;3.06
Samsung P2;Samsung;2007-09;;DAP;0008 4/8;Flash;;100 × 52;9.9;83;5.10
Sansa Fuze;SanDisk;2008-03-17;;DAP;0008 2/4/8;Flash;microSDHC;78.7 × 48.3;7.6;59.5;01.02.28 & 02.03.33
Sansa Fuze+;SanDisk;2010-09-01;;PMP;0008 4/8/16;Flash;microSD microSDHC;96.5 × 50.7;11.1;170;02.38.06
Sansa View;SanDisk;2007-10-26;;PMP;0032 8/16/32;Flash;microSDHC;output number only;output number only;output number only;01.03.02a
Walkman NWZ-A820 series;Sony;2008-03-28;;DAP;0008 4/8/16;Flash;;output number only;output number only;output number only;1.02
Walkman NWZ-E580 series;Sony;2013-07-10;;DAP;0008 8/16;;;42.1 x 92.1;8;49;
ZEN;Creative;2007-09-14;Micro;PMP;0032 2/4/8/16/32;Flash;SDHC;output number only;output number only;output number only;1.21.01
ZEN X-Fi;Creative;2008-07-10;Micro;PMP;0032 8/16/32;Flash;SD;output number only;output number only;output number only;1.03.01
ZEN Vision W;Creative;2006-08-30;Mid;PMP;0060 30/60;HDD;CF;output number only;output number only;output number only;1.10.01
Zune 30;Microsoft;2006-11-14;Mid;PMP;0030 30;HDD;;output number only;output number only;output number only;3.3
Zune 4/8;Microsoft;2007-11-13;Micro;PMP;0008 4/8;Flash;;output number only;output number only;output number only;3.3
Zune 16;Microsoft;2008-09-16;Micro;PMP;0016 16;Flash;;output number only;output number only;output number only;3.3
Zune 80;Microsoft;2007-11-13;Mid;PMP;0080 80;HDD;;output number only;output number only;output number only;3.3
Zune 120;Microsoft;2008-09-16;Mid;PMP;0120 120;HDD;;output number only;output number only;output number only;3.3
Zune HD;Microsoft;2009-09-15;Mini;PMP;0064 16/32/64;Flash;;output number only;output number only;output number only;4.5
Zvue 260;Zvue;2007-07-17;;DAP;0000 None;HDD;SDHC;output number only;output number only;output number only;2.80 I_071012
Name;Manufacturer;Release;Size;Type;Capacity (GB);Storage;External;Dimensions (mm × mm);Depth (mm);Weight (g);Firmware
