Software;HTML;LaTeX;RTF;Plain text;RSS;Other
Aigaion;yes;no;yes;yes;dunno;no
Bebop;yes;no;no;no;yes;[[unAPI]]
BibBase;yes;no;no;no;yes;no
BibDesk;yes;yes;yes;yes;yes;[[Atom (standard)|Atom]], [[DOC (computing)|DOC]], [[PDF]], [[XML]],
Biblioscape;yes;no;yes;yes;no;no
BibSonomy;yes;no;yes;yes;yes;[[Comma-separated values|OpenOffice-CSV]]
Bibus;yes;no;no;no;no;no
Bookends;yes;no;yes;yes;no;[[Clipboard (software)|clipboard]]
Citavi;yes;yes;yes;yes;no;[[Clipboard (software)|clipboard]], [[DOC (computing)|DOC]], [[OpenDocument|ODT]], [[PDF]], [[HTML]]
CiteULike;yes;no;yes;yes;yes;[[PDF]]
colwiz;yes;yes;yes;no;no;[[PDF]]
EndNote;yes;no;yes;yes;no;[[Clipboard (software)|clipboard]], [[XML]]
F1000Workspace;yes;no;yes;yes;no;[[PDF]]
JabRef;yes;yes;yes;yes;no;[[Clipboard (software)|clipboard]]
KBibTeX;yes;no;yes;no;no;[[PDF]], [[PostScript|PS]]
Mendeley;yes;yes;yes;yes;yes;[[Clipboard (software)|clipboard]], embeddable HTML widget, RSS
Paperpile;dunno;dunno;dunno;dunno;dunno;dunno
Papers;yes;dunno;yes;yes;dunno;[[PDF]]
Pybliographer;yes;dunno;no;yes;no;no
ReadCube;yes;no;no;no;no;[[PDF]]
refbase;yes;yes;yes;yes;yes;[[Markdown]], [[PDF]], [[unAPI]]
RefDB;yes;dunno;yes;yes;no;[[DocBook]], [[Text Encoding Initiative|TEI]]
Reference Manager;yes;no;yes;yes;no;[[Clipboard (software)|clipboard]]
Referencer;dunno;dunno;dunno;dunno;dunno;dunno
RefWorks;yes;no;yes;yes;no;[[DOC (computing)|DOC]], [[OpenDocument|ODT]]
SciRef;no;no;yes;yes;no;[[DOC (computing)|Doc]], others
Sente;yes;no;yes;yes;no;[[Clipboard (software)|clipboard]]
Wikindx;yes;no;yes;no;yes;Multiple via BibUtils plug-in
WizFolio;yes;no;yes;yes;no;[[Clipboard (software)|clipboard]], [[DOC (computing)|DOC]]
Zotero;yes;Possible via plugin;yes;Possible via plugins;yes;[[Clipboard (software)|clipboard]]
