;""+"" quantifier;Negated character classes;Non-greedy quantifiersnon_greedy;Shy groupsshy;Recursion;Look-ahead;Look-behind;Backreferencesbackref;>9 indexable captures
Boost.Regex;yes;yes;yes;yes;yesboost_regex_recursion;yes;yes;yes;yes
Boost.Xpressive;yes;yes;yes;yes;yesxpressive_recursion;yes;yes;yes;yes
CL-PPCRE;yes;yes;yes;yes;No;yes;yes;yes;yes
EmEditor;yes;yes;yes;yes;No;yes;yes;yes;No
FREJ;Nofrej_non_greedy;No;Somefrej_non_greedy;yes;No;No;No;yes;yes
GLib/GRegex;yes;yes;yes;yes;yes;yes;yes;yes;yes
GNU grep;yes;yes;yes;yes;No;yes;yes;yes;dunno
Haskell;yes;yes;yes;yes;No;yes;yes;yes;yes
 ;yes;yes;yes;yes;No;No;No;yes;yes
ICU Regex;yes;yes;yes;yes;No;yes;yes;yes;yes
Java;yes;yes;yes;yes;No;yes;yes;yes;yes
JavaScript (ECMAScript);yes;yes;yes;yes;No;yes;No;yes;yes
JGsoft;yes;yes;yes;yes;No;yes;yes;yes;yes
Lua;yes;yes;Somelua_non_greedy;no;no;no;no;yes;no
.NET;yes;yes;yes;yes;No;yes;yes;yes;yes
OCaml;yes;yes;no;no;no;no;no;yes;no
OmniOutliner 3.6.2;yes;yes;yes;No;No;No;No;dunno;dunno
PCRE;yes;yes;yes;yes;yes;yes;yes;yes;yes
Perl;yes;yes;yes;yes;yes;yes;yes;yes;yes
PHP;yes;yes;yes;yes;yes;yes;yes;yes;yes
Python;yes;yes;yes;yes;yespython_regex_only2;yes;yes;yes;yes
Qt/QRegExp;yes;yes;yes;yes;No;yes;No;yes;yes
Rr_regex;yes;yes;yes;yes;No;yes;yes;yes;yes
RE2;yes;yes;yes;yes;No;No;No;No;yes
Ruby;yes;yes;yes;yes;yes;yes;yes;yes;yes
TRE;yes;yes;yes;yes;No;No;No;yes;No
Vim Latest preview release/Vim;yes;yes;yes;yes;No;yes;yes;yes;No
RGX;yes;yes;yes;yes;No;yes;yes;yes;yes
Tcl;yes;yes;yes;yes;no;yes;yes;yes;yes
TRegExpr;yes;dunno;yes;dunno;dunno;dunno;dunno;dunno;dunno
XRegExp;yes;yes;yes;yes;no;yes;no;yes;yes
