Research Networking Tool|Link to Product Page|Developer/Owner|Open Source|Adopters
Activity Insight|Activity Insight|Digital Measures|no|Hundreds of major research institutions around the world
C-IKNOW| |Science of Networks in Communities (SONIC) - Northwestern University|yes|National Cancer Institute, National Science Foundation
PROFILES by Mentis (formerly Collaborative Partnership / Profile System)|PROFILES by Mentis]|(previously University of Texas at Arlington)|no (Profiles is available in a free forever plan)|UT Arlington, UT Pan American, University of North Texas Health Science Center, UT El Paso, UT San Antonio, UT Tyler, UT Health Science Center, University of North Texas (formerly), UT Dallas, UT Health Center at Tyler, Texas Christian University, : Rice University, Baylor College of Medicine and several others)
Community Academic Profiles - CAP| |Stanford University|no|Stanford University
Converis| |Clarivate Analytics|no|University of Muenster, Leiden University, London School of Economics, ...
CurvitaTM Profile Manager| |SciMed Solutions|no|University of North Carolina, University of Virginia, Duke University
CUSP - Columbia University Scientific Profiles| |Columbia University|no|Columbia University
Digital Vita| |Center for Dental Informatics - University of Pittsburgh|yes|University of Pittsburgh, Pitt Health Sciences Center
Elsevier's Pure| |Elsevier|no|250 implementations worldwide containing profiles for over 185,000 researcher profiles. See .
Elsevier's SciVal||Elsevier|no|Over 200 adopters worldwide
Epernicus Solutions & Epernicus Network| |Epernicus|no (but Epernicus Network is free to use)|Harvard, MIT, Indiana University, Stanford, University of California Berkeley (but not exclusively)
Epistemio| |Epistemio|no|N/A (platform is directed toward individual researcher use)
ERIM Member Profile System (ERIM MIS)| |Erasmus Research Institute of Management, Erasmus University Rotterdam, Netherlands|no|Erasmus University
EUREKA!TM Enhancing Student Research| |University of Texas at Austin (UTA)|no|University of Texas at Austin
Expertise @ Maryland| |University of Maryland|yes (will be)|University of Maryland College Park
Faculty Profile System| |University of California Irvine|no|UC Irvine
Faculty Profiles System| |Stony Brook University|no|Stony Brook University
Faculty Research Information Profile (FRIP)|Discontinued. Work on this system ceased; moved on to developing Digital Vita|University of Pittsburgh|N/A|(formerly) University of Pittsburgh
Faculty Scholarly Productivity Index| |Academic Analytics, LLC|no|Unknown
Faculty180| |Interfolio|no|Institutions of higher education in the United States and Canada.
GENIUS| |InfoEd Global|no|Many Big Ten/CIC institutions
Google|Google search generated from an institution's home page or  limited to only one domain (e.g. university.edu)|Google|no (but anyone can access Google)|Anyone can access
HUBzero| |Purdue University|yes|, Indiana University, Purdue University, Notre Dame
iamResearcher| |University of Southampton, UK|Unknown|N/A (platform is directed toward individual researcher use)
iAMscientist| |iAMscientist.inc|no|Unknown
i2iConnect| |Indiana University|no (but original software from  is)|N/A (platform is directed toward individual researcher use)
InCites| |Clarivate Analytics|no|Unknown
INDURE (Indiana Database for University Research Expertise)| |Indiana University / Purdue University|no|Ball State, Indiana University, Purdue University, University of Notre Dame
IRIS (Institutional Research Information System)| |CINECA|yes (will be in CERIF mode in first half of 2016)|60 universities
Knode| |Knode|no|Multiple, anyone can use, collaborating with  and UCSF
Lattes Platform| |CNPq - Brazil|Unknown|N/A (Platform is directed toward individual researcher use in Brazil)
LatticeGrid||Northwestern University Clinical and Translational Sciences Institute (NUCATS) - Biomedical Informatics Center (NUBIC)|yes|Northwestern Feinberg School of Medicine & Cancer Center, UCSF Cancer Center, Fox Chase Cancer Center, University of Michigan, Case Western University
LinkedIn| |LinkedIn|no (but LinkedIn is free to use)|N/A (Platform is directed toward individual researcher use. Millions of users are registered globally.)
Life Science Network| |Life Science Network gGmbH|yes (upon request)|Anyone can use.
Loki| |University of Iowa|no|University of Iowa Institute for Clinical and Translational Science
Lyterati|||no|George Washington University, The New School, Lehigh University
McCormick Collaboration Visualization Tool| |Northwestern University|no|McCormick School of Engineering and Applied Science at Northwestern University
Mendeley|||No|Anyone can use
MizzouLinks|none available|University of Missouri|Unknown|University of Missouri
MyScienceWork| |Unknown|No (but anyone can register and use the network)|Anyone can register and use. The network is directed at the individual researcher
OSU:pro| |Ohio State University|no (but can be licensed)|Ohio State University
Pivot| |ProQuest, LLC|no|100 university campuses and research organizations globally
Portfolio/Showroom| |University of Applied Arts Vienna|yes (starting 2019)|
Profiles Research Networking Software| |Harvard University|yes (BSD license)|Harvard, UCSF, and many others (see )
REACH NC Life Science Experts Visualization Tool| |RENCI (Renaissance Computing Institute, a collaboration between University of North Carolina at Chapel Hill, Duke University and North Carolina State University) Duke Research Triangle Institute University of North Carolina General Administration|no (but free to the public)|Appalachian State University Duke University East Carolina University Elizabeth City State University Fayetteville State University NC A&T North Carolina Central University North Carolina State University RTI International UNC-Asheville  University of North Carolina at Chapel Hill UNC-Charlotte UNC-Greensboro UNC-Pembroke UNC-Wilmington Western Carolina University Winston-Salem State University
Research Accelerator| |ResearchAccelerator.org|Unknown|Yale University
ResearcherID| |Clarivate Analytics|no (but ResearcherID network is free to access and use by individual users)|N/A (Platform is directed toward individual researcher use)
ScholarBridge| |ScholarBridge LLC|No|14 university members and free access for any individual student or researcher
SciENcv| |A pilot program sponsored by the  and the National Science and Technology Council (NSTC) supported by the STAR METRICS program|yes|Sponsored by the Federal Demonstration Partnership and the NSTC's interagency groups: Research Business Model (RBM) and Science of Science Policy (SoSP)
Symplectic Elements| | |no (However, an open source  is available.)|80+ major research institutions around the world, including the University of Cambridge (UK), University of Oxford (UK), University of Melbourne (AUS), Duke University (US), University of Auckland (NZ), Cornell University (US), Georgia Tech (US).  (see )
UNIWeb| | |no|University of Ottawa, McGill University, Dalhousie University, University of British Columbia Okanagan Campus, École de technologie supérieure, CIMVHR
VIVO|| |yes|Cornell University, University of Florida, Washington University in St. Louis, Weill Cornell Medical College, Indiana University, Ponce School of Medicine, Scripps Research Institute, Duke University, University of Colorado at Boulder, Northwestern University, University of Nebraska, University of Melbourne, Griffith University, Chinese Academy of Sciences, etc. There are currently over 140 VIVO implementations in the United States and international VIVO projects in over 25 countries.
