Model;Launch;Code name;Fab  (nm);Core config1,2;Core clock (MHz);Fillrate;Fillrate;Fillrate;Fillrate;Memory;Memory;Memory;Memory;Memory;Bus interface;API compliance (version);API compliance (version);API compliance (version);Processing power(GFLOPS);Notes
Model;Launch;Code name;Fab  (nm);Core config1,2;Core clock (MHz);MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MiB);Clock (MHz);RAM type;Bus width (bit);Bandwidth (GB/s);Bus interface;Direct3D;OpenGL;other;Processing power(GFLOPS);Notes
Flipper (GameCube);September 14, 2001;;180;4(Pixel Pipelines):1(Vertex Pipeline):4:4;162;648;648;648;90;24 shared16 shared3 eDRAM;32481162;1T-SRAMSDRAMeDRAM;648512;3.21.612.8/9.63;Integrated;no;unk;unk;9.4;Fixed-function L, TEV register combiner
Xenos (Xbox 360);November 22, 2005;XenonZephyrOpusFalconJasperVejleCorona;90/9090/9065/8065/8065/654545;240(48x5):16:8;500;240,000;4000;8000;6000;512 (shared)10 eDRAM;700500;GDDR3eDRAM;128;22.432 (GPU to daughter die)256 (Daughter die ROP to eDRAM);Integrated;9.0c+;no;unk;240;Surface tessellation
Hollywood (Wii);November 19, 2006;Hollywood;90;4(Pixel Pipelines):1(Vertex Pipeline):4:4;243;972;972;972;135;24 shared64 shared3 eDRAM;486Unknown243;1T-SRAMGDDR3eDRAM;64Unknown512;4.8419.2/14.4;Integrated;no;unk;unk;14.1;Fixed-function T&L, TEV register combiner
Latte (Wii U);November 18, 2012;Latte;45;320:16:8;550;176,000-352,000;4400;8800;unk;2048 (shared)32 eDRAM;800 (1600 effective)550;DDR3eDRAM;641024;12.870.4;Integrated;no;unk;unk;176-352;
Liverpool (PlayStation 4);November 15, 2013;Liverpool (GCN based);2816;1152:72:32;800;1,843,200;25,600;57,600;unk;8192 (shared);1375 (5500 effective);GDDR5;256;176;Integrated;no;4.2;GNM, GNMX, PlayStation Shader Language, Mantle technically possible;1843.2;HDR possible (only 2K)
Durango (Xbox One);November 22, 2013;Durango (GCN based);28  (One S)  16;768:48:16;853,  (One S) 914;1,310,208,   (One S) 1,403,904;13,648,  (One S) 14,624;40,944,   (One S) 43,872;unk;8192 (shared)32 eSRAM;1066.5 (2133 effective)1706 (3412 effective);DDR3eSRAM;256;68.3218, 219 (One S);Integrated;11.212;no;Mantle technically possible;1310.2, (One S) 1403.9;Tiled resources, (One S) Upscaled 4K HDR support
Neo (PlayStation 4 Pro);November 10, 2016;Ellesmere GCN 4;16;2304:144:32;911;4,197,888;29,152;131,200;unk;8192;1700 (6800 effective);GDDR5;256;217.6;Integrated;no;4.2 (4.5);GNM, GNMX, PlayStation Shader Language, Mantle technically possible;4197.8;4K HDR possible, Full Compatible PS4 mode with reduced power consumption
Scorpio Engine (Xbox One X);November 7, 2017;Jaguar (GCN custom-based);16;2560:160:32;1172;6,000,640;37,504;187,520;unk;12288 (shared);1700 (6800 effective);GDDR5;384;326;Integrated;11.2 12;no;Unknown;6000.6;4K HDR support, supersampling
Model;Launch;Code name;Fab  (nm);Core config1, 2;Core clock (MHz);Million Operations/s;Million Pixels/s;MTexels/s;MVertices/s;Size (MiB);Clock (MHz);RAM type;Bus width (bit);Bandwidth (GB/s);Bus interface;Direct3D;OpenGL;Other;Processing power(GFLOPS);Notes
Model;Launch;Code name;Fab  (nm);Core config1, 2;Core clock (MHz);Fillrate;Fillrate;Fillrate;Fillrate;Memory;Memory;Memory;Memory;Memory;Bus interface;API compliance (version);API compliance (version);API compliance (version);Processing power(GFLOPS);Notes
