;;;Cerberus;Complete;CrushFTP Server;FileZilla;IIS;Multi Server;;WS FTP;Robo-FTP Server;Serv-u FTP;
;License type;proprietary;proprietary;proprietary;proprietary;FLOSS/GPL2;proprietary;proprietary;proprietary;proprietary;proprietary;proprietary;proprietary
OS;Linux;no;no;no;yes;no;no;yes;yes;no;no;no;yes
OS;Mac OS X;no;no;no;yes;no;no;no;yes;no;no;no;yes
OS;Unix;no;no;?;yes;no;no;no;yes;no;no;no;yes
OS;Windows;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
User Interface;CLI;no;?;?;yes;?;yes, via PowerShell;?;yes;?;no;no;yes
User Interface;GUI integrated;yes;yes;?;yes;yes;yes;?;yes;yes;yes;?;no
User Interface;GUI(s) separately;yes;yes;?;?;?;?;?;yes;?;yes;?;no
User Interface;Web-based GUI;yes;yes;yes;yes;no;no;?;?;?;no;yes;yes
Services;FTP;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Services;SFTP;yes;yes;yes;yes;no;no;yes;yes;yes;yes;no;yes
Services;FTPS;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Services;SCP;no;no;yes;yes;no;no;yes;yes;yes;no;no;yes
Services;WebDAV;no;no;no;yes;no;yes;no;no;no;yes;no;yes
Services;HTTP/HTTPS;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;?;yes
Services;AS2;no;no;no;no;no;no;no;no;no;no;no;yes
Authentication;LDAP;no;yes;yes;yes;no;no;no;no;yes;no;no;yes
Authentication;Active Directory;yes;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes
Authentication;Local;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes
Authentication;Database;yes;no;yes;yes;no;no;yes;yes;yes;yes;no;yes
High Availability;(active/passive);no;yes;no;yes;no;yes;no;no;yes;yes;no;yes
High Availability;(active/active);no;yes;?;yes;no;yes;?;no;yes;yes;no;yes
Automation;Event-handling;yes;yes;yes;yes;no;no;?;?;?;yes;?;yes
Automation;Scripting;yes;no;yes;yes;no;no;?;?;?;yes;?;yes
Automation;REST API;?;?;?;?;?;?;?;?;?;?;?;yes
 ; ;;Cerberus;Complete;CrushFTP Server;FileZilla;IIS;Multi Server;;WS FTP;Robo-FTP Server;Serv-u FTP;
