 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
HD Graphics 500;2016;??;Atom x5-E3930;Apollo Lake  (Gen9LP);5A85;400;550;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;68.2
Atom x5-E3940;2016;??;600;Apollo Lake  (Gen9LP);5A85;400;Mobile;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;68.2
Celeron N3350;2016;200;650;Apollo Lake  (Gen9LP);5A85;38.4;Celeron N3450;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
700;2016;Desktop;Celeron J3355;Apollo Lake  (Gen9LP);5A85;38.4;250;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
700;2016;Celeron J3455;750;Apollo Lake  (Gen9LP);5A85;38.4;HD Graphics 505;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
??;2016;Atom x7-E3950;5A84;Apollo Lake  (Gen9LP);5A85;38.4;500;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
650;2016;144:18:3;76.8;Apollo Lake  (Gen9LP);Mobile;Pentium N4200;200;750;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
38.4;2016;Desktop;5A84;Apollo Lake  (Gen9LP);Pentium J4205;144:18:3;250;800;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
HD Graphics 510;2016;2015;5A84;Apollo Lake  (Gen9LP);Mobile;144:18:3;Celeron 3855U  Celeron 3955U;Skylake  (Gen9);12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
1906;300;900;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1;Pentium 4405U;950;Desktop;Celeron G3900TECeleron G3900ECeleron G3900TCeleron G3900Celeron G3902ECeleron G3920Pentium G4400TEPentium G4400TCore i5-6402P;1902
350;2015;Mobile;Pentium G4400;Skylake  (Gen9);1906;300;1000;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
Core i3-6098P;2015;1050;950;Skylake  (Gen9);HD Graphics 515;Mobile;Pentium 4405Y;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
191E;2015;300;800;Skylake  (Gen9);350;192:24:3  (GT2);29.8;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
Core m3-6Y30;2015;850;Core m5-6Y54Core m5-6Y57;Skylake  (Gen9);350;900;Core m7-6Y75;96:12:2  (GT1);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;34.1
1000;2015;HD Graphics 520;Mobile;Skylake  (Gen9);Core i3-6006U;1916;900;34.1;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i3-6100U  Core i5-6200U  Core i5-6300U;2015;Mobile;191E;Skylake  (Gen9);300;192:24:3  (GT2);29.8;1000;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i7-6500UCore i7-6600U;2015;Mobile;191E;Skylake  (Gen9);300;192:24:3  (GT2);29.8;1050;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
HD Graphics 530;2015;Mobile;191E;Skylake  (Gen9);300;192:24:3  (GT2);29.8;Mobile;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i3-6100H;2015;191B;350;Skylake  (Gen9);300;192:24:3  (GT2);900;Core i3-6100ECore i3-6102ECore i5-6300HQCore i5-6440HQ;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
950;2015;Mobile;1916;Skylake  (Gen9);300;192:24:3  (GT2);Core i5-6440EQCore i5-6442EQCore i7-6820EQCore i7-6822EQ;1000;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i7-6700HQCore i7-6820HKCore i7-6820HQCore i7-6920HQ;2015;Mobile;1916;Skylake  (Gen9);300;192:24:3  (GT2);1050;Desktop;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Pentium G4500TCore i3-6100TCore i3-6300TCore i5-6400TCore i5-6400;2015;1912;950;Skylake  (Gen9);Core i3-6100TECore i5-6500TECore i7-6700TECore i7-6700T;192:24:3  (GT2);1000;Pentium G4500Pentium G4520Core i3-6100Core i5-6500;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1050;2015;Mobile;191B;Skylake  (Gen9);350;192:24:3  (GT2);Core i5-6500TCore i5-6600TCore i7-6700;1100;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i3-6300Core i3-6320Core i5-6600Core i5-6600KCore i7-6700K;2015;Mobile;191B;Skylake  (Gen9);350;192:24:3  (GT2);1150;HD Graphics P530;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Workstation;2015;Mobile;191B;Skylake  (Gen9);350;192:24:3  (GT2);Xeon E3-1268L v5;191D;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1000;2015;Mobile  Workstation;Xeon E3-1505L v5;Skylake  (Gen9);350;192:24:3  (GT2);Xeon E3-1505M v5  Xeon E3-1535M v5;1050;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Workstation;2015;Xeon E3-1225 v5;400;Skylake  (Gen9);350;192:24:3  (GT2);1150;Xeon E3-1235L v5;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
?;2015;Xeon E3-1245 v5  Xeon E3-1275 v5;1150;Skylake  (Gen9);350;192:24:3  (GT2);Iris Graphics 540;Mobile;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i5-6260U;2015;1926;300;Skylake  (Gen9);350;192:24:3  (GT2);950;384:48:6  (GT3);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
64;2015;Core i5-6360U;1000;Skylake  (Gen9);350;192:24:3  (GT2);Core i7-6560UCore i7-6650UCore i7-6660U;1050;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
