Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);SM count;Core config1,3;Clock rate;Clock rate;Clock rate;Fillrate;Fillrate;Memory configuration;Memory configuration;Memory configuration;Memory configuration;Supported API version;Supported API version;Supported API version;Supported API version;Processing power (GFLOPS)2;Processing power (GFLOPS)2;TDP (Watts)4;Release Price (USD)
Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);SM count;Core config1,3;Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);DRAM type;Bus width (bit);Vulkan;Direct3D;OpenGL;OpenCL5;Single precision;Double precision;TDP (Watts)4;Release Price (USD)
GeForce 4057;September 16, 2011;GT216GT218;40;486260;10057;1;48:16:816:8:4;475589;11001402;800790;3.82.36;7.64.71;5121024;12.6;DDR3;64;n/a;10.1;3.3;1.1;105.644.86;unk;30.5;OEM
GeForce GT 420;September 3, 2010;GF108;40;585;116;1;48:4:4;700;1400;1800;2.8;2.8;2048;28.8;GDDR3;128;n/a;12 FL 11_1;4.6;1.1;134.4;unk;50;OEM
GeForce GT 430;October 11, 2010;GF108;40;585;2;96:16:4;700;1400;16001800;2.8;11.2;2048;25.628.8;GDDR3;128;12 FL 11_1;n/a;4.6;1.2;268.8;unk;60;OEM;October 11, 2010
GeForce GT 430;2;GF108;40;585;96:16:4;700;1400;1800;2.8;11.2;5121024;28.8;GDDR3;128;1.1;12 FL 11_1;n/a;4.6;268.8;Unknown;49;$79;1300;10.4
GeForce GT 430;October 11, 2010;GF108;40;585;96:16:4;2.8;11.2;5121024;64;GDDR3;GeForce GT 440;1.1;268.8;Unknown;49;12 FL 11_1;n/a;4.6;$79;February 1, 2011;2;96:16:4;810;1620
18003200;3.24;GF108;40;585;12.96;51210242048;28.851.2;GDDR3GDDR5;128;1.1;311.04;unk;65;$100;October 11, 2010;12 FL 11_1;n/a;4.6;GF106;1170;238;3;144:24:24;594
GeForce GT 440;1189;1800;40;14.26;14.26;15363072;43.2;GDDR3;192;1.1;342.43;unk;56;OEM;GeForce GTS 450;12 FL 11_1;n/a;4.6;October 11, 2010;3;144:24:24;790;1580;4000
18.96;18.96;1170;40;238;10241536;96;GDDR5;192;1.1;455.04;unk;106;OEM;September 13, 2010March 15, 2011;GF106-250GF116-200;12 FL 11_1;n/a;4.6;4;192:32:16;783;1566;3608;12.53
GeForce GTS 450;25.06;1170;40;238;5121024;57.73;128;1.1;601.34;unk;GDDR5;106;$129;GeForce GTX 460 SE;November 15, 2010;12 FL 11_1;n/a;4.6;GF104-225-A1;1950;332;6;288:48:32;650
1300;3400;20.8;40;31.2;1024;108.8;256;1.1;748.8;unk;GDDR5;150;$160;GeForce GTX 460;October 11, 2010;12 FL 11_1;n/a;4.6;GF104;7;336:56:32;650;1300;3400
20.8;36.4;1024;40;1950;108.8;256;1.1;873.6;unk;150;GDDR5;OEM;July 12, 2010;GF104-300-KB-A1;7;12 FL 11_1;n/a;4.6;336:56:24;675;1350;3600;16.2;37.8
GeForce GTX 460;768;86.4;40;1950;192;1.1;907.2;Unknown;150;$199;GDDR5;336:56:32;21.6;10242048;115.2;12 FL 11_1;n/a;4.6;256;160;$229;September 24, 2011;GF114;7
GeForce GTX 460;July 12, 2010;7;40;1950;336:56:24;3600;778;37.8;1556;4008;GDDR5;18.67;907.2;Unknown;43.57;12 FL 11_1;n/a;4.6;1024;96.2;192;1.1;1045.6;unk
GeForce GTX 460;160;$199;40;1950;GeForce GTX 465;May 31, 2010;GF100;3000;529;11;GDDR5;352:44:32;607;1215;3206;12 FL 11_1;n/a;4.6;19.42;26.71;1024;102.6;256;1.2
855.36;106.92;2004;40;$279;GeForce GTX 470;March 26, 2010;14;448:56:40;607;1215;GDDR5;3348;24.28;34;1280;12 FL 11_1;n/a;4.6;133.9;320;1.2;1088.64;136.08;2154
$349;GeForce GTX 480;GF100;40;3000;March 26, 2010;15;480:60:48;700;1401;3696;GDDR5;33.60;42;1536;177.4;12 FL 11_1;n/a;4.6;384;1.2;1344.96;168.12;2504;$499
Model;Launch;GF100;40;3000;Code name;Fab (nm);Transistors (million);Die size (mm2);SM count;Core config1,3;GDDR5;Clock rate;Clock rate;Clock rate;Fillrate;12 FL 11_1;n/a;4.6;Fillrate;Memory configuration;Memory configuration;Memory configuration;Memory configuration;Supported API version
Supported API version;Supported API version;Supported API version;Processing power (GFLOPS)2;Processing power (GFLOPS)2;TDP (Watts)4;Release Price (USD);Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);DRAM type;Bus width (bit);Vulkan;Direct3D;OpenGL;OpenCL5;Single precision;Double precision;;;
Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);SM count;Core config1,3;;;;;;;;;;;;;;;;;
