 Employeurs; Nombre d’employés(approximation); Domaine
Usine PSA de Rennes, Chartres-de-Bretagne;salariés;Industrie Automobile
Hôpital Pontchaillou, CHU de Rennes, Rennes;salariés;Santé
Ville de Rennes, Rennes;employés;Secteur public
SNCF, Rennes;salariés;Transports ferroviaires
Standard Cooper (ex-C.F. Gomma), Rennes;salariés;Industrie automobile
Centre Alma, Rennes;salariés;Grande distribution
CHS Guillaume-Régnier, Rennes;salariés;Santé, psychiatrie
Ouest-France, Chantepie;salariés;Presse et édition
Hôpital Sud, CHU de Rennes, Rennes;salariés;Santé
Académie de Rennes-Rectorat, Rennes;employés;Éducation
Université Rennes 2, Rennes;salariés;Éducation
Société des Transports Gautier, Noyal-sur-Vilaine;800 salariés;Transport
La Poste, Rennes, Le Rheu et Saint-Jacques-de-la-Lande;700 salariés;Orange Business Services/Equant
600 salariés;Services aux entreprises;Orange Labs, Rennes
600 salariés;Télécommunications;D, Rennes
550 salariés;Télécommunications;Crédit agricole d’Ille-et-Vilaine
500 salariés;Banque;Leclerc Cleunay, Rennes
480 salariés;Grande distribution;Sopra Group Rennes, Saint-Grégoire
360 salariés;SSII;Oberthur Fiduciaire, Chantepie
300 salariés;Faurecia (rachat de Visteon, en 2010), Noyal-Châtillon-sur-Seiche;300 salariés
Industrie automobile;Banque populaire de l'Ouest, Montgermont;300 salariés
Banque;;
